Gene = ND-13B
index = 1296
Annotated 5SS: [112 403]
Annotated 3SS: [240 601]
SMsplice 5SS: [112 403]
SMsplice 3SS: [247 601]
top_k =  1000
Partition function (log Z): -0.6831862841436956

Sorted 5' Splice Sites (High to Low Probability):
Position 403: 0.982881842822572
Position 112: 0.8019672310391107
Position 188: 0.004482023588547388
Position 131: 0.0032433532209893935
Position 450: 0.0021057913160738425
Position 788: 0.0017418535487011752
Position 248: 0.001379412187729973
Position 198: 0.0010617921697607894
Position 524: 0.0008213634472751921
Position 357: 0.000539511857483763
Position 443: 0.00019978369988917917
Position 536: 0.0001811869798658999
Position 45: 0.00016535490062958414
Position 517: 0.00016007688397772868
Position 78: 8.807966705966737e-05
Position 373: 5.6156453649805555e-05
Position 434: 5.5566593987439275e-05
Position 48: 4.977595196414549e-05
Position 751: 4.8597104617160674e-05
Position 805: 3.5410283884301105e-05
Position 300: 3.51201084434665e-05
Position 470: 1.7505044640228393e-05
Position 210: 1.668981736243095e-05
Position 116: 1.1443037553696822e-05
Position 216: 9.950060144795285e-06
Position 724: 3.677196572089729e-06
Position 32: 3.3484663480910515e-06
Position 394: 8.766080176498783e-07
Position 647: 7.451081703986659e-07
Position 488: 6.526580045803155e-07
Position 324: 5.378000656734085e-07
Position 322: 4.61507447345208e-07
Position 240: 1.4307647554040179e-07
Position 728: 1.0989308360711004e-07
Position 265: 7.191040562789592e-08
Position 636: 6.593101853471276e-08
Position 293: 6.207289251304454e-08
Position 221: 4.484804648731856e-08
Position 632: 1.79567062101279e-08
Position 267: 6.861914495511661e-09
Position 642: 2.5646108217508306e-09
Position 662: 1.823324691191709e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 601: 0.9983803104685667
Position 247: 0.49325482245883967
Position 240: 0.2974980478735168
Position 293: 0.0037622768798235714
Position 309: 0.003300697485364086
Position 188: 0.0018067977671234105
Position 878: 0.0009535901538353385
Position 607: 0.00047744927309161504
Position 532: 0.0004762424769748956
Position 862: 0.00045841772269639836
Position 866: 0.00035842665287713177
Position 628: 0.0001486132608614346
Position 473: 0.00011825917758070406
Position 484: 8.083181414410468e-05
Position 339: 7.896569336948349e-05
Position 160: 4.100152475055822e-05
Position 162: 4.084853160335258e-05
Position 822: 3.415132572344706e-05
Position 330: 3.3681287837859984e-05
Position 839: 1.9043967382951407e-05
Position 464: 1.2084557523038315e-05
Position 805: 1.0612022935281423e-05
Position 504: 3.6316735453870203e-06
Position 667: 3.3582113316322877e-06
Position 99: 2.187317888225961e-06
Position 712: 1.8947983125620873e-06
Position 647: 1.8772174974046256e-06
Position 498: 1.6259135235013624e-06
Position 673: 1.541964602485813e-06
Position 108: 1.2026001977973065e-06
Position 652: 7.824470660650335e-07
Position 347: 5.390600098983453e-07
Position 78: 4.821715585768905e-07
Position 381: 2.769768903676402e-07
Position 679: 2.1747471419404636e-07
Position 122: 1.9156308911541476e-07
Position 751: 1.762338430190809e-07
Position 443: 1.3530465906706078e-07
Position 116: 6.16655494526492e-08
Position 843: 5.653211728474988e-08
Position 378: 3.658402859399234e-08
Position 131: 3.364446424565254e-08
Position 787: 3.291598033596464e-08
Position 793: 3.164978694583496e-08
Position 748: 2.941685167623739e-08
Position 357: 2.9354328592498774e-08
Position 136: 2.645223591491739e-08
Position 767: 1.502596531640596e-08
Position 772: 1.359814847886621e-08
Position 148: 1.0073907087154558e-08
Position 403: 7.129614329077842e-09
Position 724: 6.201664402210718e-09
Position 407: 4.933523981114829e-09
Position 366: 3.828041345044193e-09
Position 721: 2.833144614937532e-09
Position 734: 1.5710956522157554e-09
Position 894: 1.0915680166392004e-09
Position 841: 1.3626553846805036e-10
Position 836: 1.255862530859936e-10
