Gene = RtcB
index = 1459
Annotated 5SS: [1421]
Annotated 3SS: [1480]
SMsplice 5SS: [1421]
SMsplice 3SS: [1480]
top_k =  1000
Partition function (log Z): -5.5185296251876865

Sorted 5' Splice Sites (High to Low Probability):
Position 1421: 0.9905903151460611
Position 749: 0.08011873630613549
Position 173: 0.07276146100812549
Position 461: 0.051065848841850156
Position 1724: 0.010852815778291978
Position 1085: 0.009480208375337563
Position 1669: 0.008415673895907978
Position 1709: 0.004901964483223772
Position 305: 0.0022651019513095817
Position 134: 0.0021531685951294783
Position 160: 0.0018681602637229434
Position 1401: 0.0011597568073745393
Position 587: 0.0009392208978367224
Position 1732: 0.0007942140766866189
Position 500: 0.0007271356839294267
Position 476: 0.0006905941009570111
Position 1425: 0.0006687756403121516
Position 890: 0.000645611827515097
Position 1123: 0.0006323525628689722
Position 935: 0.0004478043558009953
Position 715: 0.00021732705736296192
Position 1135: 0.00021495736269112992
Position 827: 0.00021423972761934923
Position 1031: 0.00020854507112138065
Position 523: 0.000185817305343505
Position 1240: 0.000150929278643275
Position 454: 0.00012650183368414765
Position 1244: 0.0001193276988675064
Position 1694: 0.00010551976828539402
Position 798: 8.557120410997125e-05
Position 591: 7.288502716180231e-05
Position 545: 6.330219480439225e-05
Position 1747: 5.873294815461224e-05
Position 373: 4.6455715753841485e-05
Position 1202: 4.620665922629011e-05
Position 365: 4.6161507908492066e-05
Position 1634: 4.4263116818627416e-05
Position 309: 4.3762722745418715e-05
Position 1631: 4.338421436915886e-05
Position 896: 3.821937732948105e-05
Position 458: 3.414508183692965e-05
Position 850: 2.9868782234751493e-05
Position 57: 2.8154014312464237e-05
Position 1589: 2.260920155940066e-05
Position 571: 2.042904841851514e-05
Position 683: 1.4555328500513433e-05
Position 5: 1.4039861947225264e-05
Position 1622: 1.341358901241541e-05
Position 480: 1.3070974746352043e-05
Position 893: 1.2126862762752544e-05
Position 1552: 1.0044512073932244e-05
Position 138: 8.478751373341013e-06
Position 1116: 6.618618111341465e-06
Position 685: 6.329678623672402e-06
Position 131: 6.281605485011523e-06
Position 465: 5.600207445082538e-06
Position 25: 4.816798404114077e-06
Position 326: 4.308867060506533e-06
Position 242: 4.218924226046511e-06
Position 232: 3.888097677898017e-06
Position 536: 3.646362638717082e-06
Position 1644: 3.5914220987558837e-06
Position 1217: 2.8305641108756916e-06
Position 1356: 1.8771461563661272e-06
Position 1331: 1.4376766872052622e-06
Position 224: 1.2481723394015147e-06
Position 1396: 1.074910797789516e-06
Position 1335: 5.80038144369265e-07
Position 1361: 4.909638403792599e-07
Position 122: 3.515647061843498e-07
Position 1571: 3.458876108725159e-07
Position 1532: 2.888983535615352e-07
Position 1438: 2.6340460710112777e-07
Position 1169: 2.1528490326993278e-07
Position 142: 2.1003829529639102e-07
Position 830: 1.201116561881084e-07
Position 593: 8.883782474631087e-08
Position 352: 7.50841621155398e-08
Position 234: 1.1942491338001609e-08
Position 504: 7.508166031627797e-09
Position 565: 6.083769805029058e-09
Position 953: 1.573299163256729e-09
Position 344: 1.1773885850365637e-09
Position 495: 4.747348727206069e-10
Position 664: 2.262706159608815e-11
Position 291: 3.2724999735026545e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 1480: 0.998101090202919
Position 1201: 0.08675114330671924
Position 249: 0.043389948822622336
Position 1356: 0.02903605262598674
Position 1793: 0.025522576981511506
Position 1298: 0.013029362354312143
Position 934: 0.011220950575017038
Position 826: 0.006086548728989864
Position 1321: 0.0036352659494104742
Position 1255: 0.003324526185617634
Position 532: 0.003046287320524285
Position 1095: 0.0027204793235081977
Position 1309: 0.0022985651166528135
Position 1228: 0.0019082419807689693
Position 305: 0.0017831409760630773
Position 1121: 0.0017686141361902673
Position 958: 0.0017592419253321145
Position 1006: 0.0016402659720264868
Position 1042: 0.0011474179806103691
Position 372: 0.0010903603906759177
Position 915: 0.0007629699341071229
Position 748: 0.0006484882005305638
Position 637: 0.0004566251966144761
Position 1456: 0.0003459228311196006
Position 1767: 0.00030253726009191125
Position 1231: 0.00020325935099965042
Position 1132: 0.0002020879171945358
Position 1732: 0.00019250280818320416
Position 529: 0.00017686707757196387
Position 541: 0.00014751541085801834
Position 850: 0.00012026729352682122
Position 1054: 0.00010103872409468428
Position 465: 9.426834013715356e-05
Position 334: 7.26273166577622e-05
Position 331: 7.215201051326483e-05
Position 820: 6.538648780120167e-05
Position 1528: 6.2206581857009e-05
Position 1499: 4.443167108903253e-05
Position 1381: 4.15384509664279e-05
Position 604: 3.075992961486505e-05
Position 883: 1.709545131820339e-05
Position 1325: 1.6315627467616523e-05
Position 565: 1.5319153163507183e-05
Position 700: 1.2750392407028465e-05
Position 211: 1.2399333469678236e-05
Position 82: 1.2230623640192784e-05
Position 889: 1.0568174532533885e-05
Position 967: 8.931907312634298e-06
Position 1694: 8.662537891077576e-06
Position 715: 7.704678911188353e-06
Position 1390: 7.1550004974710694e-06
Position 676: 6.831487366143792e-06
Position 202: 6.620418454988636e-06
Position 199: 5.61438934565594e-06
Position 865: 5.099301198525813e-06
Position 985: 4.563570672296857e-06
Position 65: 4.56294060930179e-06
Position 1543: 4.411927573595769e-06
Position 1618: 3.7281507531607407e-06
Position 1020: 3.4265850542938918e-06
Position 769: 2.5889539564063848e-06
Position 553: 1.756393591029012e-06
Position 550: 1.7007981230196865e-06
Position 259: 1.5224213314540067e-06
Position 1404: 1.3041765791370285e-06
Position 107: 9.738150303272224e-07
Position 964: 9.176702780855543e-07
Position 91: 7.379317000318179e-07
Position 229: 6.854206927621836e-07
Position 766: 6.474116889508605e-07
Position 88: 5.591138000108608e-07
Position 338: 5.306741760613024e-07
Position 283: 4.290294107773673e-07
Position 1652: 3.8199635591944565e-07
Position 1552: 3.2280112956540103e-07
Position 1597: 6.451398684812815e-08
Position 274: 5.406609125783777e-08
Position 694: 2.653446246121276e-08
Position 126: 2.433885364397258e-08
Position 640: 2.0970425946205654e-08
