Gene = JhI-21
index = 1239
Annotated 5SS: [ 141  958 1740 2061 2386 3279 3483]
Annotated 3SS: [ 682 1543 1957 2117 2953 3357 3538]
SMsplice 5SS: [ 141  958 1740 2061 2386 3279 3483]
SMsplice 3SS: [ 682 1543 1957 2117 2953 3357 3538]
top_k =  1000
Partition function (log Z): 16.76421456092756

Sorted 5' Splice Sites (High to Low Probability):
Position 3483: 0.9997659904539316
Position 3279: 0.9939734198977468
Position 1740: 0.9845647581935724
Position 2061: 0.9844438102961874
Position 958: 0.8854398426403888
Position 2386: 0.8833525541418848
Position 141: 0.7768299818277868
Position 2757: 0.09780849084465053
Position 2657: 0.08614952194861775
Position 634: 0.06358410604663327
Position 816: 0.04200109821990148
Position 2527: 0.017586113170217504
Position 1303: 0.013569104208730667
Position 1245: 0.01316600391389149
Position 2277: 0.011451687682012867
Position 3825: 0.011140563879447462
Position 3594: 0.011020609747173534
Position 1456: 0.009162910026558198
Position 2682: 0.008356975248914487
Position 715: 0.00819831572044089
Position 1686: 0.0074529033560470845
Position 379: 0.0067932896509518914
Position 328: 0.006244279366448883
Position 2319: 0.005836115771856338
Position 323: 0.005802894319553158
Position 1009: 0.005441539039844721
Position 3747: 0.003934701969341146
Position 563: 0.0037483507525753962
Position 2183: 0.002887627108067861
Position 1879: 0.002453857048759544
Position 965: 0.002079227630805674
Position 1247: 0.0019823957025254875
Position 2531: 0.0018680168719425094
Position 2412: 0.0017858415273057213
Position 40: 0.001758331512939547
Position 2891: 0.0014833343025003217
Position 2789: 0.00138271440434723
Position 2691: 0.0013616050565665198
Position 610: 0.001191796596146099
Position 4007: 0.0011191307811333133
Position 2065: 0.001020917937664115
Position 2451: 0.0009877730109172987
Position 4003: 0.0009569011926914005
Position 2417: 0.0007619698989729455
Position 516: 0.0007303731789459353
Position 3942: 0.0006407891503660834
Position 3722: 0.0006377038008772642
Position 2390: 0.0005377027803448794
Position 1288: 0.0005243487124052834
Position 2872: 0.0005198056455281167
Position 3036: 0.0005130312527259959
Position 2227: 0.0005009418540232835
Position 3840: 0.0004958767926224849
Position 3875: 0.0004913272645454272
Position 1914: 0.00043565070805244745
Position 896: 0.00042815671898472523
Position 2396: 0.00041861529144613654
Position 2269: 0.00041251117616208916
Position 2894: 0.00040330573810104064
Position 1404: 0.00038502860967241324
Position 543: 0.0003843505384550032
Position 962: 0.00036556738558034523
Position 1753: 0.00033829041590658845
Position 61: 0.00032278940029232167
Position 2069: 0.0003126453351941225
Position 491: 0.0003064780611498464
Position 2334: 0.00028907597044019675
Position 4049: 0.00027856025061550807
Position 3337: 0.0002530198563663681
Position 367: 0.00024579889242601355
Position 153: 0.0002380969620968002
Position 169: 0.00023374102881348422
Position 2750: 0.00023138512050176213
Position 2605: 0.00022139838144167597
Position 6: 0.00018984482486606024
Position 690: 0.0001847380073815189
Position 2720: 0.000182869273198784
Position 3829: 0.00017608028148927737
Position 3750: 0.00016054318548621883
Position 941: 0.0001576943413944266
Position 3162: 0.00014031146462626062
Position 2855: 0.00013832495360825952
Position 3895: 0.00012730254103441262
Position 2033: 0.00012656934177381928
Position 162: 0.00011998175588412801
Position 2055: 0.00011729702698881738
Position 3075: 9.899994262685985e-05
Position 457: 9.173643033923245e-05
Position 121: 8.998131720623122e-05
Position 3117: 8.870821559734809e-05
Position 126: 6.946193363568353e-05
Position 2699: 6.896747451460355e-05
Position 3979: 5.960693652015231e-05
Position 3240: 5.7134429177784835e-05
Position 1148: 5.07661376318693e-05
Position 2875: 4.9429491299610224e-05
Position 51: 4.384417741263717e-05
Position 2476: 4.03667923272222e-05
Position 1744: 3.908071067564569e-05
Position 1808: 3.84934045981817e-05
Position 2628: 3.848632670501646e-05
Position 3462: 3.795338804509722e-05
Position 3858: 3.6900025690685916e-05
Position 3283: 3.6799472698266906e-05
Position 2427: 3.57222229940947e-05
Position 3737: 3.385558625228916e-05
Position 682: 3.2624069721144756e-05
Position 2088: 3.209552540058792e-05
Position 342: 3.17216643425134e-05
Position 3938: 2.982503832213891e-05
Position 2486: 2.941592886347949e-05
Position 2165: 2.8388621396372515e-05
Position 3487: 2.7541382084084687e-05
Position 4112: 2.7442728465629668e-05
Position 1021: 2.7157378162781692e-05
Position 3148: 2.675311201475889e-05
Position 2323: 2.492148125736596e-05
Position 3221: 2.3375935417054923e-05
Position 1251: 2.2834342275492652e-05
Position 155: 2.2680689395012556e-05
Position 2829: 2.2379096272230778e-05
Position 3095: 2.1449760547662372e-05
Position 2357: 2.1384172784630723e-05
Position 590: 1.7162540939520712e-05
Position 1357: 1.70027696543629e-05
Position 4117: 1.6711522550633382e-05
Position 3033: 1.6121506638663247e-05
Position 32: 1.5482952319543043e-05
Position 320: 1.5257899144265517e-05
Position 2581: 1.518956391969551e-05
Position 4195: 1.5084111273731011e-05
Position 474: 1.3662038714464681e-05
Position 1352: 1.2961486304315973e-05
Position 1778: 1.267694594402446e-05
Position 469: 1.2611228790414008e-05
Position 3911: 1.2124048294736238e-05
Position 75: 1.1981448380998362e-05
Position 455: 1.1523846684782487e-05
Position 2153: 1.1408020523443847e-05
Position 4011: 1.1296472630676422e-05
