Gene = Su(P)
index = 1530
Annotated 5SS: [ 837 1308]
Annotated 3SS: [ 900 1369]
SMsplice 5SS: [ 837 1308]
SMsplice 3SS: [ 900 1369]
top_k =  1000
Partition function (log Z): -2.49299906685724

Sorted 5' Splice Sites (High to Low Probability):
Position 837: 0.979011858507224
Position 1308: 0.9677088565733747
Position 592: 0.2227990612574282
Position 496: 0.05771683166481504
Position 601: 0.01685727541972676
Position 1317: 0.016532446171274768
Position 446: 0.014581071116765017
Position 583: 0.007570982015287852
Position 579: 0.0023729741107193962
Position 1147: 0.0018855638920066223
Position 403: 0.0014595968334228239
Position 152: 0.0013245832659527705
Position 640: 0.0011608555427401399
Position 441: 0.0006224099820964564
Position 856: 0.0005329981487073788
Position 841: 0.00044680894320385793
Position 1138: 0.0004389898427025497
Position 55: 0.0004241544341985932
Position 289: 0.00031736868530335085
Position 30: 0.00025333047053675584
Position 1433: 0.00021584288147344756
Position 1021: 0.00020695982727630304
Position 631: 0.00017396185872171113
Position 457: 0.00015860050645890436
Position 223: 0.00014800495231577477
Position 817: 9.60490527463435e-05
Position 124: 9.213669847366187e-05
Position 1084: 6.582079532275288e-05
Position 1269: 6.43021518820346e-05
Position 544: 6.417182221818184e-05
Position 535: 6.052050382912417e-05
Position 913: 5.84581027485386e-05
Position 1133: 3.983503682541872e-05
Position 851: 3.765034263956134e-05
Position 1061: 3.582863270514098e-05
Position 792: 3.4866144174318495e-05
Position 1068: 2.9361037095081204e-05
Position 576: 2.6903947751050172e-05
Position 210: 2.6319564672664553e-05
Position 73: 2.5971112053636175e-05
Position 468: 2.5511174538933443e-05
Position 1221: 2.2969258754229286e-05
Position 310: 2.261822620586474e-05
Position 424: 2.090236603971216e-05
Position 1071: 2.0176043190639566e-05
Position 538: 1.745015595460223e-05
Position 889: 1.6908609431625463e-05
Position 312: 1.683493498850002e-05
Position 477: 1.550862313636309e-05
Position 650: 1.3361908893867662e-05
Position 1287: 1.182070714981259e-05
Position 217: 1.1604219771104111e-05
Position 1028: 1.0727021150622756e-05
Position 61: 1.0492549763438938e-05
Position 1000: 1.0441576725961857e-05
Position 941: 9.027732203223383e-06
Position 321: 8.880182804284828e-06
Position 1238: 8.426838363817364e-06
Position 553: 8.249540826092755e-06
Position 330: 7.961745468210972e-06
Position 479: 5.323945954294149e-06
Position 1276: 5.204493825240314e-06
Position 462: 4.9398829743899284e-06
Position 16: 4.920524113443049e-06
Position 1003: 3.867158935572928e-06
Position 717: 3.2856911799082633e-06
Position 1267: 3.264074603336163e-06
Position 1247: 2.948206942926607e-06
Position 8: 2.497963519622423e-06
Position 89: 2.2244267046030884e-06
Position 488: 1.7330574215071368e-06
Position 1412: 1.4835932889263378e-06
Position 168: 8.126654888090313e-07
Position 963: 8.08798728067448e-07
Position 274: 7.347156335476562e-07
Position 1370: 4.3476816851081756e-07
Position 102: 3.993436059118233e-07
Position 1335: 3.2847215356472026e-07
Position 1113: 3.1526996720309275e-07
Position 982: 1.9391679621757998e-07
Position 1330: 1.9024565768358377e-07
Position 1395: 1.7859605294436725e-07
Position 1165: 1.7682081968424666e-07
Position 128: 1.4457198604007269e-07
Position 1419: 1.4044865200951752e-07
Position 1399: 5.0584106074859097e-08
Position 1377: 1.3264404128908303e-08
Position 84: 2.489354974408621e-09
Position 887: 2.1059479483318375e-10
Position 112: 1.9173898209910427e-10
Position 893: 6.789224185365498e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 1369: 0.987180077149952
Position 900: 0.9564720210195315
Position 670: 0.24655098431341071
Position 684: 0.05205114029842851
Position 564: 0.022261468116211595
Position 970: 0.019514760714393717
Position 495: 0.004209950460492792
Position 1216: 0.0013661474218499736
Position 913: 0.001326005536897351
Position 1094: 0.0012242269603770085
Position 618: 0.0005536022870348924
Position 468: 0.00045337824422664595
Position 887: 0.0003703686829322382
Position 1125: 0.0003636684574390734
Position 615: 0.0002522447555217145
Position 1491: 0.00022579411493592138
Position 100: 0.00020290603234010153
Position 544: 0.0001973520463980162
Position 121: 0.00015487120742379795
Position 921: 0.00014026843876707658
Position 1392: 0.00013069002168869526
Position 690: 0.00011580096096763958
Position 1013: 9.650995081418727e-05
Position 474: 9.553755568519502e-05
Position 1165: 6.668492786542353e-05
Position 1257: 6.470422431319097e-05
Position 717: 6.17304089925143e-05
Position 210: 5.4309615549557836e-05
Position 636: 4.068328213307067e-05
Position 989: 3.473489442602362e-05
Position 292: 2.9239749428748306e-05
Position 933: 2.713403864703899e-05
Position 1137: 1.978436197225897e-05
Position 142: 1.8493185906915134e-05
Position 1188: 1.2673977806419814e-05
Position 762: 1.1607821231186928e-05
Position 918: 1.0177038215897134e-05
Position 274: 8.0044294390753e-06
Position 1221: 7.117778931044908e-06
Position 591: 5.761688329850181e-06
Position 588: 5.537613635554764e-06
Position 1099: 3.6978505130169535e-06
Position 1108: 2.6420970202699124e-06
Position 327: 2.500571867975855e-06
Position 1048: 2.312895079469891e-06
Position 337: 2.1037646599239117e-06
Position 1407: 1.7974824177064363e-06
Position 267: 1.6176314421016716e-06
Position 650: 1.4213972452489922e-06
Position 759: 1.3268939458414204e-06
Position 813: 1.2579547421324705e-06
Position 220: 1.242386590105986e-06
Position 1021: 1.2011974433513969e-06
Position 1273: 1.1718026721455536e-06
Position 435: 1.0341185297261382e-06
Position 1302: 8.117785632180683e-07
Position 1456: 3.4612855213429123e-07
Position 355: 3.2250470998185975e-07
Position 1186: 2.505869645903356e-07
Position 363: 2.3740163637082756e-07
Position 1419: 1.9199434950382882e-07
Position 242: 1.4297098368311935e-07
Position 55: 6.38221998276771e-08
Position 825: 5.5314379498137826e-08
Position 61: 5.4798490516291505e-08
Position 146: 4.59422643361384e-08
Position 1427: 4.0405878264350975e-08
Position 817: 8.150096613121628e-09
Position 403: 5.326393300661519e-09
Position 366: 4.872879036097717e-09
