Gene = kin17
index = 1739
Annotated 5SS: [1062]
Annotated 3SS: [1133]
SMsplice 5SS: [1062]
SMsplice 3SS: [1133]
top_k =  1000
Partition function (log Z): -5.034099855408307

Sorted 5' Splice Sites (High to Low Probability):
Position 1062: 0.9928898552439958
Position 105: 0.01045872429909539
Position 21: 0.008186831363695425
Position 925: 0.0035912935254120448
Position 471: 0.002528630312149248
Position 500: 0.002340332438529158
Position 167: 0.0008718131109596517
Position 1395: 0.0007135643257392922
Position 1053: 0.0005987296848345026
Position 109: 0.0002677732325582613
Position 1362: 0.00026727359303143467
Position 996: 0.0002424567891817429
Position 444: 0.00015517465198482255
Position 179: 0.00015125661452904655
Position 845: 0.00012863450120924005
Position 1365: 0.00011825984765068373
Position 668: 0.00010888000448143654
Position 1287: 8.553855843531407e-05
Position 731: 7.580407590232094e-05
Position 1245: 7.13374820026231e-05
Position 215: 6.992288817988573e-05
Position 380: 6.852418027002866e-05
Position 338: 6.559517007565458e-05
Position 930: 5.982894556785644e-05
Position 933: 4.926487461366071e-05
Position 1349: 4.6543589875863566e-05
Position 148: 4.2281567681694774e-05
Position 1267: 4.205346903910987e-05
Position 434: 2.9414352812750132e-05
Position 449: 2.1751109379981132e-05
Position 965: 1.58204561518701e-05
Position 1025: 1.5319340619571702e-05
Position 1296: 1.4527485300026407e-05
Position 60: 1.2189490557478104e-05
Position 233: 1.1095604219823681e-05
Position 248: 1.0691704559058024e-05
Position 747: 9.569849971014591e-06
Position 8: 9.201480287608337e-06
Position 801: 7.78762565732191e-06
Position 984: 5.529084568892105e-06
Position 1107: 5.233275238130073e-06
Position 119: 3.922193256623122e-06
Position 191: 2.4999956483187543e-06
Position 892: 2.089585555398953e-06
Position 849: 1.8682326437478247e-06
Position 1399: 1.7218620809018263e-06
Position 1251: 9.132139407762394e-07
Position 39: 8.53427016876882e-07
Position 45: 6.06398836087926e-07
Position 1149: 5.988784038890088e-07
Position 94: 5.464253342568857e-07
Position 1182: 5.075946854216269e-07
Position 1179: 4.498239271703592e-07
Position 323: 4.310788444591658e-07
Position 302: 3.2179026266047163e-07
Position 803: 5.080039191376273e-08
Position 523: 2.8865934663396744e-08
Position 822: 1.021882013813054e-11
Position 504: 8.997009514024449e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 1133: 0.9984781704977316
Position 81: 0.007355157309583396
Position 155: 0.0036198178044316476
Position 523: 0.002726497711358448
Position 981: 0.001971824866206386
Position 158: 0.0019229142805460024
Position 835: 0.0009913894771038337
Position 289: 0.0009146385784349726
Position 768: 0.0008742580121149753
Position 1006: 0.0006742662516177918
Position 1443: 0.0006566490733970564
Position 1106: 0.0006432830418500639
Position 789: 0.0006416067036743555
Position 1427: 0.0005624435957572852
Position 1145: 0.00043603260059893776
Position 528: 0.0003113078808871953
Position 1169: 0.000274313545939241
Position 295: 0.00011031691140362255
Position 731: 9.797854121083658e-05
Position 551: 9.519170481324938e-05
Position 617: 9.204828418578688e-05
Position 614: 9.184305380767402e-05
Position 176: 9.160235127957267e-05
Position 800: 8.106866583659773e-05
Position 1492: 8.032042341108452e-05
Position 809: 7.684334463780615e-05
Position 449: 6.834496424406172e-05
Position 563: 6.685491806434608e-05
Position 1362: 4.685336645738676e-05
Position 134: 4.657325843593498e-05
Position 545: 3.916929106572689e-05
Position 753: 3.878300255495134e-05
Position 569: 3.56614844716394e-05
Position 1013: 2.6902862523970545e-05
Position 965: 2.4570634757436937e-05
Position 398: 2.3223765759181814e-05
Position 1399: 2.2958387267323183e-05
Position 795: 1.9061850420509176e-05
Position 1025: 1.720472341661757e-05
Position 773: 1.2265211335591412e-05
Position 108: 1.1157244409913407e-05
Position 215: 9.905292405799309e-06
Position 707: 9.865092173799393e-06
Position 530: 9.335431400319536e-06
Position 146: 9.196403552854177e-06
Position 242: 8.75729189471152e-06
Position 380: 8.23910568782129e-06
Position 566: 8.20687629834475e-06
Position 1349: 4.703995325009501e-06
Position 395: 4.36561905249665e-06
Position 188: 4.266467275273727e-06
Position 737: 3.7303576779220043e-06
Position 1308: 3.3855916154776563e-06
Position 905: 2.944213016938494e-06
Position 638: 2.742363503423664e-06
Position 872: 2.291555138031744e-06
Position 358: 2.1873816959931544e-06
Position 1423: 1.918762557366666e-06
Position 831: 1.8802948104265252e-06
Position 191: 1.5848197401652522e-06
Position 1334: 1.0877045898732797e-06
Position 1290: 9.394825951858215e-07
Position 350: 9.24844992605224e-07
Position 494: 8.935068601623262e-07
Position 119: 8.606572924092029e-07
Position 368: 8.430997775075591e-07
Position 477: 8.089918362369996e-07
Position 377: 7.91548860010236e-07
Position 1034: 6.726580589300665e-07
Position 248: 4.882599464064223e-07
Position 632: 4.489385612706131e-07
Position 725: 4.398151170512622e-07
Position 300: 4.272289738299456e-07
Position 1278: 4.084035962938239e-07
Position 1237: 4.034446473751028e-07
Position 1046: 1.8008587201118102e-07
Position 1249: 1.2430776768586934e-07
Position 1282: 9.958923384315265e-08
Position 185: 2.352882933770559e-10
Position 104: 1.5738642913575328e-10
Position 302: 1.7805007578817424e-11
Position 323: 1.1481713625816392e-11
Position 471: 2.4037261984625274e-12
Position 491: 1.1700878583654567e-12
Position 50: 3.5617392474934005e-14
Position 233: 4.822697752208956e-15
Position 229: 2.9194809478796954e-15
