Gene = vito
index = 1927
Annotated 5SS: [130]
Annotated 3SS: [188]
SMsplice 5SS: [130]
SMsplice 3SS: [188]
top_k =  1000
Partition function (log Z): -5.996357669105927

Sorted 5' Splice Sites (High to Low Probability):
Position 130: 0.9340233808380409
Position 134: 0.06418846570536013
Position 418: 0.0016074404134914
Position 104: 0.0010804532709455385
Position 295: 0.0009809010313971895
Position 36: 0.0004775901055269831
Position 5: 0.0003511496996362844
Position 837: 0.0003231378340176852
Position 880: 3.592241997326741e-05
Position 590: 2.30445478126589e-05
Position 872: 2.2503646690696813e-05
Position 412: 1.8296452478813328e-05
Position 633: 6.081580935607062e-06
Position 107: 5.493441332631961e-06
Position 427: 2.8147435464073997e-06
Position 50: 2.4503950875291766e-06
Position 27: 1.8668040811597133e-06
Position 473: 8.834622447154675e-07
Position 468: 7.236465710419088e-07
Position 808: 5.344314685144788e-07
Position 192: 1.7995650389026802e-07
Position 236: 1.0869301742164691e-07
Position 200: 5.438377419271832e-08
Position 729: 3.475551469577816e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 188: 0.99664731719842
Position 200: 0.0025277557543774616
Position 971: 0.0010161520414554515
Position 321: 0.00046226555192969526
Position 600: 0.00037984479383870625
Position 363: 0.00034866696092104155
Position 738: 0.00033907087969807623
Position 735: 0.0003002237010171735
Position 487: 0.00020562027472068278
Position 75: 0.00018921031329099017
Position 510: 0.00011265213225797739
Position 215: 8.627863150752092e-05
Position 693: 7.606754871498463e-05
Position 744: 7.582871101003028e-05
Position 720: 5.182368324239174e-05
Position 101: 3.512616352025401e-05
Position 357: 3.144165980293521e-05
Position 378: 2.7256048735210435e-05
Position 741: 2.3685824864080524e-05
Position 708: 2.133012124612703e-05
Position 219: 1.9386518950465503e-05
Position 606: 1.924786443960284e-05
Position 816: 1.527133077255176e-05
Position 417: 1.4114194430875074e-05
Position 267: 1.223927736782212e-05
Position 771: 1.1911289355425086e-05
Position 804: 1.0953600948398147e-05
Position 273: 7.504702802872261e-06
Position 934: 7.414742759637336e-06
Position 291: 6.26668748365889e-06
Position 927: 6.173485984977404e-06
Position 822: 5.56593687708991e-06
Position 53: 4.514686757780667e-06
Position 190: 3.842853200041399e-06
Position 103: 3.822360054754639e-06
Position 831: 3.7519826775470393e-06
Position 551: 3.2563602894389152e-06
Position 507: 3.0675826333175934e-06
Position 939: 3.00073077148728e-06
Position 121: 2.928381386896452e-06
Position 774: 2.747208335879985e-06
Position 381: 2.6114895186911876e-06
Position 759: 2.491352449616668e-06
Position 722: 2.282351461646935e-06
Position 459: 2.124636002169008e-06
Position 504: 1.571453533665079e-06
Position 891: 1.4515225446883625e-06
Position 663: 1.4186147859515227e-06
Position 768: 1.2752087009043482e-06
Position 147: 1.230321127449601e-06
Position 243: 1.152907738027591e-06
Position 423: 1.1455534768128652e-06
Position 192: 8.738146344370508e-07
Position 91: 8.396218572604127e-07
Position 384: 8.16702547562552e-07
Position 354: 6.986053433953175e-07
Position 489: 6.121411235514498e-07
Position 345: 6.110763492680197e-07
Position 82: 5.759647338586053e-07
Position 138: 5.271708299869324e-07
Position 756: 5.239697410854765e-07
Position 828: 4.3192151116598955e-07
Position 494: 3.853632787633407e-07
Position 870: 3.570111906303413e-07
Position 855: 3.5008160096893274e-07
Position 369: 3.3134913285847974e-07
Position 624: 2.6896310783742573e-07
Position 257: 2.452019923851149e-07
Position 390: 1.743614019889066e-07
Position 543: 1.5860563968183479e-07
Position 633: 1.543328466675108e-07
Position 525: 1.4449896936083092e-07
Position 372: 1.3289158442045127e-07
Position 894: 1.1698490658440042e-07
Position 618: 1.1350012885611922e-07
Position 780: 9.914975232318087e-08
Position 300: 8.22607081588502e-08
Position 672: 8.126222760501932e-08
Position 412: 7.623287893594116e-08
Position 837: 7.583031103902474e-08
Position 294: 5.1638198552096173e-08
Position 387: 4.9905797955379534e-08
Position 519: 4.049527099949766e-08
Position 279: 2.9441232529659668e-08
Position 134: 2.5490141278239613e-08
Position 528: 2.40489501771592e-08
Position 50: 2.3750084837293903e-08
Position 613: 2.3310647056164395e-08
Position 403: 1.862087697628501e-08
Position 846: 1.1460784640479738e-08
Position 141: 2.167954567202894e-11
Position 225: 2.003128869187473e-11
Position 158: 9.601471171081998e-13
Position 665: 2.6453927271586836e-13
Position 393: 7.866438581675554e-15
