Gene = Shc
index = 1501
Annotated 5SS: [315]
Annotated 3SS: [376]
SMsplice 5SS: [315]
SMsplice 3SS: [376]
top_k =  1000
Partition function (log Z): -4.512151025646463

Sorted 5' Splice Sites (High to Low Probability):
Position 315: 0.9952268317803934
Position 543: 0.007496520920257335
Position 319: 0.004338768249397499
Position 864: 0.0022857118086186752
Position 1190: 0.002278941537991644
Position 1445: 0.0010126055173292625
Position 739: 0.0008302895597549022
Position 989: 0.0006088035581739585
Position 766: 0.0005366660752028845
Position 498: 0.0004431435444064361
Position 243: 0.00026643556468950347
Position 1161: 0.00025134683426731956
Position 696: 0.000248796991320047
Position 589: 0.00022372604220636136
Position 220: 0.0001535491991928848
Position 1368: 0.00015203032113058365
Position 1092: 0.000149142691097627
Position 1558: 0.00013064530071210678
Position 30: 0.00012901911442757532
Position 18: 0.00011576596639801809
Position 299: 0.00011567128814693044
Position 803: 0.00010820051407828325
Position 713: 8.408988468071553e-05
Position 306: 7.33452520281695e-05
Position 795: 6.627787066390945e-05
Position 528: 2.9588327358134414e-05
Position 238: 1.646885904792814e-05
Position 652: 1.3984980870578868e-05
Position 1360: 1.1622595974283052e-05
Position 1500: 1.1401083075078629e-05
Position 1194: 1.051136486676876e-05
Position 1397: 9.512159881588615e-06
Position 840: 7.584814889316332e-06
Position 1531: 7.32892114694323e-06
Position 575: 6.925186163257213e-06
Position 581: 5.826248570459709e-06
Position 1552: 5.5094431208640124e-06
Position 1257: 5.417362341918499e-06
Position 1132: 4.6270472511907996e-06
Position 1035: 4.038704384022888e-06
Position 416: 3.3544341817265288e-06
Position 262: 2.4321290766202255e-06
Position 409: 2.2000893505932238e-06
Position 1353: 1.957649109717688e-06
Position 224: 1.4283565848336234e-06
Position 1097: 1.3581933579354836e-06
Position 895: 1.197460958606249e-06
Position 1058: 9.049840082374462e-07
Position 1523: 7.02955341491085e-07
Position 508: 6.750796471353107e-07
Position 1556: 6.186740674213046e-07
Position 208: 5.470991057873176e-07
Position 1254: 2.715215544529517e-07
Position 1094: 2.708171121649985e-07
Position 256: 6.318854251213689e-08
Position 167: 3.169493407820525e-08
Position 1047: 2.9929298967588155e-09
Position 355: 2.976507618520965e-09
Position 226: 1.0949210253511753e-09
Position 515: 1.0803991760231935e-09
Position 380: 8.449298556561611e-10
Position 393: 4.3231359450321685e-10
Position 345: 1.5115557405861928e-10
Position 657: 9.915295855572391e-11
Position 1056: 1.8368356031214986e-11
Position 359: 6.1926414797552745e-12
Position 336: 5.753650383030745e-12
Position 350: 5.297529918218173e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 376: 0.9913073693600485
Position 1086: 0.004488670005076965
Position 781: 0.0032833195855615995
Position 624: 0.0030054239469648426
Position 1624: 0.002745980808034875
Position 1285: 0.002040080583750358
Position 1534: 0.0020117736483832023
Position 827: 0.0017197699714191948
Position 1250: 0.001544316019531856
Position 920: 0.0006384998997010998
Position 863: 0.0004253950087523913
Position 1023: 0.0003769724441388529
Position 463: 0.0003637390687318222
Position 742: 0.0002764288963468545
Position 1117: 0.00027185729490138166
Position 1142: 0.00023939862016996894
Position 1291: 0.0002258822282752668
Position 977: 0.0002160221028212824
Position 306: 0.00021131681454248668
Position 860: 0.00019763354414514584
Position 739: 0.000184888196547614
Position 840: 0.00018203046780882942
Position 940: 0.00016208906580327643
Position 1650: 0.00014968220600270973
Position 1014: 0.00013701877623691105
Position 121: 0.00011878755548465429
Position 1209: 0.0001147911568944167
Position 64: 0.00011038671150732118
Position 1145: 0.00010146369841235765
Position 523: 6.0981766503340824e-05
Position 1375: 5.448958449423108e-05
Position 629: 5.14369548992306e-05
Position 1175: 5.004809548993075e-05
Position 1349: 4.71061381836399e-05
Position 917: 4.455275802509669e-05
Position 1091: 4.3790188253185426e-05
Position 710: 4.0192325485182396e-05
Position 1511: 3.548103997295437e-05
Position 1269: 2.4965035445414672e-05
Position 416: 2.2094383297362893e-05
Position 837: 2.1858439874071493e-05
Position 1498: 1.639358732981236e-05
Position 428: 1.5772839819179013e-05
Position 294: 1.1217335898241059e-05
Position 993: 1.0658691427065671e-05
Position 791: 1.061790381796069e-05
Position 696: 1.0392754632419316e-05
Position 470: 1.0361930243298292e-05
Position 869: 8.311724083854545e-06
Position 803: 5.465986284453205e-06
Position 310: 5.267450377352478e-06
Position 141: 3.934320873958648e-06
Position 549: 3.929044671636725e-06
Position 89: 3.855572614111806e-06
Position 83: 3.046711220915287e-06
Position 393: 2.7846512456165505e-06
Position 1382: 2.7248695926915886e-06
Position 71: 2.639842134311352e-06
Position 1385: 2.545910480827372e-06
Position 788: 2.5229082456284914e-06
Position 1450: 2.336545470489993e-06
Position 401: 1.7197932656413308e-06
Position 1413: 1.3495108103430983e-06
Position 1340: 1.3165959831456164e-06
Position 505: 1.2452173311555716e-06
Position 112: 1.214330387399918e-06
