Gene = MYPT-75D
index = 1268
Annotated 5SS: [16405 36085 37368 37659 37796 38302 38862]
Annotated 3SS: [35397 36664 37532 37719 38180 38364 39738]
SMsplice 5SS: [ 1073 36085 37368 37659 37796 38289 38862]
SMsplice 3SS: [35397 36664 37532 37719 38180 38364 40056]
top_k =  1000
Partition function (log Z): 3.3941901256648297

Sorted 5' Splice Sites (High to Low Probability):
Position 37659: 0.9979978320111343
Position 36085: 0.9966585404063368
Position 37796: 0.9725754517949114
Position 37368: 0.9704183372078556
Position 38862: 0.9670337972406122
Position 1073: 0.5934332120655508
Position 118: 0.2756493823070284
Position 38273: 0.14837590008624957
Position 19342: 0.13741694081985315
Position 229: 0.12669918900937246
Position 39151: 0.10271940469444961
Position 19109: 0.07537688864384028
Position 271: 0.07246638190175306
Position 39339: 0.06892602652078418
Position 39259: 0.06372706338194213
Position 39521: 0.05942576454006099
Position 39562: 0.05166760292578368
Position 41029: 0.041030186024458674
Position 37398: 0.02214199202187192
Position 855: 0.01989681078219548
Position 333: 0.018184850078442866
Position 38104: 0.015569167918002271
Position 39176: 0.014747171603726659
Position 39042: 0.013221681381518934
Position 38996: 0.012446862750711617
Position 38858: 0.012090506835984989
Position 39203: 0.011307164087240527
Position 40412: 0.01107289266842885
Position 37814: 0.01089949611669657
Position 39361: 0.009298300710858576
Position 40783: 0.008826987648810531
Position 39036: 0.006043104397248078
Position 40824: 0.004500482259445253
Position 857: 0.0044772594038149476
Position 39286: 0.004073300873838597
Position 39048: 0.00404606335657294
Position 39007: 0.0036993940631900144
Position 38772: 0.0036105786861638702
Position 39299: 0.0031019538522504097
Position 124: 0.0022960481738655033
Position 24: 0.0021538355365252784
Position 39220: 0.0020925543061786006
Position 40324: 0.001831582912461467
Position 39055: 0.0017875212813954291
Position 39513: 0.001714914082125172
Position 37957: 0.0017129848182302872
Position 325: 0.0016145679881223749
Position 38990: 0.0015136107569604597
Position 329: 0.0014143692050306877
Position 17696: 0.001380069464694124
Position 37663: 0.0013136170567248947
Position 40277: 0.0012257317779367394
Position 844: 0.0012249419995404708
Position 39256: 0.0011040767977395023
Position 37834: 0.001082817374006423
Position 39253: 0.0008590899462041289
Position 410: 0.0007595590384483519
Position 37910: 0.0007510979767627536
Position 275: 0.0006805213956546185
Position 39476: 0.0005682571278522245
Position 480: 0.0005516291148120184
