Gene = BtbVII
index = 56
Annotated 5SS: [  42 1508 2197 2527 2727 8496]
Annotated 3SS: [ 981 1568 2281 2617 7311 8553]
SMsplice 5SS: [1508 2197 2527 2727 8496]
SMsplice 3SS: [1568 2281 2617 7311 8553]
top_k =  1000
Partition function (log Z): 9.389363249355323

Sorted 5' Splice Sites (High to Low Probability):
Position 8496: 0.9993276774522715
Position 1508: 0.9982170570820894
Position 2727: 0.9803547890730843
Position 2197: 0.9550299285746847
Position 6098: 0.6983737170765907
Position 2527: 0.4943052106027111
Position 42: 0.22549971683647013
Position 5371: 0.105571366721783
Position 5103: 0.10088278660535929
Position 924: 0.0666322407082725
Position 515: 0.06603362562051825
Position 5142: 0.06166670108844273
Position 8865: 0.06141478503003495
Position 7447: 0.05293273192627809
Position 4799: 0.04780886529514296
Position 4372: 0.04114243215859898
Position 2212: 0.03636520837667855
Position 702: 0.03199765353956285
Position 722: 0.024072027374763612
Position 743: 0.02003994854303635
Position 3745: 0.018366919096195453
Position 749: 0.016613164506919163
Position 2553: 0.016160760793752733
Position 745: 0.016056349347485198
Position 747: 0.01568537205375286
Position 1671: 0.01496388408717282
Position 7512: 0.012049978276183034
Position 2789: 0.011814843129913311
Position 8203: 0.011437029673562995
Position 6115: 0.011007042772936845
Position 2544: 0.010899277631242798
Position 6559: 0.01073496449309901
Position 741: 0.0106000036238653
Position 35: 0.010553469124872825
Position 585: 0.009627855319635467
Position 123: 0.008829314400356857
Position 910: 0.00868751423412821
Position 5881: 0.008378471706630516
Position 3758: 0.007544624898284344
Position 523: 0.00753647648966709
Position 511: 0.006630440341697411
Position 6964: 0.00606278723914016
Position 8903: 0.005757834707281438
Position 1115: 0.005207068962628886
Position 834: 0.0049585177831012305
Position 276: 0.004797036445025232
Position 2809: 0.004795601112576618
Position 4385: 0.0043862287784794335
Position 488: 0.004284933873497727
Position 922: 0.0034019660832761683
Position 907: 0.0033263131942709878
Position 555: 0.003216001400684397
Position 102: 0.003060712592187851
Position 4834: 0.0029723201224333374
Position 623: 0.0029138412532880853
Position 3019: 0.0028317811063537117
Position 9001: 0.002809365494981969
Position 5307: 0.002732394706733341
Position 4327: 0.0026412004846406763
