Gene = dpr19
index = 1674
Annotated 5SS: [ 386 1221 1775 2054 2232 2697]
Annotated 3SS: [1079 1628 1842 2119 2322 2754]
SMsplice 5SS: [ 717 1775 2054 2232 2697]
SMsplice 3SS: [1628 1842 2119 2322 2754]
top_k =  1000
Partition function (log Z): 5.243563184308857

Sorted 5' Splice Sites (High to Low Probability):
Position 1775: 0.9964354437517888
Position 2697: 0.9776472414871787
Position 2054: 0.9042458644137839
Position 2232: 0.8655461978260689
Position 717: 0.7281954363067288
Position 1349: 0.1466476255300469
Position 1221: 0.09301634296540648
Position 386: 0.0888220102877456
Position 273: 0.08760915373331037
Position 2259: 0.06510538891410891
Position 2964: 0.03270208348960212
Position 153: 0.022560187104181947
Position 2250: 0.0200162281424736
Position 3018: 0.018844930817655575
Position 3138: 0.014763192726854533
Position 2591: 0.014338636274543085
Position 52: 0.007035807915338507
Position 3317: 0.006052633439772173
Position 789: 0.003076007199287884
Position 743: 0.0027640268825565736
Position 1416: 0.0025255199224902126
Position 3321: 0.0024056122933459978
Position 1567: 0.0023098078833615
Position 509: 0.0021157031628151325
Position 2928: 0.001916260478673833
Position 3525: 0.0018053346840963185
Position 2925: 0.0014643545817816562
Position 1099: 0.0014280371746350508
Position 532: 0.001265661921481239
Position 3541: 0.001254238592591056
Position 3369: 0.0009491044505195597
Position 3333: 0.0008803969386194708
Position 1988: 0.0008298114557640858
Position 355: 0.0006802754221399998
Position 2000: 0.0006385487877013555
Position 1757: 0.0004974668446672492
Position 3363: 0.0004737923707431194
Position 1283: 0.0004550519668318144
Position 107: 0.00042446384067197515
Position 683: 0.0004192094073074221
Position 655: 0.00040756841042543216
Position 2681: 0.0003810982827836404
Position 1120: 0.00037339620617826474
Position 665: 0.0003678847204191051
Position 3091: 0.0003332273001716312
Position 984: 0.0003265597384465725
Position 572: 0.0003210412054420306
Position 3152: 0.000314507459829917
Position 2096: 0.0002881213050444425
Position 2868: 0.00025637425123590276
Position 777: 0.0002397025323532453
