Gene = yuri
index = 1936
Annotated 5SS: [ 923 1361 1723 2318 2623 2781 2975 5911 6189 6520 6894]
Annotated 3SS: [1027 1563 2065 2387 2679 2851 5753 5982 6250 6586 7105]
SMsplice 5SS: [ 231  923 1361 1723 2318 2623 2781 2975 5911 6520 6894]
SMsplice 3SS: [ 377 1027 1563 2065 2387 2691 2851 5753 5982 6586 7105]
top_k =  1000
Partition function (log Z): 16.35009819679781

Sorted 5' Splice Sites (High to Low Probability):
Position 2781: 0.9964300426219479
Position 5911: 0.9782685823388516
Position 6894: 0.9701660817077826
Position 1723: 0.9470234341392134
Position 2975: 0.8393834084136191
Position 2623: 0.82146506145103
Position 231: 0.7634722375426252
Position 923: 0.7573484314698304
Position 1361: 0.7189293458564524
Position 2318: 0.6571614480208642
Position 6520: 0.5300164292732622
Position 5342: 0.5003615191759659
Position 6524: 0.40309163355558353
Position 4045: 0.2913545211560179
Position 4034: 0.18425949940098887
Position 3260: 0.13071648693755733
Position 2627: 0.11830082646497182
Position 949: 0.09748697937053352
Position 5674: 0.08971080313755497
Position 2292: 0.08403923531107427
Position 3228: 0.07215740274859019
Position 1411: 0.06707891764609343
Position 6194: 0.06518571608991024
Position 3596: 0.06463717647161432
Position 6189: 0.05472832442771521
Position 935: 0.04892644829095648
Position 1200: 0.04688252181218293
Position 6156: 0.04447094835693398
Position 1980: 0.04031028325018065
Position 542: 0.033999555993643044
Position 1474: 0.02911651698040091
Position 1395: 0.029096495671217915
Position 1169: 0.028888940322374972
Position 1155: 0.02381628238086359
Position 2388: 0.023455675037178703
Position 528: 0.02156147264437624
Position 5372: 0.01703382307535947
Position 6235: 0.01593265423296923
Position 5560: 0.0124965976442088
Position 1209: 0.012239235172724757
Position 5657: 0.01055436663653544
Position 50: 0.00921883609053065
Position 3800: 0.006249797260239073
Position 5287: 0.006173286247676403
Position 4541: 0.005830596561511339
Position 4368: 0.005385792487585037
Position 1657: 0.005339974182118095
Position 2398: 0.004755184978060755
Position 3393: 0.003979517595371062
Position 1221: 0.003937558587195212
Position 932: 0.003927894058865978
Position 1159: 0.00364374723724727
Position 458: 0.003554973302783602
Position 912: 0.003350903834253071
Position 111: 0.002670359330902724
Position 96: 0.00234457972411262
Position 3580: 0.002293738042367965
Position 444: 0.0020882364613939745
Position 3288: 0.0016452023191812772
Position 539: 0.0015341422939032505
Position 1846: 0.0014011439782276528
Position 3464: 0.001376657814727739
Position 3994: 0.0013649457318529608
Position 2913: 0.0013637606027410653
Position 113: 0.0013202150256872408
Position 4384: 0.0012680471206349647
Position 3309: 0.0010469160959045065
Position 1680: 0.0010464840308144236
Position 1132: 0.001042517405689018
Position 5128: 0.0008817991550912502
Position 2594: 0.0008435199086260735
Position 2785: 0.0007728968281551437
Position 6955: 0.0007103038087771102
Position 2777: 0.0006365222727301533
Position 472: 0.0006030775873865668
Position 2966: 0.0005956622064173873
Position 683: 0.00048587404643650006
Position 3243: 0.00044095807088190503
Position 1423: 0.00042880360435880785
Position 3433: 0.0004060695755557333
Position 6062: 0.0004037542872783678
Position 6657: 0.0003684581875960704
Position 6865: 0.00032505111137764563
Position 3548: 0.00031263158169639137
Position 1238: 0.00030834318023391323
Position 3452: 0.0002289493299854547
Position 345: 0.00022557182086925626
Position 3264: 0.00021951559486884048
Position 2979: 0.00021549161899570146
Position 3297: 0.00020505719177925624
Position 1994: 0.0001871736886621311
