Gene = Fas3
index = 1162
Annotated 5SS: [  629 63618 64079 64792]
Annotated 3SS: [63299 63736 64356 66054]
SMsplice 5SS: [  629 36374 37268 37417 63618 64079 64792]
SMsplice 3SS: [36167 36434 37322 63299 63736 64356 72623]
top_k =  1000
Partition function (log Z): -72.57760402601289

Sorted 5' Splice Sites (High to Low Probability):
Position 629: 0.678302072367645
Position 1124: 0.5419426583336558
Position 23922: 0.06688803322681104
Position 201: 0.016836702276871708
Position 14354: 0.011306744194272871
Position 24004: 0.006388415557639039
Position 657: 0.0036325808661264235
Position 203: 0.0023468964531021624
Position 16515: 0.002041573007249952
Position 13549: 0.001957756552201021
Position 149: 0.0017195088521425172
Position 18392: 0.0017147445890896222
Position 888: 0.001624621639410416
Position 13330: 0.001578421565832641
Position 727: 0.0013232527697500031
Position 906: 0.0007039120981583213
Position 717: 0.0006792858709769172
Position 14: 0.0006428655378136713
Position 215: 0.0006271254951828355
Position 871: 0.00045369112857503245
Position 13585: 0.0004394339723272083
Position 1943: 0.00040772207066478735
Position 3503: 0.00039870101030384296
Position 571: 0.00035807155364920326
Position 153: 0.00034133726058183507
Position 899: 0.00032582150996074763
Position 402: 0.00020899359289655955
Position 131: 0.00017359887524487325
Position 752: 0.00016157194682834967
Position 412: 0.00014025927775414507
Position 14045: 0.00013511259251826438
Position 442: 0.0001284967885108769
Position 290: 0.00011650777569958436
Position 88: 0.00011578858004111774
Position 143: 9.89819468245667e-05
Position 384: 9.377446910976946e-05
Position 873: 8.867515872315696e-05
Position 719: 5.1915235541528434e-05
Position 1036: 4.8007019756431466e-05
Position 668: 4.7053778666098585e-05
Position 13881: 3.766102019070036e-05
Position 1099: 3.513785892326911e-05
Position 460: 3.187354903540573e-05
Position 113: 3.1695977135422984e-05
Position 998: 3.1668202866089435e-05
Position 147: 3.1360636955881795e-05
Position 1058: 2.801102921975614e-05
Position 1025: 2.168635553371899e-05
Position 876: 2.1471336729559233e-05
Position 864: 1.7994439007713057e-05
Position 2435: 1.745859678062008e-05
Position 389: 1.540930176835274e-05
Position 801: 1.534476309811448e-05
Position 71: 1.4402980142766429e-05
Position 913: 1.2775741211880886e-05
Position 205: 1.2233803429049599e-05
Position 543: 1.0495685864562417e-05
Position 698: 1.0169332851784846e-05
Position 8578: 9.40044097367603e-06
Position 2053: 8.976983960277689e-06
Position 11661: 8.438567646618815e-06
Position 817: 8.303534139988872e-06
Position 2743: 6.189370478082002e-06
Position 1628: 5.1781449859257685e-06
Position 964: 5.168760956914201e-06
Position 59: 5.066401803381733e-06
Position 5018: 4.7084378430906646e-06
Position 2397: 4.594536311853476e-06
Position 8957: 3.976589892925282e-06
Position 598: 3.896051363662321e-06
Position 8786: 3.5615433037968265e-06
Position 122: 3.497058303746114e-06
Position 8961: 3.4112523930426086e-06
Position 1472: 3.016043019438328e-06
Position 207: 2.9521448869203666e-06
Position 1000: 2.4198351922400435e-06
