Gene = homer
index = 1731
Annotated 5SS: [ 167 1218 1710 1842 2172 2363]
Annotated 3SS: [ 928 1272 1762 1904 2227 2416]
SMsplice 5SS: [ 563 1218 1710 1842 2172 2363]
SMsplice 3SS: [ 928 1272 1762 1904 2227 2416]
top_k =  1000
Partition function (log Z): 15.974854654565158

Sorted 5' Splice Sites (High to Low Probability):
Position 1842: 0.9993905958601007
Position 1218: 0.9992995394082127
Position 1710: 0.993412852861625
Position 2363: 0.9703486177662433
Position 2172: 0.9674361305458121
Position 563: 0.5212181395243783
Position 167: 0.2532356488548208
Position 2833: 0.09999766202224769
Position 406: 0.0687206437038328
Position 3048: 0.06801214296997084
Position 2176: 0.029791597088891845
Position 2490: 0.021174931520112666
Position 388: 0.01906464803281295
Position 3079: 0.016554014956021382
Position 3106: 0.01501189232672531
Position 808: 0.013014319005573672
Position 410: 0.004583772320340923
Position 414: 0.004520378633236616
Position 216: 0.004173648870136171
Position 3084: 0.003973962714091621
Position 2916: 0.003881730419174172
Position 2712: 0.0035690576499211313
Position 301: 0.0035281029335901075
Position 3110: 0.0027808645389936198
Position 3623: 0.002673746913510476
Position 3116: 0.0021660340205407027
Position 2496: 0.0021520377859445263
Position 3792: 0.002104024489579238
Position 285: 0.0019741533218128778
Position 529: 0.0016850426338079574
Position 1023: 0.0012042985189749348
Position 372: 0.0011963340505389793
Position 376: 0.0011646894603584215
Position 5: 0.0009914043677017458
Position 3627: 0.000740728321991705
Position 43: 0.0006298675588896042
Position 2344: 0.0005911240358690944
Position 1671: 0.0005785762980807147
Position 2156: 0.00047508006057905134
Position 3604: 0.0003952794073217278
Position 3472: 0.00037352473677808177
Position 585: 0.0003437538924990283
Position 1089: 0.00032931900595506826
Position 2149: 0.0002924400712803308
Position 95: 0.0002890405613008877
Position 262: 0.00028381654156240933
Position 784: 0.0002819095847482677
Position 3288: 0.00023711814012200797
Position 3072: 0.00022976894709387616
Position 3359: 0.00022266176584901572
Position 2350: 0.00019428730355846292
Position 1055: 0.0001793726758868682
Position 1225: 0.00017596057128189287
Position 114: 0.00017119287130960926
Position 3646: 0.00016922672873997854
Position 2877: 0.0001688070888197091
Position 829: 0.00016683046170271195
Position 380: 0.00014712206724329507
Position 2129: 0.00014226607495451367
Position 2417: 0.00013834795584748543
Position 2738: 0.00013022595217177744
Position 3271: 0.00013019533605295187
Position 1178: 0.00011649152589676962
Position 2994: 0.00011045823645187616
Position 3273: 0.00010953100477666084
Position 1573: 0.00010351065589369323
Position 390: 8.753032733225512e-05
Position 3158: 8.699514620072391e-05
Position 2056: 8.250051382630968e-05
Position 265: 8.153918852736368e-05
Position 3330: 8.006560921267822e-05
Position 321: 7.415077871252105e-05
Position 2253: 7.304708285589097e-05
Position 2326: 6.499134627219644e-05
Position 268: 6.222462168477512e-05
Position 139: 5.94041922093077e-05
Position 2906: 5.7707580970529126e-05
Position 2246: 5.642744367613401e-05
Position 2950: 5.596026977542124e-05
Position 1393: 5.579517082076619e-05
Position 3583: 4.8441314841125846e-05
Position 1438: 4.5520872124222806e-05
Position 289: 4.259866759870076e-05
Position 2773: 3.891537968069798e-05
Position 2061: 3.4973515203679495e-05
Position 593: 3.133200749887e-05
Position 1017: 3.095008803882953e-05
Position 2307: 2.916184804313018e-05
Position 394: 2.769520663423377e-05
Position 551: 2.763606737131427e-05
Position 668: 2.2959676490308217e-05
Position 1685: 2.2881676154999646e-05
Position 62: 2.16764293344473e-05
