Gene = mtgo
index = 1803
Annotated 5SS: [   423  14929 107897 112937]
Annotated 3SS: [ 12862 107726 112482 113007]
SMsplice 5SS: [   423 107897 112937]
SMsplice 3SS: [107726 112482 113007]
top_k =  1000
Partition function (log Z): -127.54694823234152

Sorted 5' Splice Sites (High to Low Probability):
Position 423: 0.995736544326469
Position 23200: 0.0114202547266309
Position 74: 0.004093167398184041
Position 14929: 0.0025208048818009515
Position 305: 5.319469990191244e-05
Position 327: 5.284471599159459e-05
Position 120: 2.3915042396778126e-05
Position 178: 1.9772205804750384e-05
Position 143: 1.4887056779290352e-05
Position 309: 6.238327044811083e-06
Position 15749: 1.91865824745422e-06
Position 3807: 5.198798599548272e-07
Position 4081: 4.7256912713991366e-07
Position 13719: 2.0533636492498852e-07
Position 15562: 8.36982749549162e-08
Position 1998: 5.7355496787452894e-08
Position 1631: 2.895127671122102e-08
Position 5843: 2.630602568240122e-08
Position 8523: 2.2458658891118534e-08
Position 1573: 1.4905130124472956e-08
Position 8137: 1.139748694835477e-08
Position 1329: 9.82730859611075e-09
Position 8141: 9.378319364131745e-09
Position 7359: 7.951244606680178e-09
Position 3418: 6.681132960733474e-09
Position 3189: 5.084748438652477e-09
Position 82: 4.4570215481117155e-09
Position 961: 3.829649331488792e-09
Position 1008: 3.5642892291205337e-09
Position 897: 3.4616039833359244e-09
Position 323: 3.0226760240165543e-09
Position 1965: 2.6870668248752113e-09
Position 2282: 2.189405983348967e-09
Position 644: 1.8479585470295982e-09
Position 2091: 1.6895359873296437e-09
Position 3398: 1.4383938458768273e-09
Position 3844: 1.3660538435887136e-09
Position 3826: 1.342541503635316e-09
Position 1036: 1.2542250889752342e-09
Position 152: 1.1328243302327104e-09
Position 648: 1.1194766720416846e-09
Position 311: 1.0481612911606841e-09
Position 3253: 8.587322019249792e-10
Position 1029: 8.480901781527844e-10
Position 2782: 6.598166246490522e-10
Position 159: 6.008116576520432e-10
Position 1744: 5.976907811481949e-10
Position 1822: 5.714017674260077e-10
Position 8108: 4.6405303286862247e-10
Position 1085: 3.6335769853360023e-10
Position 1969: 2.970530262734518e-10
Position 53: 2.733736237248391e-10
Position 1358: 2.5441721833171335e-10
Position 185: 1.965876954195451e-10
Position 188: 1.4907328849187429e-10
Position 447: 1.2852082226021045e-10
Position 1944: 1.1763942678398249e-10
Position 101: 1.0660791635697494e-10
Position 7075: 9.200322663806972e-11
Position 1338: 8.903138961110811e-11
Position 10401: 7.362611555877783e-11
Position 915: 7.284648683558136e-11
Position 1747: 6.940885734203947e-11
Position 2702: 6.607102202514095e-11
Position 1690: 6.518568550352668e-11
Position 2916: 6.417436446219366e-11
Position 968: 6.286259954221704e-11
Position 4834: 6.038164026370623e-11
Position 768: 4.9853355057889737e-11
Position 546: 4.855847758003405e-11
Position 2714: 4.837411834966139e-11
Position 2663: 4.677379447231377e-11
Position 2634: 4.6742681716190456e-11
Position 1040: 4.6120565657640835e-11
Position 773: 4.0507640771602585e-11
Position 684: 4.009616651400507e-11
Position 1055: 3.65430690534909e-11
Position 192: 3.191449834311063e-11
Position 2125: 3.174869463507028e-11
Position 444: 3.0929342207244026e-11
Position 4974: 3.0300640136874864e-11
Position 652: 2.985021005063022e-11
Position 1350: 2.7812451906814642e-11
Position 640: 2.6708628092566458e-11
Position 255: 2.5594331124708332e-11
Position 20: 2.334803816102524e-11
Position 1568: 2.1081598272107614e-11
Position 442: 2.0898303887704484e-11
Position 682: 1.921902210719237e-11
Position 598: 1.6855787863734604e-11
Position 113: 1.3682891011668285e-11
Position 211: 1.2040082633565064e-11
Position 296: 1.1645020013556263e-11
Position 1188: 1.1258846151035706e-11
Position 1034: 1.0715327919566184e-11
Position 1082: 9.438790471831338e-12
Position 331: 7.0064233498607835e-12
Position 321: 4.098956388077919e-12
Position 604: 3.649015708237047e-12
Position 688: 3.5951567205823595e-12
Position 633: 3.435987318927436e-12
Position 636: 3.262959854549937e-12
Position 676: 2.942158481665827e-12
Position 89: 2.9158443189589484e-12
Position 294: 2.852341077575814e-12
Position 315: 2.8043185820906293e-12
Position 214: 2.3632560312029078e-12
Position 427: 2.331351009180931e-12
Position 488: 2.24266970853472e-12
Position 555: 2.223826973950159e-12
Position 1069: 1.908942929695464e-12
Position 1014: 1.7536283713695297e-12
Position 313: 1.4031459563313503e-12
Position 1236: 1.2670876228566503e-12
Position 674: 1.124454498157625e-12
Position 728: 1.0845808859211482e-12
Position 1432: 8.60411678373927e-13
Position 795: 4.0929170270653556e-13
Position 548: 3.7827694718432545e-13
Position 1146: 3.2460304672770005e-13
Position 1937: 1.271843374998928e-16
Position 1590: 1.204721526021675e-16
Position 2462: 7.681646551823903e-17
Position 2222: 5.1046704605936165e-17
Position 459: 4.8253133164791393e-17
Position 1729: 4.356980103540527e-17
Position 1985: 1.7023931090483948e-17
Position 1884: 1.522607880815524e-17
Position 2059: 1.3800467726406357e-17

Sorted 3' Splice Sites (High to Low Probability):
Position 29415: 0.9128100033901071
Position 27148: 0.07125843799304814
Position 23310: 0.011507975526361569
Position 23018: 0.010208017865573982
Position 22846: 0.004544721917866398
Position 14648: 0.0009526796451326521
Position 12862: 0.0009116709903042126
Position 23381: 0.0006947747989781924
Position 14024: 0.00041265923173922184
Position 13270: 0.0001852425370347981
Position 21996: 0.00012734142977496263
Position 21605: 0.00012152181536178554
Position 21623: 7.963545268146231e-05
Position 12989: 3.848537003095566e-05
Position 21325: 3.829256053600945e-05
Position 12729: 2.057278543394698e-05
Position 19137: 1.0510911096052914e-05
Position 16057: 4.957363101804867e-06
Position 19625: 4.76700366921425e-06
Position 15225: 4.403016487737706e-06
Position 18959: 2.977939978946057e-06
Position 17160: 1.548369941972529e-06
Position 18491: 1.1183072159395598e-06
Position 3674: 7.289629102635124e-07
Position 203: 5.477382448935827e-07
Position 17188: 2.671814433770155e-07
Position 17143: 2.595570833543279e-07
