Gene = Plap
index = 1383
Annotated 5SS: [ 138  738 1671 2354]
Annotated 3SS: [ 406  803 1726 2410]
SMsplice 5SS: [ 738 1313 2354]
SMsplice 3SS: [ 834 1726 2410]
top_k =  1000
Partition function (log Z): -7.352039469876797

Sorted 5' Splice Sites (High to Low Probability):
Position 738: 0.9620521609234484
Position 2354: 0.6322335754329397
Position 1313: 0.42810741764768134
Position 1671: 0.08906091653088996
Position 2337: 0.07497744089331497
Position 976: 0.058624360748134936
Position 3009: 0.05573879240613783
Position 1546: 0.029413434370069443
Position 138: 0.021788890980928108
Position 1143: 0.020586780809729845
Position 1845: 0.01952624266397844
Position 1831: 0.012642487312642127
Position 1491: 0.011982917726470152
Position 2877: 0.010558958909011939
Position 1583: 0.010189422915988958
Position 102: 0.008681661885112057
Position 3014: 0.008335949216856925
Position 470: 0.008025678049654773
Position 300: 0.006299536062206291
Position 1317: 0.005237372290115301
Position 1916: 0.004473603637526971
Position 304: 0.0034856651762516337
Position 753: 0.0033900581845476155
Position 468: 0.0033286292031333327
Position 2899: 0.003224438742092574
Position 655: 0.0032069476661008224
Position 698: 0.003094146570660541
Position 1552: 0.002980077412723009
Position 2358: 0.0027172001396360006
Position 721: 0.002662794743042414
Position 1682: 0.0020300569929832834
Position 1231: 0.0017886064396538527
Position 1652: 0.0017671125369171723
Position 6: 0.001604344212891475
Position 289: 0.0015505546835366671
Position 1541: 0.001511286172346152
Position 2253: 0.0012314977193739582
Position 1067: 0.0011985074856910374
Position 1435: 0.0010923198780245923
Position 1045: 0.0010165569063269194
Position 521: 0.0009633496200871111
Position 1612: 0.0008924579611913838
Position 2775: 0.0006864531228468157
Position 21: 0.0005894238197097152
Position 677: 0.0005717821688760365
Position 1657: 0.0005283447587239262
Position 1157: 0.0005042974300078466
Position 649: 0.0004944735118886945
Position 1495: 0.0004727983732936716
Position 167: 0.0004723935622843698
Position 882: 0.0004454666522854827
Position 1785: 0.00043411666096529916
Position 1390: 0.000414121631949994
Position 2918: 0.0003980936112186619
Position 1854: 0.00038979009918427586
Position 3012: 0.0003316048960341284
Position 758: 0.00028247275644642105
Position 1108: 0.00025817254253538254
Position 2259: 0.00022260359286498888
Position 2055: 0.00020710102062813292
Position 640: 0.0001725519967912341
Position 39: 0.0001659965133908892
Position 2984: 0.00015949681006972155
Position 1488: 0.00015737782339903534
Position 1486: 0.00014676987534461506
Position 1154: 0.000145997709132867
Position 57: 0.00013698028766072129
Position 1428: 0.0001336189644985202
Position 81: 0.00010965595952664554
Position 1629: 0.00010687455682273727
Position 1217: 9.874407937641885e-05
Position 1321: 9.483570827510443e-05
Position 402: 9.467596825295115e-05
Position 940: 9.311671466168287e-05
Position 2694: 8.814609418736444e-05
Position 1543: 8.735382113875666e-05
Position 2592: 6.555035786143393e-05
Position 1147: 5.077886478493556e-05
Position 3084: 4.783713195728034e-05
Position 2323: 4.278448850152229e-05
Position 2742: 3.2331420100412085e-05
Position 182: 2.7451374403388692e-05
Position 2218: 2.7159638072190637e-05
