Gene = aph-1
index = 1611
Annotated 5SS: [475]
Annotated 3SS: [533]
SMsplice 5SS: [237 475]
SMsplice 3SS: [300 533]
top_k =  1000
Partition function (log Z): -3.700786368118157

Sorted 5' Splice Sites (High to Low Probability):
Position 475: 0.9673891931779377
Position 237: 0.9074351162346087
Position 490: 0.014131508896462232
Position 234: 0.008173010156103017
Position 636: 0.007187433861164359
Position 27: 0.0059253163979955835
Position 141: 0.0020753583848181207
Position 883: 0.001972970160306302
Position 63: 0.001716953232124715
Position 869: 0.0012411879390208855
Position 169: 0.0010397475330042331
Position 854: 0.0009368629488543
Position 454: 0.0001325210204982204
Position 602: 0.00010067681281170582
Position 704: 9.209791395147507e-05
Position 896: 6.0508326223873094e-05
Position 807: 4.908717084879184e-05
Position 829: 4.276346103022962e-05
Position 460: 4.083508673729197e-05
Position 605: 3.491234987456297e-05
Position 479: 2.6620841552625657e-05
Position 687: 2.001436011020417e-05
Position 145: 1.5045742854544705e-05
Position 444: 1.496529634179498e-05
Position 312: 9.876876549262348e-06
Position 494: 9.121983042280883e-06
Position 379: 5.246052121675278e-06
Position 6: 5.243149175658779e-06
Position 928: 5.126293599016458e-06
Position 289: 3.4874913438356926e-06
Position 690: 2.0385640669437045e-06
Position 96: 1.3955394240583782e-06
Position 280: 1.2844511357451582e-06
Position 499: 1.0726280071065163e-06
Position 943: 1.0690112310468196e-06
Position 535: 9.771107596700057e-07
Position 526: 9.57835757082174e-07
Position 277: 3.134044399306425e-07
Position 87: 1.989540064859066e-07
Position 708: 1.6403216749567417e-07
Position 792: 1.261174912437561e-07
Position 774: 1.0438315913958945e-07
Position 409: 6.247237168899612e-08
Position 582: 6.163167933256605e-08
Position 261: 5.3256265542880064e-08
Position 291: 5.034483587880796e-08
Position 538: 1.6553555023367433e-08
Position 361: 1.317876407001655e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 533: 0.95750198180443
Position 300: 0.9246376724515846
Position 681: 0.016947583149017557
Position 697: 0.011680621626911653
Position 943: 0.0046303562181061984
Position 560: 0.0011390040062715602
Position 76: 0.0008721076381068466
Position 993: 0.0008194756549454442
Position 81: 0.0005016823233622737
Position 517: 0.0003684911439705903
Position 599: 0.0002569340690366592
Position 304: 0.00017306975054703802
Position 890: 7.723621776402538e-05
Position 1018: 7.15698091109393e-05
Position 338: 6.819356936534722e-05
Position 258: 5.57019799192616e-05
Position 835: 3.282209980727181e-05
Position 1010: 2.8285008461509645e-05
Position 169: 1.989673121255715e-05
Position 96: 9.922155692584326e-06
Position 883: 5.618314578744166e-06
Position 535: 2.671246235335915e-06
Position 854: 5.398034963621463e-07
Position 869: 4.845939971046314e-07
Position 829: 1.7751940149030062e-07
Position 348: 1.1109177644217307e-07
Position 63: 1.046896741233416e-07
Position 261: 7.55133019349367e-08
Position 999: 5.24936892445483e-08
Position 489: 5.163077131294948e-08
Position 634: 4.6459678310263567e-08
Position 48: 4.581610062064893e-08
Position 393: 4.228644322800852e-08
Position 484: 3.244290378917298e-08
Position 369: 2.884327678784042e-08
Position 345: 1.9457513330623176e-08
Position 792: 1.881771999266635e-08
Position 508: 1.7215902315015446e-08
Position 572: 8.863782565310101e-09
Position 54: 7.055634697184351e-09
Position 379: 6.9432783951257455e-09
Position 479: 1.1340601153143268e-10
