Gene = Skadu
index = 1503
Annotated 5SS: [94]
Annotated 3SS: [148]
SMsplice 5SS: [94]
SMsplice 3SS: [148]
top_k =  1000
Partition function (log Z): -6.816972548194605

Sorted 5' Splice Sites (High to Low Probability):
Position 94: 0.9902002480177958
Position 484: 0.03203191488312315
Position 323: 0.023520614486416184
Position 532: 0.019755563469859624
Position 361: 0.006590651369148698
Position 385: 0.003522425705795858
Position 302: 0.0006292082532568894
Position 215: 0.000429466744763725
Position 98: 0.0004089067358754316
Position 541: 0.00026240230273135405
Position 389: 0.00024362292377235948
Position 58: 0.00023317546223271626
Position 206: 1.584731824156407e-05
Position 235: 6.4957265721740845e-06
Position 73: 3.7532912911240166e-06
Position 589: 2.9368686270088917e-06
Position 266: 2.3040611700362963e-06
Position 452: 2.2037123212251946e-06
Position 661: 1.4020436156233356e-06
Position 416: 8.526827496128432e-07
Position 594: 8.012637295147295e-07
Position 178: 7.651258150019053e-07
Position 582: 6.811860726529946e-07
Position 227: 2.7812999270876756e-07
Position 624: 9.45200982125591e-08
Position 673: 1.3423757839239199e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 148: 0.9109781338043222
Position 198: 0.04683206736745748
Position 582: 0.04253505457710485
Position 412: 0.035842064770091976
Position 629: 0.019324767400551415
Position 445: 0.01049281531873619
Position 251: 0.006464327707489224
Position 150: 0.001272027219745035
Position 651: 0.0009132384157816207
Position 594: 0.0006038434667311915
Position 541: 0.00047396187434589225
Position 361: 0.000362982021719461
Position 232: 0.00022830697424666702
Position 235: 0.00020883425307215362
Position 510: 0.00017965352000279505
Position 466: 0.00014751300831330477
Position 206: 0.0001407608827384495
Position 215: 0.00014072421641031605
Position 457: 0.00013565799817324463
Position 708: 0.00012166073295273867
Position 385: 9.945350475836763e-05
Position 110: 9.323935889472423e-05
Position 220: 7.415993827066733e-05
Position 340: 6.713728284237787e-05
Position 532: 6.379367057247932e-05
Position 343: 4.5398941846539787e-05
Position 484: 6.229721196745945e-06
Position 661: 5.969197253695797e-06
Position 538: 5.508261360596435e-06
Position 481: 4.532754245360101e-06
Position 302: 1.32284785540571e-06
Position 686: 7.307096236873507e-07
Position 715: 3.6348283956102745e-07
Position 683: 2.305646796952017e-07
Position 514: 1.0303729973060697e-07
Position 293: 3.3198921103114975e-08
Position 289: 2.770637823540806e-08
Position 512: 7.567782153205176e-16
