Gene = Ssb-c31a
index = 1525
Annotated 5SS: [156]
Annotated 3SS: [211]
SMsplice 5SS: [156]
SMsplice 3SS: [211]
top_k =  1000
Partition function (log Z): -3.43731459123486

Sorted 5' Splice Sites (High to Low Probability):
Position 156: 0.9987686194121215
Position 515: 0.003594067876981623
Position 323: 0.0016804683826130635
Position 186: 0.0010524578943982982
Position 518: 0.0010305506497769348
Position 528: 0.0005150483858656625
Position 493: 0.00021427537106319847
Position 160: 7.966241882667623e-05
Position 195: 5.822345186723628e-05
Position 370: 3.447678153325062e-05
Position 356: 2.644951333521135e-05
Position 213: 1.7760389028243816e-05
Position 464: 1.3204773167320309e-05
Position 27: 1.1226137441391056e-05
Position 288: 6.119799328688135e-06
Position 452: 4.086594315614478e-06
Position 345: 2.507743622940566e-06
Position 337: 2.321204444329067e-06
Position 145: 1.615348140517889e-06
Position 8: 1.4028957226057176e-06
Position 68: 2.2757784787277174e-07
Position 77: 6.377293629773793e-08
Position 125: 5.5887208514538663e-08
Position 63: 3.1929321133400497e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 211: 0.9744000493679273
Position 263: 0.023682132608651905
Position 576: 0.006923899490922867
Position 220: 0.0010477418137206022
Position 272: 0.0005202636831427847
Position 409: 0.0001262049162384389
Position 382: 8.41108238208113e-05
Position 406: 8.199498804308195e-05
Position 228: 6.159478330760172e-05
Position 439: 5.426685878673191e-05
Position 311: 3.483058288494548e-05
Position 540: 3.1071348856906695e-05
Position 452: 2.8990159570509857e-05
Position 322: 1.7731991600827826e-05
Position 235: 6.283971568788073e-06
Position 232: 3.95364478458542e-06
Position 113: 2.752433977285673e-06
Position 515: 1.928484523595161e-06
Position 241: 1.0733708536825385e-06
Position 116: 7.563745209378644e-07
Position 521: 7.456786075274285e-07
Position 493: 7.134401865140005e-07
Position 464: 6.790964666257786e-07
Position 461: 3.508529529886728e-07
Position 185: 2.5631121816228656e-07
Position 368: 2.528609998237306e-07
Position 132: 1.9210780021712287e-07
Position 119: 5.072023894046646e-08
Position 136: 2.853498428910846e-08
Position 370: 1.2135842111725043e-08
Position 481: 3.5863090334013214e-09
Position 337: 2.958537950531933e-09
Position 150: 1.6515674145637355e-09
Position 195: 1.0598215631196832e-09
Position 142: 8.007793921824606e-10
Position 168: 6.968458828148189e-10
Position 160: 4.5303482584924323e-14
