Gene = gnu
index = 1717
Annotated 5SS: [129]
Annotated 3SS: [186]
SMsplice 5SS: [129]
SMsplice 3SS: [186]
top_k =  1000
Partition function (log Z): -5.416432697122731

Sorted 5' Splice Sites (High to Low Probability):
Position 129: 0.9910487473339357
Position 330: 0.021761800620197034
Position 359: 0.012091904777014795
Position 14: 0.0067070244062914855
Position 280: 0.00392801458129117
Position 132: 0.0012426045060902006
Position 592: 0.0007592450955058628
Position 340: 0.00042320247680988613
Position 119: 0.0001785582593953751
Position 609: 0.0001603633823940662
Position 149: 0.00014265788116192096
Position 353: 0.00011973562733814927
Position 88: 7.29855250750283e-05
Position 448: 6.291811305347904e-05
Position 157: 5.552456906521244e-05
Position 4: 4.843813272538213e-05
Position 584: 3.842334325428219e-05
Position 672: 2.2531606559296752e-05
Position 426: 1.6263335398430888e-05
Position 625: 1.4988442179271872e-05
Position 774: 8.186489556935793e-06
Position 893: 6.901737834264362e-06
Position 816: 6.09504136334514e-06
Position 691: 5.378517057953281e-06
Position 442: 5.0398128646962785e-06
Position 637: 4.614963488274685e-06
Position 267: 4.093340408056573e-06
Position 699: 3.564543680689934e-06
Position 18: 3.024348737653896e-06
Position 391: 2.71622584336448e-06
Position 44: 1.34293283106983e-06
Position 421: 3.785155822905284e-07
Position 72: 3.378962965705109e-07
Position 66: 2.3046181364706782e-07
Position 57: 1.1785109046142589e-07
Position 249: 1.307766269128789e-08
Position 54: 1.2302201976808901e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 186: 0.9918832920123034
Position 404: 0.03503582604582839
Position 231: 0.004657383911780242
Position 442: 0.0018772472868698834
Position 340: 0.0017397449945959255
Position 741: 0.0016111262046025027
Position 246: 0.0013003412947119048
Position 659: 0.00048191972084012775
Position 472: 0.00010653964865579985
Position 896: 5.1781878688614604e-05
Position 554: 3.260628393123483e-05
Position 522: 2.8792132802061213e-05
Position 551: 2.4794507156075e-05
Position 264: 1.9770543250193405e-05
Position 758: 1.818071039590968e-05
Position 637: 1.2933687177201067e-05
Position 126: 1.1130818063523962e-05
Position 448: 1.0836285477030484e-05
Position 515: 1.0081705098203335e-05
Position 274: 9.486285975752548e-06
Position 952: 6.963542795513071e-06
Position 157: 6.243655646732107e-06
Position 743: 3.639773687552624e-06
Position 314: 2.6788254378413023e-06
Position 797: 2.303620929884151e-06
Position 602: 4.482207389100685e-07
Position 106: 3.851576208878965e-07
Position 508: 2.597895641518646e-07
Position 691: 2.500451122292403e-07
Position 492: 1.8589071840061224e-07
Position 761: 1.4040582552136031e-07
Position 132: 1.3420529944329067e-07
Position 572: 1.3015808566820845e-07
Position 592: 9.307065157434021e-08
Position 526: 7.400760694889375e-08
Position 128: 7.019210977186484e-08
Position 869: 3.602052019492533e-08
Position 609: 3.376522011299573e-08
Position 278: 2.949031408900754e-08
Position 677: 2.69154847990768e-08
Position 622: 2.3864663171080384e-08
Position 533: 1.3488294738777904e-08
Position 467: 8.38866763970134e-12
Position 289: 9.794868481689092e-14
Position 519: 3.124382401511339e-14
