Gene = REPTOR-BP
index = 1399
Annotated 5SS: [140 509 761]
Annotated 3SS: [423 638 821]
SMsplice 5SS: [509 765]
SMsplice 3SS: [638 821]
top_k =  1000
Partition function (log Z): 6.004341583086531

Sorted 5' Splice Sites (High to Low Probability):
Position 509: 0.9940582780987046
Position 765: 0.9100853640945039
Position 961: 0.1260445042776955
Position 969: 0.06033605298432886
Position 761: 0.047911418737050626
Position 140: 0.039210554908118526
Position 744: 0.031057446087140648
Position 224: 0.01062094394840166
Position 210: 0.006021575290381022
Position 551: 0.00426102549649994
Position 731: 0.003784765700139689
Position 137: 0.0025668619550287754
Position 258: 0.0013740464065226876
Position 169: 0.0005344540234435132
Position 734: 0.0003519309835922397
Position 228: 0.0002947961255305531
Position 266: 0.00021678574995762038
Position 878: 0.00020528803994002213
Position 278: 0.00015389171024203103
Position 324: 0.0001057476120774323
Position 566: 9.234382532432262e-05
Position 58: 7.599976287640228e-05
Position 115: 5.2863848359692085e-05
Position 177: 5.2037562312258175e-05
Position 166: 4.9543998762081865e-05
Position 1010: 3.8962108336782386e-05
Position 197: 3.265227991415617e-05
Position 376: 2.8755327909747422e-05
Position 64: 2.699408870826713e-05
Position 710: 2.2883431236647067e-05
Position 77: 2.1094156975826826e-05
Position 574: 1.8856090038527853e-05
Position 20: 1.148870009124394e-05
Position 264: 1.119092868643808e-05
Position 842: 8.975615683315104e-06
Position 222: 5.691674434599796e-06
Position 688: 5.636059543385934e-06
Position 786: 4.28797902972754e-06
Position 50: 3.3930898638233634e-06
Position 256: 3.2008282054182734e-06
Position 61: 2.537967798538776e-06
Position 10: 2.1561538033390745e-06
Position 3: 1.683157599568439e-06
Position 474: 6.704065001542757e-07
Position 821: 6.484131807951979e-07
Position 694: 5.546361446393542e-07
Position 594: 5.228809236725367e-07
Position 1045: 4.3541826607452606e-07
Position 390: 1.6383174346920456e-07
Position 1054: 1.2267973377631972e-07
Position 440: 1.0977650442094821e-07
Position 654: 1.1943618451632768e-08
Position 621: 5.724483453971995e-12
Position 623: 5.3821883164696845e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 638: 0.9996840811779352
Position 821: 0.9868599717459912
Position 1035: 0.17152027320670798
Position 426: 0.04273614101740968
Position 1059: 0.015137319706028088
Position 423: 0.009162941530122847
Position 842: 0.005829862645702209
Position 210: 0.004911712693162713
Position 298: 0.0016626746003901905
Position 324: 0.0004930289770817292
Position 358: 0.0004260896053913631
Position 316: 0.00038397476550977865
Position 566: 0.00019796582173630208
Position 1068: 0.00017115229841468258
Position 1098: 0.00016852182082445548
Position 933: 0.00011703894811206499
Position 645: 6.910787299503187e-05
Position 1079: 5.7422607196737924e-05
Position 246: 4.7183312492680744e-05
Position 369: 3.446528795460613e-05
Position 463: 2.3781929020561175e-05
Position 214: 1.3788559872536782e-05
Position 648: 1.2014806645651398e-05
Position 887: 1.0724389634500163e-05
Position 1001: 9.449049824118244e-06
Position 435: 9.115037507758857e-06
Position 878: 7.197651040385542e-06
Position 449: 4.517147068492347e-06
Position 853: 2.810458268479088e-06
Position 574: 2.4950011583419946e-06
Position 75: 1.229332933455258e-06
Position 163: 1.2231873306946002e-06
Position 939: 7.023031109163569e-07
Position 103: 6.012667158019712e-07
Position 467: 5.268537269526157e-07
Position 682: 4.1212185088343207e-07
Position 909: 2.065135481068979e-07
Position 499: 1.1145512952649062e-07
Position 654: 6.562824772760235e-08
Position 660: 6.146933907239545e-08
Position 105: 5.935647005657847e-08
Position 137: 3.7085985711912224e-08
Position 58: 3.40530759805027e-08
Position 471: 2.8058409957415942e-08
Position 679: 2.4644400744442117e-08
Position 97: 2.3769414526657067e-08
Position 77: 1.6795932116202738e-08
Position 127: 5.380174080342651e-09
Position 48: 2.9916128121737625e-09
Position 694: 2.794920881006135e-09
Position 508: 1.2496433989836073e-09
Position 757: 3.9487534751021464e-10
Position 847: 3.2091149903740686e-10
Position 703: 5.28532441382373e-11
Position 727: 5.1746588840291836e-11
Position 513: 3.5792995727628195e-11
Position 724: 1.993633104442676e-11
Position 50: 3.2218560698486656e-12
