Gene = baf
index = 1620
Annotated 5SS: [272]
Annotated 3SS: [353]
SMsplice 5SS: [272]
SMsplice 3SS: [353]
top_k =  1000
Partition function (log Z): -3.0982799550413698

Sorted 5' Splice Sites (High to Low Probability):
Position 272: 0.9329348168811972
Position 627: 0.13657875932350177
Position 497: 0.117817845652972
Position 280: 0.04337613336705439
Position 730: 0.017774363192100354
Position 50: 0.01672028454339821
Position 631: 0.01562818686859262
Position 276: 0.013720345429487458
Position 525: 0.01236579686887972
Position 482: 0.00884433690884794
Position 299: 0.00863397390486783
Position 874: 0.002191374125773386
Position 504: 0.0017685176660755034
Position 426: 0.001625170870220423
Position 202: 0.0006573145772762832
Position 725: 0.000645837458558079
Position 736: 0.0006019949694908895
Position 734: 0.000476398402232377
Position 635: 0.000426453185447555
Position 206: 9.991944771623472e-05
Position 833: 8.484802794152495e-05
Position 6: 7.866253031369137e-05
Position 8: 6.385383234355747e-05
Position 618: 6.113937503355301e-05
Position 590: 4.7979550508840807e-05
Position 240: 3.926302079954113e-05
Position 643: 3.278390936739013e-05
Position 54: 3.093045573716392e-05
Position 278: 2.8811829444955565e-05
Position 491: 2.248125163720942e-05
Position 650: 2.0606573669790656e-05
Position 620: 1.2347721177078117e-05
Position 866: 1.0169192688595134e-05
Position 120: 9.981573753782301e-06
Position 880: 6.093312918092061e-06
Position 580: 4.741926843803804e-06
Position 648: 3.904654701484222e-06
Position 469: 3.8095526739310693e-06
Position 325: 1.7566595247917592e-06
Position 11: 1.093305458780748e-06
Position 677: 6.708051573104512e-07
Position 747: 3.2269829562045265e-07
Position 148: 3.078933636816446e-07
Position 381: 3.398294401757401e-08
Position 320: 2.531905742725588e-08
Position 179: 2.2631857690179172e-08
Position 428: 1.6086195092628355e-08
Position 374: 9.552713415357114e-09
Position 404: 1.7176593431858944e-09
Position 660: 1.1218037007302104e-09
Position 347: 3.41417406361007e-10
Position 363: 5.7527095546528516e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 353: 0.996452622243544
Position 682: 0.19933087396972307
Position 580: 0.05383760565513533
Position 796: 0.025944078289283228
Position 553: 0.015531257009554846
Position 97: 0.013105725682858503
Position 930: 0.008479792683845534
Position 540: 0.008293311031338185
Position 374: 0.0022989558292106885
Position 125: 0.002239331537681286
Position 640: 0.0015845310437545624
Position 824: 0.0014420290056525909
Position 821: 0.0010762461798125894
Position 128: 0.0010421392508792276
Position 631: 0.0009447093332958879
Position 392: 0.0003325788041698124
Position 646: 0.0002730094145984988
Position 163: 0.0002677810089372212
Position 725: 0.0002084771075147998
Position 877: 0.0001825966962146048
Position 874: 0.00011861858029066428
Position 1006: 0.00010033151348661065
Position 102: 0.00010003732323274799
Position 64: 7.84785431061796e-05
Position 730: 3.089585092069811e-05
Position 604: 2.3779691121061094e-05
Position 880: 2.3558458554151455e-05
Position 325: 2.3254696319892254e-05
Position 901: 1.551874420311329e-05
Position 320: 1.272477779119459e-05
Position 733: 1.2130855824429968e-05
Position 171: 8.170804387535704e-06
Position 766: 6.527578687650075e-06
Position 1053: 6.51467919010325e-06
Position 401: 4.947138135737883e-06
Position 810: 4.021343421442769e-06
Position 449: 2.7381951759121103e-06
Position 253: 2.705902534972912e-06
Position 590: 2.5043574580956933e-06
Position 439: 2.1524195577366205e-06
Position 488: 1.3528947214454644e-06
Position 609: 1.2617700544390512e-06
Position 491: 1.1015009813795277e-06
Position 763: 9.460345747546751e-07
Position 776: 9.19028005076919e-07
Position 398: 8.028665619178287e-07
Position 422: 6.529001119065323e-07
Position 410: 5.964417251805573e-08
Position 133: 4.387442363320268e-08
Position 501: 3.766388169533611e-08
Position 202: 2.602430859886933e-08
Position 425: 1.576714565759056e-08
Position 503: 7.740774834385677e-09
Position 516: 3.153724027055219e-09
Position 187: 1.4373326957624784e-11
