Gene = Hr38
index = 1215
Annotated 5SS: [ 1552 24446 26133 27339]
Annotated 3SS: [24131 24986 26251 27521]
SMsplice 5SS: [  385 24446 26133 27339]
SMsplice 3SS: [24131 24986 26251 27521]
top_k =  1000
Partition function (log Z): -8.118254977502255

Sorted 5' Splice Sites (High to Low Probability):
Position 27339: 0.9918239113683757
Position 26133: 0.9710359990008076
Position 24446: 0.669394411707443
Position 385: 0.3412646715120505
Position 190: 0.2672513723508988
Position 24395: 0.25855921701572065
Position 1813: 0.23032634209049221
Position 27754: 0.19337252902977706
Position 1552: 0.1515339065951087
Position 24755: 0.11868365958467296
Position 595: 0.10477953948466834
Position 24703: 0.07999845781910805
Position 3231: 0.07120681799162168
Position 371: 0.06029456261828856
Position 990: 0.0485601875317964
Position 28436: 0.02320139924180163
Position 2845: 0.01760369830380213
Position 24724: 0.010760335784535087
Position 29164: 0.008349994576656644
Position 27794: 0.007034566904190632
Position 1012: 0.005875004438624998
Position 27343: 0.005618119984147539
Position 288: 0.005563894104663347
Position 28919: 0.0042858725367123
Position 426: 0.00400131618734736
Position 188: 0.0038925395527320255
Position 28552: 0.003890998381564597
Position 27995: 0.0036095459648165357
Position 692: 0.0036027040843582166
Position 110: 0.002704832259768625
Position 27670: 0.0026113509734285827
Position 26704: 0.002591402286481785
Position 294: 0.002559535942617068
Position 389: 0.002535536114540372
Position 26372: 0.0025270329008820424
Position 1040: 0.002189359173534374
Position 1590: 0.0021646707192240007
Position 2620: 0.0020615746157583987
Position 324: 0.0020528030197579845
Position 28611: 0.002030305379641755
Position 29217: 0.0017414206618351523
Position 310: 0.0016782436157588186
Position 26390: 0.001635589742258013
Position 30795: 0.0016060126044244597
Position 441: 0.0015758819858077645
Position 25209: 0.0015351644786365066
Position 28953: 0.0014969946127021932
Position 28585: 0.0013716896737665115
Position 524: 0.0012757826999482491
Position 27725: 0.001031592232881269
Position 1211: 0.001028970750423506
Position 2466: 0.0009999600900503227
Position 26379: 0.0007961786005879234
Position 1556: 0.000724733765689873
Position 29430: 0.00056509685782939
Position 584: 0.0004824676941509794
Position 29802: 0.0004816550496295287
Position 27348: 0.00040583322571874386
Position 28593: 0.00037899412421090145
Position 89: 0.0003691291002900792
Position 542: 0.0003665010992100765
Position 160: 0.00036380353197938345
Position 2836: 0.0003424146262713004
Position 1429: 0.0003095332475962939
Position 28753: 0.0002927546247254904
Position 28679: 0.00026863067463761173
Position 28955: 0.00026665880794552854
Position 1755: 0.0002390907654587011
Position 28957: 0.00023683767946529522
Position 27831: 0.000232937929920061
Position 28852: 0.00022972011671964452
Position 588: 0.00022222766508657772
