Gene = CycJ
index = 1114
Annotated 5SS: [195 445 945]
Annotated 3SS: [257 521 997]
SMsplice 5SS: [195 945]
SMsplice 3SS: [ 257 1004]
top_k =  1000
Partition function (log Z): -5.635725506391793

Sorted 5' Splice Sites (High to Low Probability):
Position 945: 0.9017249518594815
Position 195: 0.8826951647713164
Position 445: 0.2927641399109127
Position 503: 0.019638836174068728
Position 1297: 0.009372975097608803
Position 1063: 0.0062407900035417645
Position 207: 0.004459702286882659
Position 1134: 0.0027462148414621047
Position 454: 0.002289140707499567
Position 969: 0.0017429297000767557
Position 940: 0.001615360413012036
Position 1096: 0.001427525323100307
Position 1083: 0.0014229493407606462
Position 1190: 0.0012907460477645414
Position 1126: 0.0007110383478248174
Position 1089: 0.0004557925287985027
Position 694: 0.0003792610708653968
Position 1273: 0.00033339665957020836
Position 835: 0.0002625260499967943
Position 6: 0.00024490835966146707
Position 189: 0.00023952721400157128
Position 747: 0.0001552598840936837
Position 1072: 0.0001526751293488713
Position 489: 0.00014938937154189733
Position 545: 0.00014602860661082145
Position 721: 9.892658308941869e-05
Position 430: 9.56492965405122e-05
Position 1464: 7.097483558343319e-05
Position 949: 6.845394390032836e-05
Position 1288: 6.157260056764002e-05
Position 1448: 4.47902912061233e-05
Position 1276: 4.4159766039016706e-05
Position 510: 4.34763448553508e-05
Position 584: 4.17725549017271e-05
Position 862: 3.702078119121219e-05
Position 1217: 3.50428480856647e-05
Position 1144: 3.2483507948776194e-05
Position 37: 2.9584923677294658e-05
Position 78: 2.8889215850331465e-05
Position 524: 2.7588860099486696e-05
Position 239: 2.5012008467238297e-05
Position 21: 2.336358417318984e-05
Position 1441: 2.2249724312194813e-05
Position 762: 1.7027939017118034e-05
Position 1321: 1.5451823246455484e-05
Position 704: 1.542252851405388e-05
Position 389: 1.313610348796873e-05
Position 910: 1.0253769300744237e-05
Position 668: 8.844494845527456e-06
Position 334: 7.788842570378418e-06
Position 254: 6.617427953440638e-06
Position 60: 6.44228977057848e-06
Position 564: 6.3623124722455705e-06
Position 344: 5.1310564315533725e-06
Position 767: 4.2636962502198865e-06
Position 1171: 4.184781399090448e-06
Position 123: 4.089735299183572e-06
Position 634: 3.949612174949778e-06
Position 150: 3.7965077282387444e-06
Position 1054: 3.1296008296214024e-06
Position 424: 3.007552714403894e-06
Position 147: 2.1116011008281784e-06
Position 1450: 1.8542883126542069e-06
Position 55: 7.856079302913413e-07
Position 597: 5.243736329621913e-07
Position 826: 2.87237726490892e-07
Position 786: 1.5348621132268418e-09
Position 1248: 9.964062315646562e-10
Position 895: 7.816909340061134e-10
Position 1291: 5.508520892152557e-10
Position 997: 2.417871258626225e-10
Position 1201: 7.743227647617777e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 257: 0.8687727398277257
Position 1004: 0.5294223820286894
Position 997: 0.356996238780352
Position 608: 0.16443026844840306
Position 521: 0.07731375282637543
Position 811: 0.034877093228220066
Position 1179: 0.030638646695337796
Position 651: 0.0216312789865905
Position 1369: 0.011538905260710906
Position 786: 0.007932538409480158
Position 762: 0.007692095808041388
Position 362: 0.0060579656193071865
Position 1326: 0.004941224188029573
Position 1054: 0.0029395787497915864
Position 1206: 0.0025385975167493244
Position 616: 0.002375912391682414
Position 1332: 0.00046615017950000614
Position 1215: 0.0004562931182112743
Position 316: 0.00028724651271616554
Position 910: 0.0002443107445837303
Position 1062: 0.00022491649100155108
Position 269: 0.00021564102550504548
Position 968: 0.0001949103943402234
Position 87: 0.00018134129587412713
Position 1541: 0.00015477966403766282
Position 673: 0.00012391189505471092
Position 1222: 0.00011139518348610664
Position 700: 0.00010241064011891094
Position 945: 0.00010143155085403258
Position 1511: 9.59328659128845e-05
Position 60: 9.187075753083655e-05
Position 1193: 8.67224210735752e-05
Position 1371: 7.145060998468424e-05
Position 1441: 4.55879953764575e-05
Position 859: 4.0572397442953044e-05
Position 324: 3.5582044372110416e-05
Position 1419: 3.292879567344824e-05
Position 1402: 3.1557022867110396e-05
Position 119: 2.0757191265803347e-05
Position 1386: 2.0609681302499987e-05
Position 868: 1.6634682267516667e-05
Position 1226: 1.2800860400270017e-05
Position 1516: 1.1571598857771466e-05
Position 715: 8.344698786410463e-06
Position 1245: 7.722396493807935e-06
Position 887: 5.054768632219472e-06
Position 475: 4.045417045876966e-06
Position 739: 3.9683566852104795e-06
Position 1248: 3.6037010645097037e-06
Position 1297: 3.435151352626845e-06
Position 409: 2.8650936626803788e-06
Position 879: 2.5558977979877767e-06
Position 116: 2.4463714600594657e-06
Position 711: 2.446080574047479e-06
Position 459: 2.015560158190781e-06
Position 841: 2.0048612942010704e-06
Position 1519: 1.721100330609308e-06
Position 424: 1.5314513490676918e-06
Position 137: 1.2253442195518548e-06
Position 823: 1.0162192515281417e-06
Position 331: 8.07320584141806e-07
Position 379: 2.878226754641511e-07
Position 186: 2.6037889776500636e-07
Position 389: 2.460402629177103e-07
Position 835: 2.3680028494309032e-07
Position 320: 1.9753514647200459e-07
Position 419: 1.0148193078308508e-07
Position 167: 1.7670239394382298e-08
Position 183: 7.983995899082e-09
Position 371: 3.958028872373278e-09
Position 134: 1.718740176420359e-09
Position 123: 1.158107718552551e-09
Position 461: 1.1069148960268346e-11
Position 194: 5.94666095153596e-13
Position 464: 2.1614809336595538e-13
