Gene = Ripalpha
index = 1428
Annotated 5SS: [106 559 684]
Annotated 3SS: [307 617 737]
SMsplice 5SS: [106 559 684]
SMsplice 3SS: [307 617 737]
top_k =  1000
Partition function (log Z): -0.9780368638253059

Sorted 5' Splice Sites (High to Low Probability):
Position 559: 0.9899236930357395
Position 684: 0.9543921019651462
Position 106: 0.5046912242417099
Position 194: 0.16559399472203767
Position 242: 0.03872629697683973
Position 68: 0.02314008118079037
Position 842: 0.01592133276265592
Position 906: 0.014301278794686746
Position 239: 0.013492227170168954
Position 706: 0.007830470900847573
Position 381: 0.005575405165869145
Position 952: 0.004861610763086923
Position 189: 0.002247191711759561
Position 165: 0.001007110722907753
Position 1143: 0.0009654679106257737
Position 1186: 0.0008932673546913005
Position 229: 0.0007886244704675776
Position 1159: 0.0005712301416284021
Position 187: 0.0004843843059520477
Position 918: 0.0004770811440008168
Position 1328: 0.00036120093337601986
Position 110: 0.0003344861389716165
Position 1413: 0.0002762784785108773
Position 114: 0.00022374082725923054
Position 123: 0.00020009218173741973
Position 11: 0.00015819493823072896
Position 132: 0.000151051066717513
Position 1109: 0.0001234874271906919
Position 1309: 0.00010939478122259183
Position 772: 8.892200560275645e-05
Position 150: 8.285922994421089e-05
Position 1470: 8.24373773734027e-05
Position 71: 6.27328128006478e-05
Position 839: 6.172913331774487e-05
Position 573: 5.9833295615271074e-05
Position 130: 3.8256076275350945e-05
Position 295: 3.5618017275346305e-05
Position 174: 1.6867000635428233e-05
Position 73: 1.61504784272201e-05
Position 1380: 1.5033399680777366e-05
Position 1204: 1.4167263726688735e-05
Position 585: 1.3604937559716866e-05
Position 1196: 1.1428443779652091e-05
Position 922: 9.839515096613976e-06
Position 968: 6.491586606203781e-06
Position 1137: 5.0890448359820746e-06
Position 1146: 5.0564139996805995e-06
Position 571: 4.849462875057245e-06
Position 1052: 4.409655511671535e-06
Position 1243: 8.077301082354944e-07
Position 499: 2.8601604817567535e-07
Position 457: 6.854824365855789e-08
Position 614: 1.8613349499396936e-08
Position 472: 5.510684797938957e-09
Position 831: 3.790401564131193e-09
Position 789: 5.335555309040463e-10
Position 970: 5.194860285406472e-10
Position 737: 2.264314962016856e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 617: 0.9825091953404729
Position 737: 0.9435985024855115
Position 307: 0.6669818770379659
Position 328: 0.04715337778689648
Position 452: 0.02952831698762068
Position 748: 0.016114515804796656
Position 1478: 0.009078104962418378
Position 772: 0.0075145682060532275
Position 381: 0.007055573879964326
Position 1142: 0.004374253781402108
Position 1007: 0.0042599870216248085
Position 1526: 0.004227038248716801
Position 951: 0.0037996706228436237
Position 968: 0.0032057710264419676
Position 1449: 0.0028131140552111974
Position 130: 0.002226972460346182
Position 1239: 0.0021021897450320616
Position 150: 0.0016545344119671124
Position 918: 0.001509901368545058
Position 926: 0.0013762797049097972
Position 393: 0.0011079391204160667
Position 1243: 0.0010019907989150564
Position 1039: 0.0005970800421964213
Position 1369: 0.0005548314525272004
Position 1328: 0.0005224549372539643
Position 639: 0.00043234469214417003
Position 1013: 0.00042972651909715747
Position 652: 0.00039670421822442903
Position 483: 0.00031813927704385904
Position 140: 0.0002715362358895905
Position 1458: 0.0002171452606454968
Position 1061: 0.00021221114952672566
Position 1265: 0.00020645645162507546
Position 1052: 0.00020354656172744546
Position 1390: 0.00012545772387594203
Position 687: 0.00010945505505695769
Position 629: 0.00010764512509592086
Position 1277: 9.914415981199626e-05
Position 1544: 9.605152811532673e-05
Position 1252: 5.691488446138132e-05
Position 1117: 5.215826491208325e-05
Position 902: 4.070364202636586e-05
Position 882: 3.239178688779836e-05
Position 1289: 3.0376135128649578e-05
Position 499: 2.1946722597302814e-05
Position 896: 2.0660737154194015e-05
Position 1280: 1.8961374819438003e-05
Position 706: 1.5212068239507658e-05
Position 105: 1.4043651518836081e-05
Position 1297: 9.673834877335143e-06
Position 1228: 7.101435102263217e-06
Position 780: 6.898786486213117e-06
Position 1532: 5.926022543071122e-06
Position 194: 4.954827866456253e-06
Position 1406: 4.602361325188407e-06
Position 1182: 3.778159580833361e-06
Position 496: 3.1072980746237964e-06
Position 1214: 2.4052129846564945e-06
Position 171: 2.35803509489394e-06
Position 905: 1.5570123004812939e-06
Position 986: 1.3460025789717034e-06
Position 60: 1.3193311018842281e-06
Position 785: 1.2177996461440278e-06
Position 1557: 1.076328158946462e-06
Position 239: 1.0712620493255598e-06
Position 509: 7.573265275814941e-07
Position 672: 4.812489643913948e-07
Position 585: 4.611044801292237e-07
Position 513: 4.3513936230972737e-07
Position 536: 3.983903024999425e-07
Position 234: 3.5161054388731346e-07
Position 477: 1.5657795458481776e-07
Position 110: 9.816451117345402e-08
Position 710: 2.39552390806174e-08
Position 68: 1.3965870852180624e-08
Position 782: 1.0950975251084478e-08
Position 860: 3.851088503553162e-09
Position 815: 2.979294364119049e-09
Position 564: 2.894792179861685e-09
Position 800: 1.2734595339016156e-09
Position 556: 3.927475584116647e-10
Position 571: 3.7742045197919874e-10
Position 794: 9.884894058220081e-11
Position 776: 9.387460760017214e-11
Position 839: 2.8584807866568054e-11
