Gene = Sfp78E
index = 1495
Annotated 5SS: [378]
Annotated 3SS: [439]
SMsplice 5SS: [362]
SMsplice 3SS: [439]
top_k =  1000
Partition function (log Z): -6.427136793071044

Sorted 5' Splice Sites (High to Low Probability):
Position 362: 0.644169624838677
Position 24: 0.31981496675659826
Position 266: 0.2597278487787102
Position 378: 0.16747716719383296
Position 272: 0.08915521399644746
Position 711: 0.024736842764077185
Position 604: 0.01770714879356677
Position 763: 0.016203700717236976
Position 41: 0.013245354320943991
Position 192: 0.012713473821168894
Position 496: 0.008111093261081068
Position 376: 0.005973433405264095
Position 227: 0.005473501880313983
Position 683: 0.005337544425475647
Position 263: 0.0028616495511679047
Position 491: 0.002242078219238617
Position 699: 0.0016326790240746977
Position 779: 0.0013747477457535973
Position 57: 0.0006467044746540863
Position 86: 0.0004445147550335259
Position 55: 0.0003745276472900091
Position 460: 0.00019204285320350377
Position 399: 0.00013862469235418666
Position 31: 0.00013447946613503564
Position 664: 9.904080876719743e-05
Position 443: 8.306562915120214e-05
Position 477: 6.343548584579325e-05
Position 301: 5.7835618458495636e-05
Position 505: 5.587037689051824e-05
Position 165: 4.941840844473081e-05
Position 88: 4.3431489085033715e-05
Position 855: 3.442698371730354e-05
Position 872: 3.343944276880778e-05
Position 289: 3.2732574573144215e-05
Position 151: 2.8960055043098765e-05
Position 280: 2.3562400859237703e-05
Position 578: 2.2484577794465305e-05
Position 576: 2.045233356408306e-05
Position 720: 1.7970107835592136e-05
Position 465: 1.5574939577974177e-05
Position 827: 1.3085201371215426e-05
Position 77: 1.0974011650567598e-05
Position 549: 7.844657851441974e-06
Position 625: 5.666780394974397e-06
Position 96: 4.0555771435043196e-06
Position 840: 3.314578983097784e-06
Position 230: 2.572142494913971e-06
Position 616: 2.548585152191531e-06
Position 747: 2.4223680359819374e-06
Position 101: 2.3172411095586716e-06
Position 402: 7.396849517615395e-07
Position 418: 2.3575011535285137e-07
Position 452: 1.668355217912096e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 439: 0.8878601114327698
Position 316: 0.25461105211827606
Position 83: 0.13986438544550633
Position 77: 0.08807487950214009
Position 320: 0.06599062502299756
Position 843: 0.056293191604662556
Position 125: 0.05071379114423392
Position 660: 0.011494323050043385
Position 146: 0.011448142368624412
Position 230: 0.00718826155796928
Position 165: 0.0069420202383491105
Position 762: 0.005380014759077371
Position 601: 0.00463884769021319
Position 528: 0.0036134756477479023
Position 883: 0.0010452931477274896
Position 495: 0.0007461098442253582
Position 901: 0.0006449282435831709
Position 698: 0.0005798988992486592
Position 923: 0.0005638363959798092
Position 171: 0.0004759693136332675
Position 570: 0.00037103103890336373
Position 872: 0.0003369418663353106
Position 860: 0.0003286327958342354
Position 143: 0.00032355856324191073
Position 664: 0.0002197716727673262
Position 612: 0.00020729366729717186
Position 675: 0.00012704875504092707
Position 504: 0.00012481901557604693
Position 326: 0.00011933702428962126
Position 939: 0.00010327447426801062
Position 187: 6.734954250127437e-05
Position 477: 5.710920422485191e-05
Position 513: 1.9463984010404748e-05
Position 356: 1.848995127964413e-05
Position 270: 1.764180770227562e-05
Position 289: 6.93152984294519e-06
Position 173: 4.486514924039487e-06
Position 191: 3.6451657927083604e-06
Position 367: 4.5106458456332e-07
Position 370: 1.0354755135709131e-07
Position 343: 3.174931706002558e-08
Position 402: 2.0758180279324074e-08
Position 376: 1.6848344171139768e-08
Position 197: 6.063431037554541e-11
