Gene = mv
index = 1809
Annotated 5SS: [  304  1376  1535  1766  1943  4607  6178  6677  7720  9350  9580 10367
 10560 11371 11931 12895 13418]
Annotated 3SS: [ 1115  1457  1602  1831  2022  5394  6233  6732  7774  9408  9640 10425
 10616 11429 11995 12949 13478]
SMsplice 5SS: [  277  1376  1535  1766  1943  2307  6178  6677  7720  9350  9580 10367
 10560 11125 11371 11931 12895 13418]
SMsplice 3SS: [ 1115  1457  1602  1831  2022  5394  6233  6732  7774  9408  9640 10425
 10616 11196 11429 11995 12949 13478]
top_k =  1000
Partition function (log Z): 56.752199293945026

Sorted 5' Splice Sites (High to Low Probability):
Position 7720: 0.9995972390190456
Position 1766: 0.9978653230789266
Position 11931: 0.9970866491249438
Position 1535: 0.995416057828576
Position 9580: 0.9938114442565905
Position 6178: 0.988242146962826
Position 10367: 0.9861879897413109
Position 12895: 0.9772930800774091
Position 11371: 0.9765230568087253
Position 9350: 0.9739755016071283
Position 10560: 0.9696525703445509
Position 13418: 0.956157980019802
Position 1376: 0.9500020864680283
Position 6677: 0.9293689136726809
Position 11125: 0.7975104308297786
Position 2307: 0.7343773408004143
Position 4607: 0.612832405450815
Position 277: 0.5011738143702169
Position 1947: 0.4217540675270024
Position 304: 0.3189815716026026
Position 10736: 0.31762487027573244
Position 10756: 0.3049127253112109
Position 980: 0.23015326873022895
Position 418: 0.11029711741687213
Position 12662: 0.10798566623125848
Position 13149: 0.09315572858610921
Position 903: 0.07395860417205462
Position 1972: 0.07094999919451866
Position 8847: 0.06473216186153233
Position 4223: 0.05931739264510307
Position 6844: 0.049828945941677506
Position 8009: 0.04188060341312561
Position 13414: 0.03759135918677311
Position 10564: 0.02970292688953965
Position 11529: 0.028151412457214243
Position 3574: 0.02642357309905843
Position 11083: 0.02031091551279898
Position 13238: 0.01969040591792456
Position 12648: 0.019317497091952306
Position 7976: 0.017706175281629963
Position 7311: 0.01692241064407032
Position 11375: 0.01607994395588673
Position 1044: 0.01585416642340558
Position 1931: 0.0151747625142033
Position 7025: 0.014935046386325288
Position 10713: 0.014809453533398471
Position 9313: 0.013685233265771196
Position 10352: 0.013670369828737167
Position 2647: 0.012919170985011821
Position 10939: 0.012141089040046928
Position 2195: 0.010898379474360398
Position 91: 0.007894710413264065
Position 2864: 0.007893583590062758
Position 13188: 0.007804456766591657
Position 3556: 0.00687922594621317
Position 1057: 0.0068552187005137
Position 2381: 0.006389105933209521
Position 7912: 0.006337468869926458
Position 11835: 0.005866111305575385
Position 13182: 0.005837490036514008
Position 1918: 0.005443429166954196
Position 4654: 0.005355444437695151
Position 10929: 0.005020356654579061
Position 11332: 0.004939383185022459
Position 8234: 0.004054851816285871
Position 7298: 0.00386995789518775
Position 1332: 0.003558019970832998
Position 13399: 0.0032983078414894383
Position 11156: 0.0030652563098246964
Position 12140: 0.003018294372188269
Position 13601: 0.0029040368332118476
Position 1039: 0.002733427820504045
Position 7450: 0.002613841674586639
Position 1053: 0.0024839012685321585
Position 9569: 0.002454173593932956
Position 923: 0.00245145076827301
Position 2141: 0.0023973527999756068
Position 266: 0.0019437037731994853
Position 269: 0.0018498236906077982
Position 4337: 0.0017862809864633113
Position 2575: 0.0016331189596236464
Position 5070: 0.0015426178110172473
Position 4658: 0.0014390578989357348
Position 327: 0.0014344554832184013
Position 10946: 0.0014232490522582406
Position 12791: 0.0014108880655662613
Position 7351: 0.0014005355030769391
Position 12374: 0.0013814005416028373
Position 12311: 0.00137434652263945
Position 12260: 0.00123765959066158
Position 3842: 0.001183990924630617
Position 13047: 0.0011464052007545919
Position 11004: 0.0011208277926850981
Position 4825: 0.0010943063700839955
Position 9248: 0.0010942377643965394
Position 13588: 0.0010728935923534414
Position 2965: 0.0010524515328287274
Position 12899: 0.0010307890551587307
Position 8036: 0.001004896879820355
Position 73: 0.0009921704613028185
Position 3010: 0.0009625893389462139
Position 1726: 0.000908146745932246
Position 9340: 0.0008774567105104788
Position 11624: 0.0008161735171910236
Position 9317: 0.0008076661663540558
Position 461: 0.0007975709886279867
Position 2082: 0.0007574288454633363
Position 489: 0.0007496586048069776
Position 11655: 0.0007460520600555192
Position 9565: 0.0007039112777133876
Position 9584: 0.0006501302255803884
Position 1382: 0.0005923852064034685
Position 2674: 0.0005818644172451915
Position 13384: 0.0005435137594272432
Position 929: 0.0005362653571741566
Position 12164: 0.0005304519232335099
Position 1280: 0.0004990283793047823
Position 11935: 0.00044982666861773546
Position 2455: 0.0004003411925102124
Position 1380: 0.00039624104005954794
Position 9694: 0.0003815614473056129
Position 9946: 0.00037394610165513575
Position 11101: 0.0003641557754975619
Position 7921: 0.0003490229627748707
Position 6393: 0.0003306195999636892
Position 7955: 0.00031818835403494097
Position 10925: 0.000313378479029289
Position 9493: 0.0003074133962393013
Position 11440: 0.0003042245559271207
Position 6476: 0.00030357878193033904
Position 11535: 0.0002828517530854777
Position 10034: 0.00028095374425255826
Position 3069: 0.0002805832740489488
Position 6182: 0.0002736322981503806
Position 12960: 0.0002718870774775941
Position 12191: 0.0002615880656360939
Position 11175: 0.00026030850632588937
Position 13305: 0.00023433287191924293
Position 7327: 0.00022969756965284132
Position 208: 0.00021009928189306217
Position 1013: 0.00020849564708289747
Position 4978: 0.000208163017429758
Position 481: 0.00020648939410950365
Position 12062: 0.00020410172250481709
Position 9336: 0.00018783839676874266
