Gene = Naxd
index = 1311
Annotated 5SS: [404]
Annotated 3SS: [481]
SMsplice 5SS: [404]
SMsplice 3SS: [471]
top_k =  1000
Partition function (log Z): -5.6979140701961315

Sorted 5' Splice Sites (High to Low Probability):
Position 404: 0.9719185088683876
Position 198: 0.02183639881955041
Position 382: 0.011895932359562723
Position 823: 0.003873242078294289
Position 29: 0.003734728882625346
Position 911: 0.0029652681626891925
Position 1219: 0.001331139374890938
Position 408: 0.0013111886769295554
Position 837: 0.0009107695650832809
Position 254: 0.0008861017998576777
Position 891: 0.0008438942806342045
Position 1089: 0.0003545258490744153
Position 175: 0.0002572159703014016
Position 731: 0.0001925621895810007
Position 1001: 0.0001808496586372677
Position 71: 0.00015153454749924203
Position 930: 0.00013829875110792965
Position 1057: 0.00010518007566482127
Position 592: 9.902369294963978e-05
Position 398: 5.7495370485337956e-05
Position 434: 5.265764918265602e-05
Position 970: 4.806093826886785e-05
Position 6: 4.7469807698161435e-05
Position 1033: 4.6407689319051314e-05
Position 211: 4.575309741355102e-05
Position 946: 4.120893678833105e-05
Position 1019: 3.7138557539982345e-05
Position 45: 2.4409338004587555e-05
Position 1186: 2.2834911835670858e-05
Position 921: 2.057364836098754e-05
Position 536: 1.809073517260146e-05
Position 569: 1.7473188861458302e-05
Position 828: 1.6819260590078988e-05
Position 152: 1.3550535979497454e-05
Position 226: 1.2909256273154827e-05
Position 1093: 1.1026959113670133e-05
Position 676: 9.676166993978899e-06
Position 202: 8.888004551669253e-06
Position 886: 8.136994244899875e-06
Position 401: 8.113485083189662e-06
Position 277: 7.721950812786946e-06
Position 1136: 6.836314310893147e-06
Position 788: 5.760871878949289e-06
Position 137: 5.396930361160402e-06
Position 874: 5.376435628503539e-06
Position 877: 4.799882850831566e-06
Position 938: 4.085392578056155e-06
Position 351: 3.883289232911583e-06
Position 191: 3.8796115487769054e-06
Position 140: 3.766322458843531e-06
Position 362: 3.1052936093568005e-06
Position 572: 2.491656490119648e-06
Position 275: 2.045956208866525e-06
Position 310: 1.6267726760326426e-06
Position 993: 1.4946920454820398e-06
Position 295: 1.4291537357365976e-06
Position 332: 1.4054629887611859e-06
Position 547: 1.167482970348018e-06
Position 816: 1.1435781404390649e-06
Position 482: 9.895705074607513e-07
Position 810: 9.032140091482359e-07
Position 664: 6.684238326183051e-07
Position 86: 5.193769444623752e-07
Position 341: 3.720803475364636e-07
Position 17: 9.009557143047044e-08
Position 101: 1.938295914720285e-08
Position 127: 9.371948559120092e-09
Position 638: 3.3238506599130384e-09
Position 353: 3.0051753018953085e-09
Position 318: 2.831424243801661e-09
Position 624: 2.5617732770654726e-09
Position 737: 1.291340941048891e-09
Position 501: 4.4319923893017087e-10
Position 712: 2.493084795542234e-10
Position 656: 2.4003409494790555e-10
Position 476: 8.640449673430584e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 471: 0.8379081188829252
Position 481: 0.1576328920602441
Position 101: 0.0036501145105875673
Position 1160: 0.0034152457500690936
Position 1264: 0.0026062479374160436
Position 252: 0.0024816828556585495
Position 341: 0.0021812591906760197
Position 318: 0.002089617586768208
Position 886: 0.001877897270035597
Position 981: 0.001789694638152634
Position 310: 0.0017716063440953384
Position 1027: 0.0011772459999411242
Position 970: 0.0010098732424700587
Position 631: 0.000766604780321556
Position 670: 0.0006590553403854583
Position 1086: 0.0005613418291893633
Position 1017: 0.00030266544908366867
Position 1057: 0.0002792776270315861
Position 914: 0.0001649927965351135
Position 1107: 0.0001579658692668125
Position 946: 0.00015248101205666404
Position 347: 0.00013918552473411098
Position 74: 0.00013044612998833638
Position 544: 0.00010509993298768366
Position 133: 9.154267827082565e-05
Position 788: 8.495636070926762e-05
Position 362: 6.57015373300587e-05
Position 822: 6.253132312476422e-05
Position 804: 5.175749421931231e-05
Position 1181: 4.487533296706923e-05
Position 694: 3.361066876452766e-05
Position 148: 2.2719635720169175e-05
Position 1248: 1.9448212256797866e-05
Position 578: 1.932588844559221e-05
Position 930: 1.6880034472226215e-05
Position 706: 1.4555758014715741e-05
Position 1044: 1.2616721948318628e-05
Position 569: 1.2252715593681566e-05
Position 748: 1.1320181619798526e-05
Position 86: 9.787644900083056e-06
Position 1223: 6.297703868111722e-06
Position 115: 6.102669784879837e-06
Position 523: 5.847307820330929e-06
Position 386: 5.182824971671622e-06
Position 1162: 4.615451207874166e-06
Position 993: 2.4796105061743335e-06
Position 374: 2.1540262078282105e-06
Position 664: 2.0056896439164947e-06
Position 562: 1.5008506099700272e-06
Position 411: 1.3115850886778557e-06
Position 163: 1.1319034892596823e-06
Position 221: 9.65148450577023e-07
Position 836: 5.791418224306967e-07
Position 211: 5.493944396139686e-07
Position 175: 4.6742250366935006e-07
Position 169: 2.408637790157912e-07
Position 254: 9.056252089578738e-08
Position 369: 1.0685525861452118e-08
Position 54: 9.246895087779147e-09
Position 191: 7.899608592290176e-09
Position 76: 7.410240774687807e-09
Position 745: 4.7571041769858494e-09
Position 672: 2.386114835138219e-09
Position 731: 8.767846256447799e-10
Position 763: 2.9125822396345216e-10
Position 685: 1.6223381073996443e-10
Position 367: 2.046376212052355e-11
Position 388: 5.923698945888197e-12
