Gene = tam
index = 1907
Annotated 5SS: [2038 2916]
Annotated 3SS: [2092 2974]
SMsplice 5SS: [ 183 2038 2916]
SMsplice 3SS: [1831 2092 2974]
top_k =  1000
Partition function (log Z): -3.747954381176269

Sorted 5' Splice Sites (High to Low Probability):
Position 2916: 0.9782775922714636
Position 2038: 0.950417942582273
Position 183: 0.38972181951383394
Position 2660: 0.21951814913277043
Position 711: 0.07949674334283695
Position 846: 0.06543976074902495
Position 1134: 0.055656815868719074
Position 2042: 0.030080413698737443
Position 2521: 0.025853531545427876
Position 917: 0.0192357524245509
Position 3255: 0.017857672490107515
Position 34: 0.015206442985059576
Position 252: 0.00982387412202658
Position 339: 0.009056942790400164
Position 2615: 0.00637722295360897
Position 3033: 0.00589984483920054
Position 707: 0.0058753148004297194
Position 1318: 0.004560223967276305
Position 642: 0.004161173860290939
Position 104: 0.0034751061160889947
Position 2176: 0.0026322876895140484
Position 1056: 0.002354906360610554
Position 701: 0.002332496116076362
Position 117: 0.002243901579545048
Position 3216: 0.002071498713806019
Position 644: 0.0013606768000883854
Position 1220: 0.0012464767449355263
Position 2324: 0.001174639965244092
Position 20: 0.0009994429095601537
Position 944: 0.0009513446275439644
Position 2639: 0.0008287358383971504
Position 3285: 0.0007962410667565562
Position 382: 0.0007414734142871227
Position 324: 0.0007405913565658198
Position 2731: 0.0007060072617123691
Position 3724: 0.000580252851397514
Position 1075: 0.0005396591103556558
Position 1959: 0.00042998481376305375
Position 948: 0.0003567077906091241
Position 2762: 0.00035522608111629585
Position 3604: 0.0003445003762282717
Position 2789: 0.00034170776864470394
Position 1138: 0.0003361867118777698
Position 3600: 0.00033168575160552746
Position 353: 0.0002960346484472491
Position 474: 0.0002864841739128287
Position 3226: 0.0002615125076189481
Position 147: 0.00024953829685008796
Position 2920: 0.00023371331706771497
Position 532: 0.0002216601099175984
Position 3213: 0.00020920209533733405
Position 684: 0.00016067848581366264
Position 2332: 0.0001525619809302522
Position 2030: 0.00014940610369671402
Position 2624: 0.00014250428125865195
Position 3397: 0.00013788369574022598
Position 843: 0.00012768203594634348
Position 890: 0.00012137674875144202
Position 1559: 0.00010886181113249323
Position 2419: 9.148936289120728e-05
Position 2335: 8.820745094876637e-05
Position 1361: 8.783835982850332e-05
Position 246: 8.71817521122217e-05
Position 850: 8.545039941920225e-05
Position 1954: 8.294111062697258e-05
Position 600: 8.062023133849504e-05
Position 648: 7.78735524747708e-05
Position 2211: 7.062065957370205e-05
Position 1453: 6.955629414659933e-05
Position 1631: 6.722455749579751e-05
Position 2537: 6.436109567925396e-05
Position 393: 5.6710403480636134e-05
Position 22: 5.358279114601716e-05
Position 1628: 5.2641509781213295e-05
Position 2704: 4.985002042245913e-05
Position 210: 4.6514153492251436e-05
Position 3628: 4.503857384911096e-05
Position 1927: 3.4908208314188604e-05
Position 2237: 2.67583509780579e-05
Position 3187: 2.4019813452714206e-05
Position 369: 2.3082504527709335e-05
Position 3608: 2.0797074021468724e-05
Position 2382: 1.961820094389217e-05
Position 3459: 1.5968306091023516e-05
Position 2664: 1.5749072357123637e-05
Position 2017: 1.4653470507320822e-05
Position 2116: 1.2023250909969667e-05
Position 2597: 1.140360420999828e-05
Position 2224: 9.71082073053038e-06
Position 1179: 9.640892804519077e-06
Position 2444: 7.927927030644923e-06
Position 2066: 6.092600513393818e-06
Position 3139: 5.7431152622244305e-06
Position 2793: 5.410202479843818e-06
Position 1997: 5.225265011734723e-06
Position 744: 4.778222869129261e-06
Position 2060: 4.7127222685133796e-06
Position 3231: 4.351802395177556e-06
Position 2046: 4.181386872017543e-06
Position 3327: 4.152603277906123e-06
Position 2889: 3.303574553422986e-06
Position 2871: 2.9004800105060155e-06
Position 407: 2.415492919844729e-06
Position 491: 2.3507295507236965e-06
Position 3550: 1.161513739289477e-06
Position 3710: 1.1387104177883827e-06
Position 3538: 9.035470858357416e-07
Position 3564: 6.191062094672577e-07
Position 2266: 5.391021378361981e-07
Position 165: 4.6914199534554965e-07
Position 507: 3.5272749422042304e-07
Position 1050: 2.487574264846673e-07
Position 2051: 2.2071698704889687e-07
Position 24: 2.0977027746776868e-07
Position 142: 2.0216927359296316e-07
Position 1845: 1.9690507279348527e-07
Position 45: 1.7635586224688278e-07
Position 636: 1.529076365165051e-07
Position 402: 4.494378141796576e-08
Position 1151: 3.785093162393615e-08
Position 2234: 3.691110912403833e-08
Position 2548: 3.339245197200126e-08
Position 2769: 3.1256812598950066e-08
Position 1154: 3.1021581668382224e-08
Position 1113: 2.7038520811872412e-08
Position 86: 2.3110685698758122e-08
Position 27: 2.0949213789497436e-08
Position 1415: 1.5144032716871926e-08
Position 1618: 1.331916010733354e-08
Position 2869: 1.3151497628318369e-08
Position 287: 1.3088950339371729e-08
Position 2844: 7.229682463616405e-09
Position 3145: 6.851237469592503e-09
Position 1211: 3.954709821525377e-09
Position 669: 2.6396971552148462e-09
Position 1262: 1.4940035889285146e-09
Position 768: 1.276026614703858e-09
Position 2062: 1.1042857746116582e-09
Position 1045: 7.87553015630049e-10
Position 2552: 7.345646452579353e-10
Position 1391: 7.263229048073256e-10
Position 957: 6.853380365389932e-10
Position 2289: 6.492638289992078e-10
Position 2810: 6.018030799734387e-10
Position 3077: 2.720880793965959e-10
Position 60: 1.4977245183892755e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 2092: 0.9943195859280277
Position 2974: 0.9748079662566176
Position 1831: 0.5414571143045335
Position 2810: 0.16122695302648177
Position 2731: 0.03355715741194512
