Gene = mxt
index = 1811
Annotated 5SS: [  57 1654 2042 2209 2584 3127 3578 3756]
Annotated 3SS: [1078 1719 2136 2522 2648 3183 3636 4947]
SMsplice 5SS: [  57 1654 2042 2584 2987 3127 3578 3756]
SMsplice 3SS: [1078 1719 2343 2648 3052 3183 3636 4947]
top_k =  1000
Partition function (log Z): 14.122599787588065

Sorted 5' Splice Sites (High to Low Probability):
Position 1654: 0.9991710812574508
Position 3578: 0.989042464614519
Position 2584: 0.9613058895455915
Position 3127: 0.9276025681094233
Position 2042: 0.9119970023544036
Position 3756: 0.8186203905208321
Position 57: 0.7900883753025908
Position 2987: 0.7729624705422716
Position 4490: 0.259605491451327
Position 4857: 0.14303550957022426
Position 576: 0.06561429209208647
Position 1017: 0.059636258213254224
Position 2209: 0.04742610775906528
Position 2593: 0.023814100405003015
Position 1033: 0.021757822444087853
Position 2992: 0.017202755095634212
Position 4758: 0.015921368422159528
Position 4772: 0.014961475837279836
Position 1006: 0.01229160964124935
Position 3787: 0.009150720912081998
Position 4375: 0.0086904270223155
Position 3530: 0.00828654144351521
Position 195: 0.007800197711107776
Position 3131: 0.007719295374862588
Position 67: 0.007098769630173462
Position 4703: 0.006962133395374554
Position 4659: 0.006387898709651759
Position 215: 0.005740722575446807
Position 4232: 0.005433565370483189
Position 4869: 0.005333105907878145
Position 132: 0.0052949054535214365
Position 1937: 0.005118433897017903
Position 2588: 0.005073300551428052
Position 1450: 0.004421737166212968
Position 885: 0.0034965616338581912
Position 5138: 0.0031636398580547945
Position 4083: 0.0029310321094908297
Position 652: 0.0028757228203291456
Position 1025: 0.002780079212567176
Position 770: 0.0027714778302714753
Position 4196: 0.002771261778273012
Position 3846: 0.0026242505043355046
Position 3152: 0.0022068927110396722
Position 4861: 0.0022014557840813664
Position 14: 0.001734462331562961
Position 2421: 0.0017042050028413407
Position 957: 0.0014688348434126629
Position 1348: 0.0014539319010004976
Position 1474: 0.0009246893608452575
Position 5108: 0.0009000121276089911
Position 2136: 0.0008838884373344402
Position 3121: 0.0008530249135859562
Position 1942: 0.0007244671348599469
Position 1476: 0.0006972329202534447
Position 622: 0.0006752217826997015
Position 4523: 0.0006448584179174208
Position 648: 0.000583135221240009
Position 2999: 0.0005493615447419604
Position 4596: 0.0005489355016091761
Position 1949: 0.0004947011951751914
Position 411: 0.0004927804752438649
Position 1387: 0.0004248450377293946
Position 4707: 0.0004226462796366706
Position 973: 0.00038967366473891836
Position 1658: 0.00038155286793701583
Position 927: 0.0003655693813592022
Position 1151: 0.0003632751857626463
Position 491: 0.00035333693621550025
Position 2801: 0.0003301113147753308
Position 1085: 0.0003237077487134765
Position 4143: 0.00031543331231297914
Position 2698: 0.00028617666877344105
Position 1391: 0.00028594543101901357
Position 3136: 0.0002427252391018131
Position 2773: 0.00023350474119022277
Position 1663: 0.00023346723417426552
Position 3142: 0.00023259954163399522
Position 1368: 0.00022373135381173167
Position 804: 0.00022282881711941976
Position 4049: 0.00019372205359792627
Position 218: 0.00017696476138757522
Position 4841: 0.00017332789015023052
Position 51: 0.00015939480957847266
Position 199: 0.000155639641555974
Position 1801: 0.0001496795345064267
Position 3389: 0.00014440292791021987
Position 3049: 0.00013278087957002701
Position 3161: 0.00011920852510592887
Position 3053: 0.00011745044129314675
Position 865: 0.000116432501168361
Position 4481: 0.00010262870043070865
Position 526: 9.455848754429737e-05
Position 2926: 9.298415748176925e-05
Position 580: 7.612883127352767e-05
Position 2226: 7.542543815276654e-05
Position 2235: 7.24808410349102e-05
Position 5584: 7.125272444795699e-05
Position 502: 7.030966251246331e-05
Position 386: 6.672484449439541e-05
Position 1381: 6.374773522975269e-05
Position 4326: 6.279372953338195e-05
Position 1897: 6.177496770626323e-05
Position 2386: 5.8393989452355554e-05
Position 113: 5.8166106547785526e-05
Position 4382: 5.4451121893090786e-05
Position 1799: 5.253586829091347e-05
Position 1326: 5.2270778785217046e-05
Position 168: 4.6390206002723616e-05
Position 4725: 4.630682628378892e-05
Position 4224: 4.2557118698042754e-05
Position 1789: 4.0497773082983116e-05
Position 645: 4.0094473988378765e-05
Position 1805: 3.8208418277603435e-05
Position 333: 3.796829880902139e-05
Position 2294: 3.563806680054132e-05
