Gene = spir
index = 1888
Annotated 5SS: [ 1196 10862 22980 23512 25186 25331 28157 28475 28894 32454 32729 34041
 34452 35026 35293 35673]
Annotated 3SS: [10790 22861 23401 25067 25244 28025 28362 28760 32379 32523 33953 34305
 34686 35088 35358 35730]
SMsplice 5SS: [ 1196 10862 22980 23512 25186 25331 28157 28475 28894 32454 32729 34452
 35026 35293 35673]
SMsplice 3SS: [10790 22861 23401 25067 25247 28025 28362 28760 32379 32523 34305 34686
 35088 35358 35730]
top_k =  1000
Partition function (log Z): 67.25681706203807

Sorted 5' Splice Sites (High to Low Probability):
Position 32454: 0.9993865885935669
Position 35673: 0.999279486279856
Position 35293: 0.9986584829272473
Position 25331: 0.9974359906263335
Position 25186: 0.9973935616855242
Position 32729: 0.9969759136622739
Position 10862: 0.9967731675716573
Position 22980: 0.9965460823957336
Position 28157: 0.9957134771066005
Position 35026: 0.9918988238324525
Position 34452: 0.9885114840654293
Position 28894: 0.9839401211570367
Position 1196: 0.9725123233565399
Position 28475: 0.9190601382535403
Position 23512: 0.8914478488754702
Position 19020: 0.6462914190393312
Position 23632: 0.30292202883205765
Position 9670: 0.2652873791920581
Position 24558: 0.262567323176142
Position 34041: 0.24902908737463975
Position 3962: 0.20385029774771213
Position 24990: 0.20245701624179258
Position 23941: 0.1705121136515206
Position 27870: 0.1559939100486811
Position 3166: 0.1303777151596201
Position 27381: 0.08319757229740907
Position 2543: 0.06653426784115006
Position 50: 0.06639929315651542
Position 10411: 0.059393187608279906
Position 23315: 0.05776737779783805
Position 36000: 0.05643434136520154
Position 30432: 0.05246548148075413
Position 25700: 0.05046700900570933
Position 36481: 0.04890897271471129
Position 24851: 0.04879127701284135
Position 18673: 0.047952479458872606
Position 24973: 0.046711508371736786
Position 24679: 0.04572293562432004
Position 26203: 0.04299856465568225
Position 29602: 0.04101752093770713
Position 10639: 0.03677804024011611
Position 30041: 0.035609615274147945
Position 24847: 0.03550243056494406
Position 30277: 0.03465510298785318
Position 2908: 0.03248893165811556
Position 34240: 0.03223430145715084
Position 23286: 0.03091504027848995
Position 31946: 0.0305595280622764
Position 34066: 0.030402250107409767
Position 36138: 0.029534599852388828
Position 35985: 0.02924342509867239
Position 32068: 0.028813232517807964
Position 19302: 0.02877441742332785
Position 345: 0.028280673017808743
Position 23324: 0.02822454083765181
Position 147: 0.027099224996525974
Position 19083: 0.02536075534652645
Position 19895: 0.024771221168765272
Position 492: 0.024054743520025977
Position 27208: 0.022674208314359602
Position 11930: 0.02229164868131139
Position 26727: 0.021032534291966883
Position 34074: 0.020517514476931665
Position 24776: 0.01941931269487247
Position 35947: 0.019131077059051614
Position 31263: 0.01812615898178469
Position 2547: 0.017615585423057654
Position 31490: 0.016941286168358816
Position 27431: 0.016141482109603915
Position 24790: 0.013235438893226321
Position 20399: 0.011942555445551402
Position 10471: 0.011791191520720105
Position 2878: 0.011604546599919257
Position 3916: 0.011443617282793405
Position 2209: 0.010649298879561111
Position 864: 0.010425828424668375
Position 30053: 0.010330793137255493
