Gene = da
index = 1663
Annotated 5SS: [423]
Annotated 3SS: [1943]
SMsplice 5SS: [423]
SMsplice 3SS: [1943]
top_k =  1000
Partition function (log Z): -8.831561442040838

Sorted 5' Splice Sites (High to Low Probability):
Position 423: 0.9186244779469754
Position 1887: 0.10393356402682287
Position 1752: 0.09318460311063881
Position 1783: 0.06371891920650102
Position 2402: 0.06266292503670771
Position 4864: 0.04570709403195272
Position 3307: 0.044131702627273964
Position 1585: 0.02061227228639727
Position 852: 0.01871127079306505
Position 4777: 0.01775833113315913
Position 463: 0.017246880162083842
Position 2786: 0.014444714213939645
Position 1143: 0.013250125804795065
Position 2088: 0.012358566786945607
Position 980: 0.010036311530309676
Position 588: 0.009246196748080051
Position 269: 0.008712007689211302
Position 2231: 0.007760717636201072
Position 3904: 0.00614759814611953
Position 2512: 0.005978756216965176
Position 2047: 0.005775415746382081
Position 1186: 0.004376182704742853
Position 629: 0.0043116610901416524
Position 1170: 0.0028095437788391198
Position 1266: 0.0025725831668711343
Position 633: 0.002534951027927317
Position 1745: 0.002419726316259971
Position 1138: 0.0023760333025611255
Position 2118: 0.002105653845745884
Position 533: 0.00197032386147331
Position 3787: 0.0017652844319678204
Position 2126: 0.001699502236683615
Position 3350: 0.0016536970944434069
Position 1494: 0.0016334931849082118
Position 732: 0.0015403928429737325
Position 2506: 0.0015073986311201727
Position 565: 0.0014091506669752468
Position 835: 0.00136626366840019
Position 919: 0.0010842648906258785
Position 926: 0.0010525900426921813
Position 1353: 0.0009020871644499709
Position 310: 0.0008820399258398378
Position 1460: 0.0008483396718332441
Position 174: 0.0008436749419112448
Position 1588: 0.0007154955512858821
Position 1554: 0.0007147895761348307
Position 2072: 0.0006224356474772247
Position 1080: 0.0006091178266290946
Position 4207: 0.0005286341424187549
Position 116: 0.0005111345898129693
Position 756: 0.0004820094544085884
Position 1379: 0.0004671481761291366
Position 264: 0.0004416453954682046
Position 1534: 0.00039510473424892947
Position 896: 0.00039455489528521215
Position 1323: 0.00029841967025092395
Position 547: 0.0002586598595019967
Position 700: 0.0002446943366983691
Position 2480: 0.00024354443797000976
Position 1428: 0.00019179353852129453
Position 148: 0.0001685284900821234
Position 443: 0.0001670007281597509
Position 668: 0.00014262457836449076
Position 752: 0.00011214582141768519
Position 750: 0.00010886003087272184
Position 4947: 0.00010206005389617536
Position 930: 9.676829452950996e-05
Position 748: 8.584270019009575e-05
Position 82: 8.492486550460214e-05
Position 746: 8.360529270955233e-05
Position 2500: 7.87583806818511e-05
Position 690: 7.147271173727397e-05
Position 884: 6.784850886192062e-05
Position 1075: 4.9386553133365186e-05
Position 2389: 4.825667753123636e-05
Position 770: 4.753579472304929e-05
Position 1350: 4.253405661900902e-05
Position 2426: 4.228983721829652e-05
Position 159: 3.620379030449235e-05
Position 2375: 3.330893936895159e-05
Position 744: 2.9100024704773728e-05
Position 1523: 2.8008120388222988e-05
Position 659: 2.6581168803341664e-05
Position 887: 2.6561573830253105e-05
Position 1739: 2.635903506385482e-05
Position 637: 2.5652921363921286e-05
Position 537: 2.5329504773557524e-05
Position 1331: 2.280396490624258e-05
Position 103: 2.2441850248854152e-05
Position 427: 2.1695747765857563e-05
Position 411: 2.090406088879765e-05
Position 2152: 2.0544192270125763e-05
