Gene = l(3)mbn
index = 1755
Annotated 5SS: [ 279  447 2454 3735 4001]
Annotated 3SS: [ 337 2309 2813 3937 4068]
SMsplice 5SS: [ 279  447 2454 2982 4001]
SMsplice 3SS: [ 337 2309 2813 3937 4068]
top_k =  1000
Partition function (log Z): 5.715294372415182

Sorted 5' Splice Sites (High to Low Probability):
Position 2454: 0.9982160793616742
Position 447: 0.9934473872966009
Position 4001: 0.8573141960014969
Position 2982: 0.8040432002694962
Position 279: 0.691696753661946
Position 3735: 0.5050883551485073
Position 1977: 0.087543309165682
Position 3422: 0.07122807194793672
Position 2907: 0.014797205974763215
Position 3197: 0.013697822419118766
Position 70: 0.010225057885273506
Position 2096: 0.008982496033828393
Position 3900: 0.00785619902092976
Position 2234: 0.005864819049573275
Position 25: 0.004319568445241414
Position 3860: 0.003322506693167756
Position 3069: 0.00317012687118439
Position 2669: 0.00281948231964647
Position 2708: 0.0026147983683757815
Position 1168: 0.002491584907516014
Position 455: 0.002342074121354188
Position 3744: 0.002308399950614327
Position 3581: 0.0022714756599095175
Position 2057: 0.0020906166624616927
Position 1952: 0.001939236041649731
Position 1594: 0.0017414241628929206
Position 3455: 0.001721843130253365
Position 3518: 0.001706439175350131
Position 3287: 0.001690983211348566
Position 4591: 0.0015753802972952133
Position 3257: 0.0015160909609037345
Position 3310: 0.0013934380806110908
Position 3764: 0.001364963867973964
Position 2878: 0.0012281865122327337
Position 2722: 0.001072470219125565
Position 826: 0.0009193183352932723
Position 4005: 0.0008832735883340106
Position 1253: 0.0008602611470937404
Position 4315: 0.0008460619731234881
Position 126: 0.0007455905196177173
Position 2444: 0.0007354684790251248
Position 1322: 0.0006344107894283075
Position 2765: 0.0006112418018942012
Position 3994: 0.000605181900653511
Position 733: 0.0005710499010842286
Position 881: 0.0005218979316832598
Position 2103: 0.0005199307780111294
Position 166: 0.0005060748024766784
Position 2901: 0.00046630628635554045
Position 1467: 0.0004465254526301622
Position 505: 0.00044203137325262955
Position 2108: 0.00042876046417336005
Position 958: 0.00041040533514514007
Position 1290: 0.00035446143508596805
Position 120: 0.0003063182183487512
Position 2138: 0.00029042467568027444
Position 3531: 0.00027547659885487333
Position 1177: 0.00027386315360518207
Position 2448: 0.00026224431648420155
Position 1805: 0.000258013618794302
Position 2693: 0.00023298050125177884
Position 804: 0.00020764807012907768
Position 266: 0.0001988597982901619
Position 89: 0.0001967383116858518
Position 3594: 0.0001950007267763595
Position 3468: 0.00018429980020101455
Position 1480: 0.00017985613829954965
Position 974: 0.0001779002910783155
Position 4330: 0.00017259117704583984
Position 1063: 0.00014009933688373535
Position 2759: 0.0001397435583343472
Position 2458: 0.00013618527391767306
Position 270: 0.00013212611304171581
Position 1524: 0.00012480281320832382
Position 386: 0.00011839366199554585
Position 2662: 0.00011789287706881318
Position 1634: 0.00011125426112510207
Position 1349: 0.00010627050120198853
Position 1956: 0.00010499079029534958
Position 716: 0.00010350055438682759
Position 4438: 0.00010048544153062464
Position 934: 9.586844303688373e-05
Position 3017: 9.246461032943486e-05
Position 1456: 8.969927612369052e-05
Position 1610: 7.701248791611033e-05
Position 1138: 6.94338051382629e-05
Position 2543: 6.70375894722544e-05
Position 2202: 6.626775483243521e-05
Position 1503: 6.028424360324272e-05
Position 1078: 5.428609988510702e-05
Position 20: 5.039192654588666e-05
Position 4579: 4.7529971944631764e-05
Position 3185: 4.562865797165581e-05
Position 1035: 4.3808205603645035e-05
Position 213: 4.042185111978829e-05
Position 2116: 3.8114118625878836e-05
Position 3392: 3.573542141446892e-05
Position 3417: 3.534511801795097e-05
Position 3545: 3.475500164398249e-05
Position 283: 3.456949373061405e-05
Position 849: 3.399084685959863e-05
Position 660: 3.155416736509192e-05
Position 2923: 2.9630943605825664e-05
Position 291: 2.801759654841098e-05
Position 831: 2.7479876142907637e-05
Position 3482: 2.721593779379334e-05
Position 709: 2.564591200623572e-05
Position 889: 2.4130685915100916e-05
Position 2620: 2.374505757790668e-05
Position 824: 2.3139774578782424e-05
Position 4132: 2.254274322436412e-05
Position 400: 2.0923062927920483e-05
Position 2162: 1.8389061978527917e-05
Position 1462: 1.7260267904754232e-05
Position 1145: 1.6669009852603338e-05
Position 2358: 1.28520784566217e-05
Position 2048: 1.237755389330186e-05
Position 3060: 1.186409184603094e-05
Position 2100: 1.1809522864011256e-05
Position 829: 1.1136301242339868e-05
Position 3022: 1.0697964244630642e-05
Position 164: 1.0209759917356106e-05
Position 81: 9.774370267367278e-06
Position 1869: 9.296189828153488e-06
Position 274: 7.83239984539087e-06
Position 2642: 7.535476461087406e-06
Position 817: 6.249303211010386e-06
Position 179: 6.008268733608087e-06
Position 700: 5.866607713832112e-06
Position 2864: 4.964747143162683e-06
Position 2702: 4.907170764697066e-06
Position 539: 4.839626738619964e-06
Position 1627: 4.638645054061145e-06
Position 3323: 4.178905954649269e-06
Position 193: 4.176690078765498e-06
Position 3368: 3.981277974322538e-06
Position 669: 2.958654417152867e-06
Position 29: 2.5380212305877263e-06
Position 3053: 2.402880190366847e-06
Position 2843: 1.8427095012242653e-06
Position 2439: 1.77695416442165e-06
Position 158: 1.6761549843282533e-06
Position 2793: 1.1455769923008626e-06
Position 2375: 1.0981569186703617e-06
