Gene = RapGAP1
index = 1409
Annotated 5SS: [  744 42706 79168 79715]
Annotated 3SS: [42506 77454 79225 79799]
SMsplice 5SS: [  744 42706 78679 79168 79715]
SMsplice 3SS: [42506 77454 78739 79225 79799]
top_k =  1000
Partition function (log Z): -12.006143463460182

Sorted 5' Splice Sites (High to Low Probability):
Position 744: 0.9999999999999982
Position 42706: 0.9999999999999982
Position 79715: 0.9933850077124753
Position 43624: 0.0017157248703028947
Position 43030: 1.0352326521301422e-11
Position 43032: 4.420247892660741e-12
Position 43242: 2.4544227561568163e-12
Position 44757: 3.0721908186904668e-21
Position 44753: 2.796477866243395e-21
Position 10407: 7.586192880982682e-30
Position 26759: 7.562933917695934e-30
Position 27579: 6.771513122590195e-30
Position 14162: 5.955504141156908e-30
Position 27401: 4.382440028729116e-30
Position 175: 3.331701675820937e-30
Position 13052: 3.2282463896816044e-30
Position 23613: 3.1192077629662508e-30
Position 5506: 3.0583902750073763e-30
Position 10411: 2.470678137388738e-30
Position 17782: 2.131660798323284e-30
Position 23531: 1.653872057001491e-30
Position 273: 1.6122846803275624e-30
Position 1696: 1.3612367606325554e-30
Position 14441: 5.321361480287636e-31
Position 109: 5.023190161684379e-31
Position 264: 3.954342814975466e-31
Position 364: 3.287760230514593e-31
Position 346: 1.4730610579759236e-31
Position 147: 1.207917707328056e-31
Position 353: 1.0138388701755075e-31
Position 4713: 9.659053206790098e-32
Position 23800: 5.560706357878181e-32
Position 13494: 5.38327833597232e-32
Position 384: 5.173381356388717e-32
Position 8711: 3.6921114924629e-32
Position 9179: 3.6899833045622647e-32
Position 1344: 3.6720353751441985e-32
Position 154: 3.0377121196279606e-32
Position 905: 2.9102073307099525e-32
Position 2736: 2.749014232535427e-32
Position 402: 2.659328482238227e-32
Position 368: 2.523497169152741e-32
Position 214: 2.4851150600466527e-32
Position 8681: 2.3113961829043112e-32
Position 1753: 2.187521531006048e-32
Position 23646: 2.1208238687311092e-32
Position 14171: 1.843800266776932e-32
Position 14175: 1.5870905912693964e-32
Position 1904: 1.5359325550329667e-32
Position 186: 1.1966669206022967e-32
Position 1364: 1.0752972276835193e-32
Position 4564: 9.602862727438072e-33
Position 14179: 8.015407409404008e-33
Position 4675: 7.529500108786544e-33
Position 9249: 7.029312966259715e-33
Position 201: 5.161297272209407e-33
Position 2026: 4.126515031176131e-33
Position 173: 3.3898163255570735e-33
Position 4530: 3.3367384069316445e-33
Position 1914: 3.330078205009386e-33
Position 2020: 2.5875037016466482e-33
Position 1297: 2.534030810014348e-33
Position 145: 2.4587690342929162e-33
Position 973: 2.1794427437733602e-33
Position 3726: 2.0887046047009074e-33
Position 6: 2.0121234312932863e-33
Position 4494: 1.554238470364448e-33
Position 2015: 1.5483957839540462e-33
Position 1688: 1.4591071363185635e-33
Position 943: 1.3532673861612949e-33
Position 540: 1.2463118735013986e-33
Position 1385: 1.1768651841298669e-33
Position 1538: 1.1434524480693122e-33
Position 497: 4.734344923497408e-34
Position 590: 3.843948300482305e-34
Position 572: 3.096089329030509e-34
Position 466: 1.1117883386171917e-34
Position 554: 8.963523193183362e-35
Position 442: 8.722951102032224e-35
Position 509: 5.563130834343489e-35
Position 748: 3.3811628603549457e-35
Position 600: 3.290651110070715e-35
Position 1127: 2.076448783291326e-35
Position 1497: 1.4141951856428596e-35
Position 476: 1.413640785707576e-35
Position 862: 1.4112811342934382e-35
Position 883: 9.233438865283334e-36
Position 14418: 8.472405405461148e-36
Position 1337: 7.919361647176213e-36
Position 1258: 4.411933856145517e-36
Position 425: 4.0095843441813446e-36
Position 137: 3.631977075593873e-36
Position 15954: 3.068994703901074e-36
Position 770: 1.9102911495569003e-36
Position 1112: 1.1848192546919467e-36
Position 14273: 1.0289161208463045e-36
Position 13223: 3.828147535382021e-37
Position 1131: 1.7407346510597848e-37
Position 1098: 7.981653056608946e-38
Position 1084: 4.413471780866545e-38
Position 668: 1.3754746560382705e-39
Position 605: 3.8821056879731265e-40
Position 835: 1.7481008899029366e-40
Position 832: 1.2455949171799764e-40
Position 8081: 5.689324113221638e-41
Position 6658: 5.280779224148703e-41
Position 7142: 4.505104912347009e-41
Position 6250: 2.7236253685219265e-41
Position 2527: 9.144053747270882e-44
Position 1288: 6.527672820955968e-44
Position 5980: 5.600198733092241e-44
Position 1431: 4.914200116355978e-44
Position 3247: 4.78383455432723e-44
Position 5588: 4.070228919389097e-44
Position 1348: 2.545285672616043e-44
Position 1512: 2.530028970418906e-44
Position 1416: 2.280410562655302e-44
Position 1281: 1.1989682637846292e-44
Position 1397: 9.82915560197297e-45
Position 1233: 9.653617595055363e-45
Position 1273: 7.667975014729488e-45
Position 1195: 4.912401983653961e-45
Position 1004: 4.303258073679112e-45
Position 1421: 3.799071440553746e-45
Position 1395: 3.7112141348737653e-45
Position 1173: 3.062438726438436e-45
Position 1490: 2.59632061091562e-45
Position 1064: 1.8697076792341515e-45
Position 2467: 1.538250677237949e-45
Position 887: 1.1770401351197657e-45
Position 1096: 1.175734439917527e-45
Position 2314: 8.005861163383117e-46
Position 2437: 7.029836254307329e-46
Position 1182: 6.0420618211162236e-46
Position 2433: 5.5974315396938444e-46
Position 1551: 5.163153332892244e-46
Position 1185: 3.3788771442779065e-46
Position 2333: 2.9913309795797427e-46
Position 2461: 2.7041615376436067e-46
Position 1146: 1.4988100211112088e-46
Position 1957: 9.918338737645793e-47
Position 2090: 9.71915841934216e-47
Position 1138: 8.746583231189708e-47
Position 1663: 8.358498954189628e-47
Position 1076: 9.075561236887927e-48
Position 865: 7.754590858163565e-48
Position 1040: 6.453098151003064e-48

Sorted 3' Splice Sites (High to Low Probability):
Position 42506: 0.9999999999999982
Position 77454: 0.999999999817954
Position 79799: 0.9933850077124753
Position 42908: 0.000643399051402399
Position 42750: 0.00030145693781576837
Position 42874: 0.00018126949423226656
Position 43385: 0.0001650915270329939
Position 43106: 0.00015946882695752675
Position 43109: 0.00010349475235923635
Position 42928: 7.023835665348015e-05
Position 42893: 4.988713746616669e-05
Position 42799: 2.6599200094534045e-05
Position 42783: 1.4819603515521366e-05
Position 62981: 1.8204853992017244e-10
Position 52059: 4.6623553809625855e-17
Position 51476: 9.874860731951235e-18
Position 48311: 9.350396703941637e-19
Position 46195: 3.618886013258227e-19
Position 47937: 2.4351715487081137e-19
Position 48254: 1.9056625960247452e-19
Position 47298: 7.056611687307605e-20
Position 47203: 6.199536112407024e-20
Position 45727: 3.600082692645153e-20
Position 43805: 3.422374827479912e-20
Position 43775: 3.178435279679172e-20
Position 44161: 2.5632299852199162e-20
Position 44924: 1.7043478207663686e-20
Position 44212: 8.493761335241911e-21
Position 44381: 4.6557507599657945e-21
Position 45009: 3.173113483670152e-21
Position 44183: 2.74632019559284e-21
Position 43725: 2.6256714928703087e-21
Position 43678: 7.546003779240195e-22
Position 42761: 4.396942004926581e-22
Position 26711: 8.482452124153521e-29
Position 29717: 7.650517809719941e-29
Position 27503: 8.499979812503485e-30
Position 27639: 6.771513122590195e-30
Position 26833: 6.323016769602686e-30
Position 23319: 5.45649646013035e-30
Position 9384: 3.870976366046359e-30
Position 14006: 2.980506389708226e-30
