Gene = CYLD
index = 1049
Annotated 5SS: [ 101  804 1067 2143 2417 2632 2910 3223 3424 3676]
Annotated 3SS: [ 626  857 1910 2240 2476 2690 2987 3281 3478 3736]
SMsplice 5SS: [ 804 1378 1825 2143 2417 2632 2910 3223 3424 3676]
SMsplice 3SS: [ 857 1448 1910 2240 2476 2690 2987 3281 3478 3736]
top_k =  1000
Partition function (log Z): 23.563584054224652

Sorted 5' Splice Sites (High to Low Probability):
Position 2632: 0.9975823642450072
Position 3424: 0.9973556478343218
Position 3223: 0.9707453972211997
Position 804: 0.9698936974018999
Position 2143: 0.9668471327263463
Position 2417: 0.9607737718253198
Position 2910: 0.9602554248247821
Position 1378: 0.9460185642604321
Position 1825: 0.936954641363186
Position 420: 0.2369557592683755
Position 1067: 0.19157175755617165
Position 416: 0.11485519009515568
Position 983: 0.05803413157191625
Position 3644: 0.047586073840244714
Position 507: 0.0301421442472929
Position 86: 0.02704257842094138
Position 3192: 0.025594807936333085
Position 3706: 0.0190359803466812
Position 998: 0.0165863883866849
Position 101: 0.014957823157499469
Position 2919: 0.014902715148882986
Position 2181: 0.011208801245569073
Position 2081: 0.01102058425438534
Position 157: 0.009888772945525173
Position 191: 0.009607410846418887
Position 1454: 0.008509004114660556
Position 336: 0.008201788390198882
Position 206: 0.0075867899222370385
Position 2900: 0.006420033097674714
Position 203: 0.005810740295632874
Position 2138: 0.005118445384200187
Position 3691: 0.005106775415257602
Position 408: 0.004094534097755723
Position 808: 0.003944007181342085
Position 1382: 0.003939984109927431
Position 1167: 0.0038984539858113202
Position 1572: 0.003129517258187936
Position 2820: 0.0030844010173961336
Position 3617: 0.0022794028025165274
Position 3557: 0.002255912750943959
Position 2869: 0.002241108329698868
Position 1704: 0.002220538594722816
Position 760: 0.0018407562892768688
Position 3227: 0.0017717795073090268
Position 3727: 0.0017705588546252508
Position 584: 0.0016564152771516953
Position 2108: 0.001563031195567791
Position 237: 0.0013154547940052055
Position 1370: 0.0012587435430086679
Position 109: 0.0011175239951605814
Position 493: 0.0010300064032659308
Position 105: 0.000947370678564165
Position 1605: 0.000944770823587926
Position 2892: 0.0009200303993658634
Position 2037: 0.0008186139638296203
Position 266: 0.0007903488284282553
Position 400: 0.0007849678585674327
Position 1682: 0.0007117775413925431
Position 2858: 0.0006771422376628541
Position 811: 0.0006457637894872774
Position 253: 0.0006258887409175167
Position 485: 0.0005796225402006892
Position 468: 0.0005282358661000048
Position 1162: 0.0005217367557186046
Position 128: 0.0005204053213079356
Position 3543: 0.0005148368032084069
Position 2000: 0.000368173068753827
Position 1644: 0.00035896912725240723
Position 1782: 0.00035108999414817715
Position 149: 0.0003217456662376383
Position 1249: 0.00032099603873756273
Position 3114: 0.00028099327659279565
Position 442: 0.0002477367177632784
Position 367: 0.00021632323322055388
Position 1346: 0.00021292292512544274
Position 2351: 0.00020156731353109257
Position 1195: 0.00018872261366504914
Position 1233: 0.0001529590557029321
Position 275: 0.0001456330572674655
Position 3646: 0.00014137367225810625
Position 3566: 0.00013955746766543915
Position 2024: 0.00012268863763815712
Position 90: 0.00011901564655043876
Position 3847: 0.00010943970859474762
Position 1348: 0.00010692430579965125
Position 2317: 0.00010681175797293262
Position 3869: 0.00010366722272001772
Position 1617: 9.619462874211425e-05
Position 251: 8.55991135974241e-05
Position 2815: 8.356211066247732e-05
Position 352: 8.087964132212744e-05
Position 216: 7.976744451972207e-05
Position 617: 7.638640686836431e-05
Position 2636: 6.90991723580627e-05
Position 3167: 5.363003997006198e-05
Position 3229: 4.4475932271953744e-05
Position 210: 4.233043622524415e-05
Position 2827: 4.0141660561451906e-05
Position 458: 3.782282729334667e-05
Position 3508: 3.760540637252523e-05
Position 1566: 3.5541292687199846e-05
Position 2063: 3.428646247546845e-05
Position 1592: 3.317355652518753e-05
Position 1006: 3.275567313512382e-05
Position 2610: 2.8933925948394933e-05
Position 1463: 2.5962184792978127e-05
Position 292: 2.431894956832382e-05
Position 257: 2.2488044978647213e-05
Position 2374: 2.074121844641126e-05
Position 3579: 1.9296192135119056e-05
Position 3071: 1.883212564905236e-05
Position 103: 1.8419745262502706e-05
Position 3411: 1.800200312121801e-05
Position 282: 1.7309953531063708e-05
Position 1331: 1.4492413444469983e-05
Position 1199: 1.3334583746392278e-05
Position 2618: 1.2488527761478166e-05
Position 3576: 1.2285359443511397e-05
Position 1626: 1.22496875454088e-05
Position 2517: 1.0593535938236322e-05
Position 208: 1.0353181889254837e-05
Position 1699: 9.840788783038327e-06
Position 3058: 8.89936696792884e-06
Position 2344: 8.66380184147506e-06
Position 2275: 8.516121864049865e-06
Position 287: 8.18675977113924e-06
Position 1505: 7.222036287402226e-06
Position 2721: 7.025996136385708e-06
