Gene = Dhc62B
index = 1133
Annotated 5SS: [ 2177  2427  5158  5531  5833  6978 10818 11201]
Annotated 3SS: [ 2245  2487  5215  5589  5888  7039 10880 11269]
SMsplice 5SS: [  357  2177  2427  5158  5531  5833  9480 10818 11201]
SMsplice 3SS: [ 2033  2245  2487  5215  5589  9262  9601 10880 11269]
top_k =  1000
Partition function (log Z): 6.2520850721343955

Sorted 5' Splice Sites (High to Low Probability):
Position 2427: 0.9992099910863159
Position 11201: 0.9979254966484811
Position 2177: 0.9891765181040664
Position 5158: 0.9570871311055177
Position 10818: 0.9008340499460566
Position 5531: 0.8474264187927315
Position 5833: 0.6903797585200105
Position 6978: 0.6695461958375981
Position 9480: 0.5419708674240922
Position 6157: 0.4266558505409093
Position 357: 0.28761567030407736
Position 2967: 0.1686769168508191
Position 161: 0.14696782844062123
Position 3238: 0.10417061267235489
Position 1323: 0.07526901304117896
Position 846: 0.07083692871432518
Position 7157: 0.06990034479090489
Position 6055: 0.04464953191652417
Position 270: 0.04315804727628093
Position 1194: 0.04136218031220915
Position 891: 0.03864126874590162
Position 5154: 0.032787335238037285
Position 821: 0.03123543935242648
Position 5348: 0.028097350621899612
Position 1220: 0.028077871171022704
Position 604: 0.020517008065336614
Position 6237: 0.019531583909686234
Position 3863: 0.017699962283874993
Position 7780: 0.017667799355781298
Position 1230: 0.016667041067224803
Position 216: 0.014126938278451578
Position 1782: 0.012638874451911626
Position 787: 0.011557892470256015
Position 1161: 0.011013422800850554
Position 5776: 0.010935254117454286
Position 3574: 0.009577988002758511
Position 2956: 0.009462820615460114
Position 11666: 0.008703843427546596
Position 1713: 0.008435926713836502
Position 8213: 0.008202742128465638
Position 440: 0.00814460481136704
Position 1767: 0.00796299376300966
Position 504: 0.006565927068893866
Position 1016: 0.005775107377690959
Position 5839: 0.005243828469669129
Position 3016: 0.005139644740618237
Position 11891: 0.005120746104686941
Position 5811: 0.004525562651845081
Position 1290: 0.004434868072344175
Position 2147: 0.004384815909039629
Position 1926: 0.004383572911410898
Position 3925: 0.0036006945313697596
Position 872: 0.0035804426200621775
Position 8496: 0.0035020947173309775
Position 176: 0.0034571797414958173
Position 453: 0.0034207411683369934
Position 5498: 0.0032019573741216326
Position 4328: 0.0029044309314228416
Position 1700: 0.002897612783348778
Position 1278: 0.0027659779209289197
Position 3588: 0.0025894707471308255
Position 6965: 0.0025657217075712373
Position 863: 0.0020794630766989555
Position 1331: 0.001878086968584629
Position 1451: 0.001865419295134754
Position 1073: 0.0018454331206297146
Position 809: 0.0018111708187944903
Position 773: 0.0013734900022435302
Position 7595: 0.001013655073539301
Position 2964: 0.0010077813369976391
Position 5575: 0.0009467311419705098
Position 1646: 0.0009426184173395625
Position 6028: 0.0009341458459924511
Position 10085: 0.0009146410096299187
Position 11434: 0.0008497347298538664
Position 11651: 0.0007837470737199551
Position 6456: 0.0007226231457475087
Position 6005: 0.0007018068521610858
Position 2181: 0.0006903709706773559
Position 5234: 0.0006402308659912883
Position 1025: 0.0005843990634433549
Position 11740: 0.0005571222596826073
Position 7142: 0.0005525199326567679
Position 372: 0.0004859808803766275
Position 1496: 0.0004824291116446564
Position 1614: 0.00048133624660993236
Position 918: 0.00047100411181856354
Position 563: 0.0004298073578280509
Position 2986: 0.00038375268596430143
Position 200: 0.000364481739849283
Position 11378: 0.0003439618176143009
Position 1070: 0.0003308136206231669
Position 6431: 0.0003289040231124799
Position 1898: 0.00032458739599957687
Position 3856: 0.0003158190054611742
Position 2603: 0.0003110365602520557
Position 1904: 0.00029710268036771187
Position 7736: 0.00029111322428265827
Position 11494: 0.00023621674044882932
Position 369: 0.00023426401565503852
Position 6580: 0.00022802924136545682
Position 24: 0.00022391192829211975
Position 1430: 0.0002236281506284544
Position 7151: 0.00021471235877689994
