Gene = Cpr64Ac
index = 1096
Annotated 5SS: [54]
Annotated 3SS: [115]
SMsplice 5SS: [54]
SMsplice 3SS: [115]
top_k =  1000
Partition function (log Z): -5.390581657486211

Sorted 5' Splice Sites (High to Low Probability):
Position 54: 0.9983363274258509
Position 717: 0.032175760299290285
Position 311: 0.011495800094827516
Position 277: 0.009785383179877776
Position 341: 0.008452342646780742
Position 714: 0.0069228188791730415
Position 214: 0.0010496119755496686
Position 657: 0.0004886706342670247
Position 388: 0.00046883576681700873
Position 524: 0.00035781035287493524
Position 682: 0.0003495562211629551
Position 789: 0.00033971269189772904
Position 645: 0.00031548654407912157
Position 376: 0.000281733131706311
Position 414: 0.00016450645762981772
Position 121: 0.00010278612661222018
Position 725: 9.553449077410032e-05
Position 326: 8.696869155956208e-05
Position 395: 4.403591870697014e-05
Position 503: 3.316729981396917e-05
Position 443: 2.8432090021183536e-05
Position 651: 2.3368734479514413e-05
Position 762: 2.15865783022389e-05
Position 728: 8.838197717619965e-06
Position 58: 6.405326598866559e-06
Position 736: 5.886067944798925e-06
Position 569: 5.861480843064657e-06
Position 142: 4.003309851079931e-06
Position 596: 3.2223062869663284e-06
Position 455: 2.705040590636325e-06
Position 71: 2.6318432936556376e-06
Position 605: 2.436781272654307e-06
Position 545: 1.993607801221339e-06
Position 452: 1.5251254685483783e-06
Position 560: 3.0282683541870477e-07
Position 83: 2.6488829019207836e-07
Position 149: 2.609492083385844e-07
Position 542: 2.53742191819308e-07
Position 332: 2.463183398832081e-07
Position 793: 8.09880734745564e-08
Position 766: 6.469187714384111e-08
Position 152: 2.2912311347372617e-09
Position 125: 1.807573147069595e-09
Position 347: 2.651634272220991e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 115: 0.9257593491300846
Position 376: 0.07264521844290846
Position 766: 0.05456046217692013
Position 310: 0.007779149655885192
Position 427: 0.004662454650646476
Position 381: 0.0016833628735942996
Position 842: 0.0013033418485923632
Position 785: 0.0012025960896925416
Position 502: 0.0003503748718500676
Position 465: 0.00026676613209721775
Position 214: 0.00024400473162301594
Position 340: 0.00021213650356646826
Position 424: 0.00020974386473533277
Position 433: 0.0001610923952533417
Position 523: 9.99700022337986e-05
Position 622: 9.403166035005293e-05
Position 553: 7.128594181233516e-05
Position 856: 3.9901978837105855e-05
Position 867: 2.8787018182746772e-05
Position 430: 2.5962195172449016e-05
Position 714: 1.6659687867063596e-05
Position 942: 1.1909138553984613e-05
Position 556: 1.0205705868061467e-05
Position 911: 9.989896619198518e-06
Position 670: 6.021074904832799e-06
Position 587: 5.006454202470358e-06
Position 720: 2.9019969125332845e-06
Position 736: 2.872546134545109e-06
Position 550: 1.2626467422267227e-06
Position 583: 2.586513220455361e-07
Position 919: 7.423001208760698e-08
Position 395: 6.989437493915424e-08
Position 436: 9.216708548371555e-13
Position 355: 3.222757809067243e-14
Position 452: 2.697849840721408e-15
