Gene = Obp69a
index = 1343
Annotated 5SS: [107 247 404 569]
Annotated 3SS: [167 311 465 621]
SMsplice 5SS: [107 247 404]
SMsplice 3SS: [167 311 465]
top_k =  1000
Partition function (log Z): -2.1924561404656933

Sorted 5' Splice Sites (High to Low Probability):
Position 247: 0.8828433747549601
Position 404: 0.8323478760401203
Position 107: 0.6329953997909216
Position 569: 0.27368185232381437
Position 251: 0.0669965995030711
Position 243: 0.018186920869044384
Position 547: 0.010199779114835683
Position 394: 0.004668327215001681
Position 385: 0.0033499847680400923
Position 408: 0.002870446870053059
Position 198: 0.0018636761293727598
Position 38: 0.001439281200368743
Position 111: 0.0009748343080727503
Position 96: 0.0008797414417516513
Position 557: 0.0006842569521863967
Position 367: 0.0006350057360092962
Position 578: 0.0004974416766653066
Position 508: 0.000284711146955241
Position 551: 0.00026893573150477796
Position 325: 0.00012708046569646195
Position 719: 7.3493162817126e-05
Position 675: 5.3675078107155126e-05
Position 329: 4.1554804381064614e-05
Position 290: 2.5745614400171935e-05
Position 54: 1.8799228052414803e-05
Position 369: 1.6272120217610168e-05
Position 608: 1.5142061995192732e-05
Position 314: 1.0542946047475893e-05
Position 662: 7.063518109074722e-06
Position 269: 4.798630270056933e-06
Position 708: 4.6918451033062544e-06
Position 501: 3.4591709327419046e-06
Position 168: 1.0033642355280378e-06
Position 637: 6.390179500668521e-07
Position 657: 1.7977164620893364e-07
Position 148: 1.5620236005475803e-07
Position 580: 6.114775905341621e-08
Position 151: 5.3593147608026454e-08
Position 154: 6.943879243781992e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 311: 0.9367402770081735
Position 465: 0.8538230588384615
Position 167: 0.6345715114978857
Position 621: 0.28743905449084395
Position 353: 0.011193859845122263
Position 446: 0.006292341505192602
Position 611: 0.0021394011335532765
Position 496: 0.0010202851308666664
Position 594: 0.0008275284071673592
Position 96: 0.0007773524126893668
Position 148: 0.00033698616668590526
Position 768: 0.00014913311643065697
Position 194: 0.0001484161436053713
Position 662: 0.00011026846191870008
Position 197: 8.660567594979412e-05
Position 339: 7.600946408234522e-05
Position 722: 6.393321578195358e-05
Position 630: 6.171962193190414e-05
Position 763: 5.271206702894524e-05
Position 507: 4.8603970216324255e-05
Position 325: 2.019978921696248e-05
Position 567: 1.882368443702509e-05
Position 547: 1.8358648700664053e-05
Position 775: 1.7854899321234797e-05
Position 623: 1.70655512415345e-05
Position 708: 5.071381074890412e-06
Position 699: 4.783308117803314e-06
Position 230: 3.3519934988142877e-06
Position 780: 2.991640844282367e-06
Position 551: 1.0025874832156687e-06
Position 255: 9.196058219831567e-07
Position 234: 7.04106224142332e-07
Position 104: 5.235080299993559e-07
Position 519: 5.144383969835504e-07
Position 361: 5.021974614663426e-07
Position 246: 4.0660587838406606e-07
Position 765: 3.5588732631319094e-07
Position 367: 2.3250576826308744e-07
Position 107: 1.0403204984001965e-07
Position 206: 2.2356905722221004e-08
Position 251: 1.3284887566221775e-08
Position 237: 2.858714300804172e-09
Position 111: 1.2119759317840634e-09
Position 202: 2.892415877374212e-12
