Gene = cyc
index = 1661
Annotated 5SS: [ 184  518 1132 1632]
Annotated 3SS: [ 442  676 1201 1687]
SMsplice 5SS: [ 184  518 1132 1632]
SMsplice 3SS: [ 442  676 1201 1687]
top_k =  1000
Partition function (log Z): 2.982318032895683

Sorted 5' Splice Sites (High to Low Probability):
Position 1132: 0.9566026948864389
Position 1632: 0.9182961924384269
Position 184: 0.8586410675718716
Position 518: 0.7471855035915157
Position 945: 0.19214702422711044
Position 242: 0.07363454144012593
Position 599: 0.06753749190715981
Position 1636: 0.042014521904185566
Position 388: 0.035790048293230146
Position 607: 0.02686947219901675
Position 1162: 0.015477933158666395
Position 1152: 0.005079230418167397
Position 938: 0.004761658889551969
Position 1815: 0.0039028742069209576
Position 320: 0.0035623368532592746
Position 89: 0.002697561499617114
Position 328: 0.002034425610728802
Position 971: 0.0018606293519804907
Position 1071: 0.0018520708435945626
Position 366: 0.0017233519188703944
Position 1803: 0.0013907427653608573
Position 1150: 0.0011123464456215418
Position 250: 0.0009504871686270924
Position 246: 0.000887485109743189
Position 488: 0.0008226883887229157
Position 1794: 0.0008087404237583629
Position 322: 0.0007532005457390466
Position 332: 0.0006747538198693669
Position 202: 0.0004866959580789104
Position 949: 0.0004725084567157431
Position 356: 0.00035122364031626345
Position 1389: 0.00028508000387554827
Position 923: 0.00028066262881112187
Position 942: 0.0002508023788229184
Position 59: 0.00024804677410369713
Position 1037: 0.00024104056838795504
Position 334: 0.000159162019680116
Position 170: 0.0001587305737675306
Position 50: 0.0001403732346225175
Position 1611: 0.00013483866153687706
Position 1827: 0.00010727304940138858
Position 1938: 8.117954730715214e-05
Position 93: 7.18696349086608e-05
Position 1323: 6.944852874193832e-05
Position 725: 6.50012329697573e-05
Position 1365: 4.3805786661308195e-05
Position 1841: 4.163915306621925e-05
Position 2115: 3.9954643470065674e-05
Position 188: 3.949521098501468e-05
Position 887: 3.793807343965108e-05
Position 1961: 3.6179904870206054e-05
Position 758: 3.134598412752448e-05
Position 1940: 3.069919004472888e-05
Position 112: 3.0020713378822178e-05
Position 405: 2.8785639692005455e-05
Position 1136: 2.452019136077495e-05
Position 1396: 2.043947300346457e-05
Position 1522: 1.916714519100881e-05
Position 248: 1.8019646204805023e-05
Position 178: 1.715130528103418e-05
Position 311: 1.6440243050731622e-05
Position 1877: 1.5656397166174762e-05
Position 2058: 1.3891252601012139e-05
Position 1332: 8.633585647419744e-06
Position 1781: 8.426905190528395e-06
Position 952: 8.053101430769642e-06
Position 326: 7.340814646326489e-06
Position 30: 6.100685519233438e-06
Position 1175: 5.235413615641439e-06
Position 1100: 5.103716374992954e-06
Position 1617: 4.942569971416502e-06
Position 1422: 4.775609738689877e-06
Position 1537: 4.639341136899377e-06
Position 994: 4.5281731713059046e-06
Position 1745: 4.031670901646359e-06
Position 996: 3.175349181427712e-06
Position 73: 3.093164383311097e-06
Position 83: 2.8080756892697453e-06
Position 795: 2.2381148343167446e-06
Position 810: 1.93387513489163e-06
Position 1102: 1.7557378455763485e-06
Position 1576: 1.732421526945584e-06
Position 118: 1.4302420933145182e-06
Position 2043: 1.3932551594430513e-06
Position 975: 1.179355291042128e-06
Position 1256: 1.1090250032180638e-06
Position 2011: 8.832515172546006e-07
Position 1166: 8.469784788789428e-07
Position 254: 7.588483113187286e-07
Position 1505: 7.484422445156368e-07
Position 150: 4.880436861337299e-07
Position 832: 4.5875478082305284e-07
Position 1188: 3.1425001385447254e-07
Position 706: 2.8000665932920124e-07
Position 654: 1.8574133214266847e-07
Position 987: 1.566325702193902e-07
Position 427: 1.4544400835801133e-07
Position 408: 1.9689897104708403e-09
Position 1044: 8.543041423498724e-11
Position 1495: 8.102552863998457e-11
Position 1225: 2.626753441793285e-11
Position 430: 2.5517899407611833e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 676: 0.9419424994520932
Position 442: 0.8467318093051688
Position 1687: 0.7737229886481471
Position 1201: 0.708272153275507
Position 1233: 0.26912076445804234
Position 1718: 0.17830516907496427
Position 1006: 0.11874094108878144
Position 994: 0.07177313531074539
Position 688: 0.01562176890567381
Position 2025: 0.009658321901105566
Position 620: 0.0093060641473226
Position 1218: 0.005893704843071473
Position 259: 0.003329600907128509
Position 1537: 0.0028019446285128544
Position 574: 0.002526651212919128
Position 2163: 0.0016921757973043473
