Gene = l(2)gd1
index = 1747
Annotated 5SS: [ 179 1865 2355 2565 3307]
Annotated 3SS: [ 265 1922 2412 3161 3372]
SMsplice 5SS: [ 179 1865 2355 2565 3307]
SMsplice 3SS: [ 265 1922 2412 3215 3372]
top_k =  1000
Partition function (log Z): 16.417728834526915

Sorted 5' Splice Sites (High to Low Probability):
Position 3307: 0.998908210119802
Position 2355: 0.9988647939414815
Position 1865: 0.9949115072295739
Position 2565: 0.9946942315383616
Position 179: 0.9889028592422392
Position 3018: 0.31663702584762127
Position 3474: 0.08454227749457711
Position 2160: 0.04602409807338872
Position 2868: 0.02377551421581857
Position 3528: 0.021754809120593747
Position 2117: 0.0202647994761452
Position 1100: 0.010786352471527988
Position 2883: 0.007318574440887534
Position 3573: 0.006775670898010576
Position 3167: 0.006391217915567148
Position 3471: 0.004641430403318899
Position 806: 0.002097792916326742
Position 2660: 0.0020523736791907476
Position 3394: 0.0020357060287550183
Position 2872: 0.0016154088001876924
Position 3678: 0.0012268051589084624
Position 3478: 0.0011127697939930228
Position 1050: 0.0010992954574539058
Position 1103: 0.0010937661982129466
Position 1114: 0.0008877831046699564
Position 2705: 0.0008841258542729325
Position 3608: 0.0008811696070413017
Position 42: 0.0008403755987254278
Position 3569: 0.0006846712527688321
Position 1082: 0.0006073328505696928
Position 198: 0.0006005935011427835
Position 423: 0.0005563806455482033
Position 3311: 0.0004874985283543596
Position 1417: 0.0004435000474713038
Position 315: 0.00044301792486802773
Position 2544: 0.00044174677846845893
Position 2060: 0.0004165845473420422
Position 812: 0.0003215879824587765
Position 2334: 0.0002936763582609898
Position 2719: 0.00028280766407627963
Position 2981: 0.00027815655257212656
Position 2722: 0.00027477701725682024
Position 2328: 0.0002590924286189905
Position 2507: 0.0002584654568322852
Position 2198: 0.0002346239886862802
Position 2100: 0.00019552274457535287
Position 3562: 0.00018468694369421404
Position 2257: 0.00017843878934868524
Position 661: 0.00017712747068412518
Position 3542: 0.00017287125233989004
Position 2946: 0.0001720180189371396
Position 3282: 0.00015455459610757134
Position 1836: 0.00013725847429452902
Position 1470: 0.00013704766676692865
Position 531: 0.00013459189007990552
Position 1085: 0.00013323301067797954
