Gene = simj
index = 1873
Annotated 5SS: [  632 21156 21523 22424 22601 22865 23859 24105]
Annotated 3SS: [20270 21224 22336 22498 22665 22925 23939 24186]
SMsplice 5SS: [  632 21156 21523 22424 22601 22865 23859 24131]
SMsplice 3SS: [20270 21224 22312 22498 22665 22925 23939 24186]
top_k =  1000
Partition function (log Z): 27.314202430553895

Sorted 5' Splice Sites (High to Low Probability):
Position 23859: 0.9991117164494955
Position 22601: 0.9988175774290377
Position 22865: 0.9987759093732778
Position 632: 0.9984010772871774
Position 22424: 0.9976256044790747
Position 21156: 0.9927622034887382
Position 21523: 0.9652838692547391
Position 24131: 0.5016622727194905
Position 24042: 0.37638566637519505
Position 16744: 0.282204519662581
Position 24474: 0.18330667757650604
Position 22162: 0.15749962457688643
Position 450: 0.13690019548645685
Position 25633: 0.13442800898610258
Position 242: 0.11054961982712443
Position 442: 0.08454232441333569
Position 2803: 0.07129366196771617
Position 24414: 0.05870647288875613
Position 24101: 0.05272066482211008
Position 25237: 0.04582477319245298
Position 24388: 0.03847150090387986
Position 14452: 0.03469210323769881
Position 24105: 0.018134799229909463
Position 22137: 0.015971839823705907
Position 483: 0.014956578609415017
Position 14342: 0.014852417384453203
Position 24791: 0.013371440452926417
Position 24331: 0.011322787055010485
Position 24646: 0.011136598248520282
Position 24109: 0.010576455777476838
Position 496: 0.009313098874198579
Position 246: 0.009019397620278959
Position 2368: 0.008459332363252681
Position 21550: 0.008414563961541709
Position 457: 0.008050204694773659
Position 290: 0.007860912193230636
Position 234: 0.007068536984701041
Position 21145: 0.006394827338161601
Position 21789: 0.006270802153346742
Position 21533: 0.005982048926889891
Position 25006: 0.005939887280455062
Position 5231: 0.005524041895490844
Position 17855: 0.005482791953254914
Position 236: 0.005229261484776369
Position 14284: 0.0050160852206025865
Position 238: 0.004730811645148218
Position 15486: 0.004219458590965054
Position 3747: 0.004069556673337142
Position 9726: 0.0036805682444547
Position 264: 0.003547532919169833
Position 24439: 0.0034632104744718134
Position 856: 0.0034552012743247857
Position 24750: 0.003427806632518685
Position 8478: 0.003014506881951999
Position 22247: 0.003010502968031701
Position 21538: 0.002855870288323111
Position 70: 0.002717613833824262
