Gene = comm2
index = 1653
Annotated 5SS: [649]
Annotated 3SS: [1389]
SMsplice 5SS: [649]
SMsplice 3SS: [1389]
top_k =  1000
Partition function (log Z): -5.790600908536958

Sorted 5' Splice Sites (High to Low Probability):
Position 649: 0.994046393116251
Position 1964: 0.0037783240480454643
Position 182: 0.0031075758316264656
Position 1288: 0.002860587177269768
Position 346: 0.002797206026973702
Position 1310: 0.0027497905879653407
Position 107: 0.0015994092442553876
Position 549: 0.0009398983724110572
Position 2056: 0.000938225559032232
Position 527: 0.0005684905652913689
Position 1958: 0.0005623865809410722
Position 1232: 0.0005510291094204446
Position 480: 0.0004931023411271548
Position 34: 0.000387067263438429
Position 1127: 0.00037324860611846387
Position 653: 0.00036950070983787374
Position 851: 0.0003122256915388371
Position 38: 0.0002683625049231735
Position 1181: 0.00026387231847012496
Position 617: 0.00026028831646582545
Position 1491: 0.00012714413020597313
Position 1573: 0.00012603027694107902
Position 591: 0.00011121439778102701
Position 1875: 9.907104109623153e-05
Position 1817: 9.080421340084832e-05
Position 694: 8.328978675332546e-05
Position 420: 7.819025693128368e-05
Position 896: 7.70390893128115e-05
Position 626: 6.280566734415912e-05
Position 1026: 5.946362545089736e-05
Position 910: 5.853327057957609e-05
Position 1004: 5.3894386380340276e-05
Position 101: 5.2549314089950325e-05
Position 292: 5.134576151213176e-05
Position 2091: 4.364154728510545e-05
Position 1761: 3.9813562503972614e-05
Position 1473: 3.519523040581758e-05
Position 1165: 3.408713807286687e-05
Position 1330: 3.13805870512603e-05
Position 2074: 2.694525740286481e-05
Position 679: 2.123077856110933e-05
Position 922: 2.0835996032997172e-05
Position 1970: 1.9367169492492554e-05
Position 109: 1.733858105015895e-05
Position 6: 1.6132811204366373e-05
Position 1075: 1.544823593806421e-05
Position 2147: 1.488038355218316e-05
Position 1547: 1.464693487492122e-05
Position 256: 1.444208609136731e-05
Position 1054: 1.4398672908165273e-05
Position 704: 1.4371530147232402e-05
Position 32: 1.4015316529403036e-05
Position 1770: 1.2336074423533557e-05
Position 2016: 1.2302137635217351e-05
Position 929: 9.39293963288605e-06
Position 1154: 9.27491375976329e-06
Position 806: 8.142428329856415e-06
Position 990: 7.719642287162636e-06
Position 382: 6.92362189499731e-06
Position 868: 6.848949691222529e-06
Position 1428: 6.493684149841898e-06
Position 1051: 5.134488842957121e-06
Position 993: 4.833289416447901e-06
Position 1304: 4.263153384957573e-06
Position 963: 3.5884269948173534e-06
Position 521: 3.12491499924862e-06
Position 958: 3.080876789116356e-06
Position 42: 2.446570050187349e-06
Position 501: 2.2525578708083618e-06
Position 2122: 1.9798129029685865e-06
Position 564: 1.8886528649775318e-06
Position 499: 1.6235701543796162e-06
Position 1922: 1.567365833758271e-06
Position 1011: 1.5072543605638213e-06
Position 2029: 1.4665566654743638e-06
Position 750: 1.4051559429440555e-06
Position 10: 1.317101685167721e-06
Position 551: 1.3169465772261628e-06
Position 1058: 1.2871523268158859e-06
Position 2120: 1.172330462939571e-06
Position 1461: 1.1386566124826258e-06
Position 1374: 9.337091692195317e-07
Position 1696: 8.314482941681207e-07
Position 2162: 4.593733625969972e-07
Position 166: 3.0915718165879696e-07
