Gene = DCP2
index = 1119
Annotated 5SS: [ 953 3177 3461 4353]
Annotated 3SS: [2433 3241 3614 4408]
SMsplice 5SS: [ 953 2256 3177 3461 4353]
SMsplice 3SS: [2016 2336 3241 3614 4411]
top_k =  1000
Partition function (log Z): -2.895106374580727

Sorted 5' Splice Sites (High to Low Probability):
Position 3177: 0.9964394459640448
Position 4353: 0.9893349735601251
Position 953: 0.8912164754423255
Position 2256: 0.4671966456087236
Position 2609: 0.3266420686383236
Position 3465: 0.31919448695333963
Position 1976: 0.22129872849512763
Position 2261: 0.20556450915173524
Position 5881: 0.09553425121423906
Position 6657: 0.09170254496955597
Position 1628: 0.08432075863060698
Position 1809: 0.06291769836356828
Position 6318: 0.03807999827083937
Position 5525: 0.03268552641978854
Position 5138: 0.03249757357543408
Position 5112: 0.03165433465222442
Position 1488: 0.030408586853318712
Position 990: 0.029222000161424806
Position 1385: 0.023427424886257486
Position 979: 0.017804089356972006
Position 1943: 0.01744947351881211
Position 2251: 0.01562940341368872
Position 3500: 0.014999929431118752
Position 6422: 0.014659233959322464
Position 2616: 0.01453196292291045
Position 3544: 0.013911846128972644
Position 1919: 0.010855955599568258
Position 785: 0.008825352756266606
Position 210: 0.008613674697584024
Position 174: 0.007342278283966023
Position 1859: 0.00681619080329758
Position 1641: 0.006734745889964254
Position 5908: 0.006464913330210307
Position 7609: 0.006198311776616076
Position 475: 0.005639401998625516
Position 220: 0.004722385945223198
Position 3522: 0.004680366978153875
Position 5854: 0.0038963404584389993
Position 443: 0.0035024393067975535
Position 138: 0.0030507150822029062
Position 3343: 0.00302659066382837
Position 2866: 0.003018746973576617
Position 5476: 0.002912735762515351
Position 578: 0.002887322121788521
Position 3447: 0.0025643848870272406
Position 3704: 0.0024817281330765362
Position 961: 0.0021592093548509442
Position 3567: 0.002084982992216678
Position 1604: 0.0019443646628891616
Position 3525: 0.0018376494656796353
Position 1909: 0.001791630565779158
Position 103: 0.001684927689982097
Position 1745: 0.0016164454966965125
Position 734: 0.0015495932883740596
Position 469: 0.001531150410896421
Position 1397: 0.0014702727586215374
Position 2162: 0.0013228608188885548
Position 2003: 0.0013187108449073462
Position 5262: 0.0013046224873790309
Position 3833: 0.0011573212890717405
Position 3893: 0.0009423296836007951
Position 3317: 0.0007792869236966015
Position 5471: 0.0007360438981889198
Position 4967: 0.0007255818432206059
Position 3527: 0.0007174256965406939
Position 1254: 0.0006598164412076785
Position 1051: 0.0005820731944694338
Position 3371: 0.000558410360656514
Position 257: 0.00049322904442622
Position 1028: 0.00048262174470064823
Position 4524: 0.0004625803782150333
Position 2447: 0.00043555723665008325
Position 1479: 0.0003779122274095466
Position 1626: 0.0003755697868681113
Position 5641: 0.0003737294675747588
Position 1676: 0.00036071987891355604
Position 1545: 0.00034321356364294106
Position 575: 0.00031398327501350334
Position 2284: 0.00029291764627250775
Position 4385: 0.0002906315029174556
