Gene = TfAP-2
index = 1552
Annotated 5SS: [12511 22822 23059 24523 25357 25682 25953]
Annotated 3SS: [22590 22872 24314 25166 25416 25784 26015]
SMsplice 5SS: [   69 22822 23059 24523 25357 25682 25953]
SMsplice 3SS: [22590 22890 24314 25166 25416 25784 26015]
top_k =  1000
Partition function (log Z): 17.37965767972598

Sorted 5' Splice Sites (High to Low Probability):
Position 25357: 0.9994150933395419
Position 25953: 0.9984900004786136
Position 25682: 0.9957071277742677
Position 23059: 0.9946276869864701
Position 24523: 0.993354825635854
Position 22822: 0.9916689619594582
Position 69: 0.9500134456062149
Position 25009: 0.5316799613866379
Position 4350: 0.20210276069147023
Position 24234: 0.19083005568929662
Position 24768: 0.11411708557440736
Position 12511: 0.07843597968308037
Position 565: 0.04856018087720492
Position 14360: 0.043864704320224344
Position 4789: 0.039011783286261766
Position 3698: 0.025508016010687345
Position 3962: 0.018665562234216292
Position 2428: 0.015331603572516585
Position 24001: 0.010578729759876861
Position 24134: 0.010146444610809829
Position 26101: 0.01012030622445741
Position 24789: 0.009090651395671438
Position 26420: 0.008550340193418916
Position 25110: 0.008464286082019379
Position 26226: 0.006630892088432842
Position 25529: 0.006118063885705479
Position 24957: 0.005785818975277438
Position 1773: 0.005468287579473762
Position 25108: 0.005372595108438393
Position 2723: 0.005285982843843108
Position 23328: 0.005279333711566726
Position 25048: 0.004405364680945472
Position 3948: 0.004221344107591499
Position 25488: 0.00393159555809311
Position 24677: 0.003389747836820783
Position 26283: 0.0031717711717792695
Position 4188: 0.002849967118282162
Position 24097: 0.002607539803446373
Position 25701: 0.0024866199810825423
Position 2958: 0.002376568034015238
Position 3003: 0.002320207947251458
Position 23888: 0.0019656822594466164
Position 314: 0.0019567924232939105
Position 26250: 0.001538542561422867
Position 1285: 0.0013566094422287518
Position 1391: 0.0013440346967299528
Position 24970: 0.0012862562137157705
Position 2376: 0.0011479008976195868
Position 25031: 0.0011196452037127403
Position 2588: 0.0009512356322302671
