Gene = Sgs1
index = 1496
Annotated 5SS: [60]
Annotated 3SS: [124]
SMsplice 5SS: [60]
SMsplice 3SS: [124]
top_k =  1000
Partition function (log Z): -10.573741952600678

Sorted 5' Splice Sites (High to Low Probability):
Position 60: 0.994700862341048
Position 479: 0.019054410890874895
Position 671: 0.0030844392261354676
Position 578: 0.002499637849518644
Position 425: 0.0015381017794206466
Position 24: 0.001222931760824271
Position 3678: 0.0007116604139797596
Position 547: 0.0006839460085615827
Position 64: 0.0006112832206557433
Position 67: 0.00039294365061363527
Position 124: 0.00035263936292380795
Position 326: 0.00034025520235223596
Position 260: 0.0002554026170493401
Position 3675: 0.00025385097999132395
Position 145: 0.00019113963948140641
Position 576: 0.0001764329268481566
Position 197: 0.00015894914932560036
Position 708: 0.00014793486097299414
Position 515: 0.0001330431914243909
Position 677: 0.00013217881026606637
Position 179: 0.00010423057244138272
Position 95: 3.690062185173354e-05
Position 1458: 3.140530200853886e-05
Position 486: 2.9962291274565965e-05
Position 710: 2.8184774332087006e-05
Position 842: 2.657152417012761e-05
Position 1130: 2.562059384886532e-05
Position 890: 2.40970499490645e-05
Position 104: 2.2977079886317237e-05
Position 986: 2.112114653593607e-05
Position 1418: 1.3385584244933648e-05
Position 1274: 1.2008148762625486e-05
Position 250: 9.97729306075442e-06
Position 794: 8.24874361796505e-06
Position 218: 8.200910122197146e-06
Position 154: 6.4268245019653066e-06
Position 1610: 6.24932470616559e-06
Position 1370: 6.177572719378331e-06
Position 38: 6.072070250265815e-06
Position 1082: 5.4663762806125745e-06
Position 658: 4.778119470467414e-06
Position 1322: 4.6835162675953845e-06
Position 746: 4.381572229275473e-06
Position 602: 4.043081740862966e-06
Position 1226: 3.871279844302236e-06
Position 110: 3.428492812102373e-06
Position 350: 5.6347093866150105e-08
Position 191: 1.7551050600491592e-09
Position 675: 9.671538046495087e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 124: 0.46124374371773913
Position 144: 0.2604173812725471
Position 3645: 0.036688771754448485
Position 3506: 0.030203850944958966
Position 359: 0.020112755962890225
Position 539: 0.015127476208218934
Position 179: 0.014196532434730406
Position 3750: 0.014080007612673539
Position 3657: 0.009109904351315867
Position 3362: 0.008382022654216278
Position 770: 0.007821228990267373
