Gene = eIF2beta
index = 1683
Annotated 5SS: [143 746]
Annotated 3SS: [ 345 1053]
SMsplice 5SS: [241 746]
SMsplice 3SS: [ 345 1053]
top_k =  1000
Partition function (log Z): -3.2791286946964737

Sorted 5' Splice Sites (High to Low Probability):
Position 746: 0.8121145019391585
Position 241: 0.3174063410126293
Position 235: 0.2156487599233446
Position 143: 0.20447156602114902
Position 941: 0.15115579221247274
Position 245: 0.07514419549001776
Position 1406: 0.057215837960612505
Position 290: 0.045444851809875175
Position 166: 0.035121248912912885
Position 265: 0.019588774889546957
Position 751: 0.01739581222135299
Position 219: 0.013455433160719807
Position 213: 0.01256530595857737
Position 785: 0.006607304361297667
Position 473: 0.006070072153358149
Position 912: 0.002147024128845258
Position 249: 0.0017711962625962354
Position 1178: 0.0016504502566409439
Position 1200: 0.0014312116291648027
Position 1309: 0.0010105028213570363
Position 170: 0.0009750445605907543
Position 295: 0.000768483135682215
Position 953: 0.0005370081942211683
Position 945: 0.00043804148328146006
Position 239: 0.0004299388720659622
Position 509: 0.0004079626808185983
Position 869: 0.00027344897461534603
Position 867: 0.00024461257010885293
Position 76: 0.00020309901723123246
Position 919: 0.00017385524974154488
Position 1304: 0.00017141465961343405
Position 1209: 0.00015252333432168674
Position 192: 0.00011214173932181343
Position 247: 8.776918711623141e-05
Position 229: 8.136597738005462e-05
Position 27: 7.475927251973704e-05
Position 263: 6.047564173859815e-05
Position 67: 5.301985398232991e-05
Position 1549: 3.64620775324516e-05
Position 1520: 3.091213305839954e-05
Position 19: 2.563407567176352e-05
Position 1383: 2.1819812438511955e-05
Position 1525: 1.9407512464864536e-05
Position 38: 1.893852389475595e-05
Position 91: 1.8632875663899034e-05
Position 1390: 1.8171373074904492e-05
Position 1182: 1.68568380694838e-05
Position 3: 1.647599879695139e-05
Position 699: 1.0699094810328764e-05
Position 147: 9.854918687839265e-06
Position 1357: 9.452894687698136e-06
Position 106: 8.189753678046165e-06
Position 1410: 7.69906373151819e-06
Position 910: 7.687684174554673e-06
Position 416: 7.20368568659358e-06
Position 43: 6.172552250491125e-06
Position 1315: 4.985794826611868e-06
Position 1122: 3.963803445266793e-06
Position 1417: 3.827761807866051e-06
Position 1076: 3.5617785007084235e-06
Position 828: 2.5540542963368405e-06
Position 959: 1.8454407958384667e-06
Position 1478: 1.3694445192154773e-06
Position 347: 9.384344868763235e-07
Position 1109: 9.32458920704499e-07
Position 1506: 7.93949397878358e-07
Position 393: 4.0548938491123836e-07
Position 98: 3.9538252639229875e-07
Position 1462: 3.4681107392100036e-07
Position 831: 7.36141085529801e-09
Position 595: 6.0542461713513645e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1053: 0.9751344220529863
Position 345: 0.9262716978846751
Position 1478: 0.0600294198498321
Position 807: 0.011765247409834622
Position 1002: 0.005692773157619765
Position 372: 0.005030079655465018
Position 375: 0.004716714827787134
Position 815: 0.0030407032571078073
Position 867: 0.002498680514368224
Position 844: 0.0013772309345645686
Position 1373: 0.0013704604833377951
Position 578: 0.0010907155912969779
Position 378: 0.001017158245291971
Position 1451: 0.0006768311295078526
Position 1364: 0.0006308722493176555
Position 897: 0.0005929578861639091
Position 975: 0.0004171724503019762
Position 1616: 0.0002644384633276979
Position 1277: 0.00016886861550646838
Position 1145: 0.0001389089842071282
Position 1454: 0.00013284873446554725
Position 1199: 0.00010018180058362037
Position 910: 9.34865696946121e-05
Position 381: 8.449223973728854e-05
Position 1066: 6.800808952860479e-05
Position 991: 4.705236129591981e-05
Position 117: 4.352389217233981e-05
Position 384: 4.29130673940783e-05
Position 525: 4.225289582363766e-05
Position 850: 4.184241145788483e-05
Position 1315: 3.369566518476561e-05
Position 1340: 3.351443883198772e-05
Position 824: 3.104726678504377e-05
Position 271: 2.3790166746674205e-05
Position 791: 1.8416587659360015e-05
Position 1337: 1.6621733207525014e-05
Position 387: 1.3216697892640091e-05
Position 919: 1.256368135377387e-05
Position 91: 1.242349635535357e-05
Position 982: 1.1971825855493691e-05
