Gene = cass
index = 1643
Annotated 5SS: [ 240  490 1196 1472 1730 1979]
Annotated 3SS: [ 327  661 1270 1526 1791 2045]
SMsplice 5SS: [ 277  490 1196 1472 1730 1979 2481]
SMsplice 3SS: [ 327  661 1270 1526 1791 2045 2533]
top_k =  1000
Partition function (log Z): 27.236495580982265

Sorted 5' Splice Sites (High to Low Probability):
Position 1196: 0.9991609159794355
Position 1472: 0.9970206954837141
Position 1730: 0.9959300364894378
Position 1979: 0.9926475963333043
Position 490: 0.9847041443099809
Position 2481: 0.9466112699663266
Position 277: 0.7384212920820731
Position 240: 0.25256960415948787
Position 2301: 0.07609293765240094
Position 728: 0.01325241514482589
Position 2315: 0.010884974663113119
Position 2294: 0.010511731809968464
Position 52: 0.00769325096431489
Position 785: 0.007265957332970445
Position 494: 0.006478487760305305
Position 2354: 0.0037619636351913168
Position 260: 0.00353175260839169
Position 1734: 0.0031448982265103826
Position 560: 0.002888365657580574
Position 407: 0.0025510050615484108
Position 932: 0.0018752833380134633
Position 564: 0.0017501436656582694
Position 1463: 0.0015032770567043829
Position 114: 0.001259106471188543
Position 2478: 0.0011760964721685633
Position 585: 0.0009153663139929464
Position 924: 0.0009000865881346158
Position 547: 0.0006382753218463059
Position 149: 0.0005450635866245226
Position 732: 0.0004281606659873666
Position 1485: 0.00036027060070484637
Position 1613: 0.0003437162435420947
Position 1391: 0.0003245098610607461
Position 109: 0.0003042695509824792
Position 2863: 0.00029527746855831995
Position 895: 0.00026515320940318486
Position 43: 0.0002525577820093937
Position 2641: 0.000250663768697444
Position 212: 0.00023230726653122944
Position 2884: 0.0002171722862911801
Position 1952: 0.0001997722165335958
Position 1991: 0.0001685379475683268
Position 2713: 0.00016566636726061994
Position 1478: 0.00014634097143825298
Position 2263: 0.0001336386115664705
Position 79: 9.517840012433136e-05
Position 598: 8.54090314091822e-05
Position 2790: 8.310253824477654e-05
Position 191: 6.747150752290012e-05
Position 508: 6.618027486504452e-05
Position 2196: 6.49842403908696e-05
Position 1145: 6.085768580272589e-05
Position 2485: 5.301223770224423e-05
Position 751: 4.759803330813798e-05
Position 1967: 4.7151603706865236e-05
Position 1304: 4.009033959155649e-05
Position 2159: 3.945774628087444e-05
Position 498: 3.793907260035178e-05
Position 18: 3.6539128027021564e-05
Position 1200: 3.440635701754644e-05
Position 468: 3.206483744422791e-05
Position 107: 3.135255929386274e-05
Position 29: 2.6531712521991245e-05
Position 844: 2.3026461686894816e-05
Position 2823: 2.1580636654678148e-05
Position 1165: 1.6634835026322397e-05
Position 2365: 1.5318302403315772e-05
Position 2617: 1.5264310793035152e-05
Position 1454: 1.1318987668352498e-05
Position 1476: 1.064366193870667e-05
Position 2899: 1.029075015113583e-05
Position 459: 8.93440276754305e-06
Position 1148: 8.499420212380228e-06
Position 1651: 8.470663357647879e-06
Position 2251: 7.580925365902437e-06
Position 1512: 6.878027825463391e-06
Position 2036: 6.620536686943739e-06
Position 1657: 5.08210561096907e-06
Position 1355: 4.311466621856555e-06
Position 2433: 3.516668685437041e-06
Position 2753: 3.1783064801789953e-06
Position 399: 2.6872964700413545e-06
Position 2735: 2.44392755520382e-06
Position 1583: 2.365368143643833e-06
Position 697: 2.3408751491493737e-06
Position 291: 2.1812764649952226e-06
Position 562: 1.995151801548047e-06
Position 5: 1.7775198049419618e-06
Position 1604: 1.7570000446235745e-06
Position 2236: 1.563800092411819e-06
Position 962: 1.3711983586536503e-06
Position 153: 9.422754087384605e-07
Position 2369: 9.110212046408993e-07
Position 2647: 7.504465076169101e-07
Position 1318: 6.007977713960612e-07
Position 1662: 5.194152690447625e-07
Position 1589: 4.2144237724325493e-07
Position 2914: 3.558641714189167e-07
Position 372: 2.7299125225707667e-07
Position 1006: 1.8583769788306442e-07
Position 1295: 1.828882462645358e-07
Position 1552: 1.1695860126144316e-07
Position 2629: 9.046694115063078e-08
Position 1015: 6.020930720472765e-08
Position 1133: 4.0598089252932465e-08
Position 1076: 3.397768004142008e-08
Position 2062: 2.8648491463902618e-08
Position 331: 2.4799806499371164e-08
Position 361: 1.3433662614424969e-08
Position 992: 9.205874718112462e-09
Position 658: 6.248402974458722e-09
Position 310: 7.105249064280979e-10
Position 1756: 3.326314539758068e-10
Position 2040: 1.337165049073917e-10
Position 2492: 3.375669297837458e-12
Position 1788: 1.2816522159875184e-14
Position 1813: 1.9566745242257065e-15
Position 1791: 4.561290180604595e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 1791: 0.997020171441609
Position 327: 0.996799679673755
Position 661: 0.9947839669227319
Position 1270: 0.9935960157763927
Position 2045: 0.9717857341413945
Position 1526: 0.9511203191910855
Position 2533: 0.9334285324572841
Position 2365: 0.07338765361199798
Position 1547: 0.04212571152718914
Position 2372: 0.0183962697966465
Position 2051: 0.016510191347973702
Position 2641: 0.009502656108621388
Position 850: 0.008888541317163424
Position 2944: 0.008027556671920236
Position 773: 0.0074094958883882895
Position 149: 0.007102978777891759
Position 988: 0.007025284241911604
Position 1589: 0.005805469070889196
Position 1330: 0.002519894807030295
Position 1801: 0.0024981198128733537
Position 2419: 0.0023233997020425837
Position 609: 0.0020987520001433577
Position 2899: 0.0019739227181825364
Position 2091: 0.0018129150481972771
Position 2195: 0.001780122754438067
Position 1380: 0.001569196585473741
Position 2697: 0.0015413030620998812
Position 784: 0.0015011607378960263
Position 1355: 0.0013125120782040592
Position 2402: 0.0011779970742353222
Position 554: 0.000996599482586559
Position 673: 0.0009224319450986173
Position 124: 0.0006358234056272288
Position 2701: 0.000550250291021896
Position 2823: 0.0003023151980160592
Position 1390: 0.00028967846940061986
Position 2790: 0.0002050318773746218
Position 2004: 0.00019109480737617421
Position 2108: 0.00014384311254982536
Position 2447: 0.00014334332729297678
Position 170: 0.0001409739304690277
Position 932: 0.00012368967054324668
Position 781: 0.00012342421690086626
Position 1454: 0.00011987707301055732
Position 2156: 7.404613319590473e-05
Position 114: 6.577048483247941e-05
Position 2873: 6.373119382787757e-05
Position 167: 6.0122876103936005e-05
Position 943: 5.980265300541396e-05
Position 346: 5.925770797163823e-05
Position 1651: 5.547713133531065e-05
Position 703: 5.4576482422191036e-05
Position 2772: 5.3049050646951266e-05
Position 910: 5.2923370795272716e-05
Position 1823: 5.091405506703455e-05
Position 713: 4.78644545489914e-05
Position 615: 4.498205290656065e-05
Position 1810: 3.925298986628844e-05
Position 1418: 3.7374960191352086e-05
Position 2838: 3.735367976311029e-05
Position 2159: 3.524331686750324e-05
Position 2204: 3.0663420715057763e-05
Position 1657: 2.7857995519361114e-05
Position 2114: 1.9038351563638464e-05
Position 1006: 1.691102028740945e-05
Position 183: 1.6280369693687718e-05
Position 2853: 1.6239333999258665e-05
Position 1081: 1.5478796360419743e-05
Position 879: 1.3597909470351621e-05
Position 357: 1.3228467184446051e-05
Position 826: 1.1895773683259755e-05
Position 366: 1.1306834334501515e-05
Position 459: 9.48437591402649e-06
Position 895: 8.47488164107757e-06
Position 748: 8.122051431279494e-06
Position 2463: 7.680507044352422e-06
Position 1096: 7.470205134141778e-06
Position 2957: 7.291498814362223e-06
Position 399: 6.949278415023436e-06
Position 378: 6.778944780617338e-06
Position 1604: 6.38965324016934e-06
Position 348: 5.858095629388363e-06
Position 1699: 5.6548152289259665e-06
Position 1115: 5.587983676103287e-06
Position 1828: 5.462435853781945e-06
Position 206: 4.678338848770841e-06
Position 1364: 4.424314532463355e-06
Position 1050: 2.9771685354335423e-06
Position 2129: 2.8211292143350874e-06
Position 1072: 2.769348649838656e-06
Position 979: 2.3100109195992722e-06
Position 1674: 2.2026007657908103e-06
Position 2478: 2.198837345849617e-06
Position 2120: 1.9167190688852315e-06
Position 683: 1.6851298399599932e-06
