Gene = fon
index = 1705
Annotated 5SS: [ 119  426  536 2325]
Annotated 3SS: [ 412  499  841 2442]
SMsplice 5SS: [ 426 2325]
SMsplice 3SS: [ 841 2442]
top_k =  1000
Partition function (log Z): -7.490749925810591

Sorted 5' Splice Sites (High to Low Probability):
Position 2325: 0.8480705557776175
Position 426: 0.47778903499994696
Position 536: 0.34719995556118943
Position 119: 0.0744155710954012
Position 1308: 0.06606469263714662
Position 1945: 0.0569880038783454
Position 614: 0.049748732963453085
Position 2879: 0.03693599767623875
Position 373: 0.025733667534775174
Position 1075: 0.025339163332257834
Position 1021: 0.021391332191852484
Position 951: 0.020576752923991207
Position 2592: 0.017450250807984933
Position 1424: 0.017310335228139764
Position 109: 0.015694027447172302
Position 273: 0.014210467243672883
Position 1356: 0.011773357854248335
Position 308: 0.011696380003111025
Position 216: 0.01166692511419893
Position 1557: 0.011664104592426576
Position 339: 0.008949604394713939
Position 996: 0.0062038273148820626
Position 2694: 0.005352763595583482
Position 904: 0.004987947345438758
Position 469: 0.004598238270466074
Position 1000: 0.004272158757635853
Position 1042: 0.0039158239995903295
Position 1482: 0.003672657976095269
Position 240: 0.003060115297028939
Position 149: 0.002826296042628728
Position 213: 0.002745418244183479
Position 913: 0.002058436372902137
Position 2763: 0.0019913365253241937
Position 2672: 0.0019769778712254793
Position 1908: 0.0017844451735651756
Position 2539: 0.0017666674980632827
Position 1234: 0.0016462487831924075
Position 1371: 0.001627865893098709
Position 2688: 0.0015291198621023188
Position 2599: 0.0012733859327655377
Position 167: 0.0011224636460955752
Position 2390: 0.0011088859249703707
Position 1605: 0.001034457833072457
Position 2121: 0.0009888989577595281
Position 2651: 0.0009023566416809816
Position 104: 0.0007809367737097559
Position 2888: 0.0006960094975593324
Position 331: 0.0006849160888818794
Position 2613: 0.0006476125556816285
Position 769: 0.0006017040473281584
Position 34: 0.0004661569396355761
Position 2731: 0.00041525162523342206
Position 1534: 0.00038578186973836946
Position 1063: 0.0003770829369796426
Position 2364: 0.0003767837555713415
Position 1410: 0.00029676750089329074
Position 1419: 0.00025586027630999795
Position 2053: 0.00024447839142135937
Position 733: 0.00021655836074828386
Position 690: 0.000215693772415944
Position 1045: 0.00020804826966882363
Position 2582: 0.0002043685716365966
Position 1485: 0.00017843904409497302
Position 747: 0.00016803113520023294
Position 556: 0.00016742824518042944
Position 442: 0.00015825367684905965
Position 7: 0.00014706561903551617
Position 2329: 0.00014253118470506021
Position 1569: 0.00012034741630545325
Position 2306: 0.00010675991863946843
Position 2911: 9.779903747678817e-05
Position 1366: 7.725352489256526e-05
Position 1442: 7.64669201092098e-05
Position 2288: 7.22819333460179e-05
Position 2211: 6.92328183328167e-05
Position 122: 6.663454921014726e-05
Position 2309: 6.6522843408057e-05
Position 2675: 6.282674991925661e-05
Position 211: 6.139958017530056e-05
Position 2871: 5.0967054610915496e-05
Position 2584: 4.8386770532097167e-05
Position 2214: 4.650835808079422e-05
Position 377: 4.564061512929036e-05
Position 130: 4.231097586279821e-05
Position 170: 3.941262910907796e-05
Position 736: 2.008269441981961e-05
Position 27: 1.9226090576275804e-05
Position 2714: 1.8833507058091245e-05
Position 499: 1.6132389669149135e-05
Position 2402: 1.5246130025345562e-05
Position 2501: 1.1786696179974558e-05
Position 265: 1.0559214348542605e-05
Position 113: 5.769078866762767e-06
Position 44: 5.6932103131621674e-06
Position 106: 5.255357343632507e-06
Position 517: 5.07716216302258e-06
Position 1105: 5.010372816253514e-06
Position 540: 2.9374279690243066e-06
Position 1096: 1.934520930781271e-06
Position 898: 1.6393224106173802e-06
Position 653: 1.400365947941902e-06
Position 25: 6.152608271236815e-07
Position 1539: 5.624553785837895e-07
Position 1428: 5.485921269275296e-07
Position 523: 2.0911716244374646e-07
Position 473: 1.1451111531523097e-07
Position 547: 7.202128775129169e-08
Position 1501: 2.7026277130130944e-08
Position 1090: 4.059189365092932e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 2442: 0.9279240781735568
Position 841: 0.6749676074783509
Position 1481: 0.08127007618913556
Position 3005: 0.07650341144681384
Position 499: 0.0702373725951958
Position 850: 0.06996228111006735
Position 412: 0.06019392879297178
Position 1450: 0.04477935522369113
Position 2011: 0.03408335778252588
Position 644: 0.028485639086475435
Position 2029: 0.02765224813685123
Position 1631: 0.025431408715137306
Position 338: 0.02299804736015048
Position 1907: 0.011801072348998656
Position 792: 0.009592742176818532
Position 1790: 0.008365072017171177
Position 1547: 0.007417961009835678
Position 1696: 0.006254166932873226
Position 780: 0.005796127140935478
Position 2735: 0.005684747302716299
Position 2047: 0.0047971216072798875
Position 2797: 0.004665396174349398
Position 2647: 0.003364095503611089
Position 1604: 0.0033552479965777396
Position 1237: 0.003262552238104477
Position 1798: 0.003032930848427239
Position 1169: 0.0020648071778872354
Position 1145: 0.002032185032169748
Position 1291: 0.001831011945864063
Position 1265: 0.0017583815604948123
Position 1217: 0.0016050503599307588
Position 1820: 0.0012843937657404977
Position 425: 0.0009591244458515735
Position 1020: 0.0007319614578996386
Position 523: 0.0006983269362428337
Position 1556: 0.0006818973689775361
Position 1823: 0.0006614263840380706
Position 273: 0.0006451261217481169
Position 3020: 0.00047969550961148347
