Gene = Prune1
index = 864
Annotated 5SS: [  492 13846 16659 18485 19866 22837 24050]
Annotated 3SS: [13752 16455 18299 19706 22741 23890 26648]
SMsplice 5SS: [  492 13559 13846 16659 18485 19866 22837 24050]
SMsplice 3SS: [13462 13752 16545 18388 19706 22741 23890 26648]
top_k =  100
Partition function (log Z): -22.32569165293662

Sorted 5' Splice Sites (High to Low Probability):
Position 492: 0.9511287366772171
Position 1271: 0.11828357540264295
Position 733: 0.11446585357776792
Position 45: 0.06948418518303251
Position 1772: 0.06281076024001263
Position 1766: 0.03904661809913666
Position 804: 0.034607995854051665
Position 551: 0.002977299107598751
Position 341: 0.002566061038896946
Position 576: 0.0013321378344207469
Position 1095: 0.0007926960696031192
Position 313: 0.00025309703269221453
Position 347: 0.00020549552880005744
Position 393: 0.00010453491989880803
Position 505: 8.747033688262072e-05
Position 381: 5.280906022396606e-05
Position 30: 3.0090597653445578e-05
Position 70: 1.4747641372480377e-05
Position 334: 1.2065592180738643e-05
Position 764: 1.0944684169915597e-05
Position 216: 9.31543656955302e-06
Position 28: 4.761437719833523e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 4118: 0.5032054156176212
Position 888: 0.16278986925359554
Position 640: 0.14843593052143897
Position 7290: 0.09300553830860815
Position 1159: 0.09039050809781798
Position 1939: 0.06658947856224644
Position 3890: 0.04224725166973303
Position 1666: 0.040064946740856415
Position 1708: 0.03518497833318364
Position 1567: 0.034704361107973876
Position 5544: 0.03191527951203146
Position 1595: 0.02782635403635933
Position 1907: 0.022112372504878804
Position 1185: 0.01918911491161326
Position 373: 0.013008466124908078
Position 764: 0.011028684772343518
Position 1245: 0.008173919655161796
Position 491: 0.007872215663185885
Position 470: 0.006708784225422192
Position 1211: 0.006606306517788836
Position 2609: 0.006122119931659461
Position 125: 0.004626354061458822
Position 425: 0.0034622514133574155
Position 1839: 0.0028136587653911447
Position 1800: 0.0026068312021885784
Position 697: 0.0015888369884646406
Position 596: 0.0014228255497793576
Position 380: 0.0008255036692691894
Position 238: 0.0007002134127916537
Position 182: 0.0006635622255018385
Position 587: 0.000639292748804986
Position 458: 0.0005298983318361551
Position 681: 0.0003385065274827387
Position 617: 0.0003217637406878242
Position 245: 0.00013893057199118955
Position 619: 8.438432721971474e-05
Position 718: 7.213594068529387e-05
Position 732: 6.741820726051201e-05
Position 386: 6.25114559141605e-05
Position 647: 4.102052942168909e-05
Position 149: 3.630311223026914e-05
Position 334: 2.7484156679068313e-05
Position 225: 2.4107698861141684e-05
Position 286: 3.442148389838751e-06
Position 185: 1.3607050311204554e-06
Position 519: 7.577934086562395e-07
