Gene = Fkrp
index = 411
Annotated 5SS: [  33 1669]
Annotated 3SS: [1605 4755]
SMsplice 5SS: [  33 1669]
SMsplice 3SS: [1605 4755]
top_k =  100
Partition function (log Z): -10.84621359339404

Sorted 5' Splice Sites (High to Low Probability):
Position 1669: 0.8797978833041902
Position 33: 0.47325645775107694
Position 921: 0.30262673009434715
Position 561: 0.15674349940396315
Position 6870: 0.14229834299701488
Position 5625: 0.06301607755192165
Position 2516: 0.05276925431966709
Position 1090: 0.020435916677423383
Position 2331: 0.015813875710447685
Position 999: 0.014833673285041841
Position 3269: 0.011699475919133102
Position 1472: 0.01155945663837697
Position 1703: 0.007720595360895153
Position 170: 0.00608128589949107
Position 467: 0.0060524902680899545
Position 4295: 0.005639406296840817
Position 210: 0.005011331601455862
Position 1295: 0.004908241953810921
Position 4051: 0.004573099956020056
Position 2356: 0.004260687766932219
Position 2267: 0.00200694282565886
Position 577: 9.832979360446094e-05
Position 558: 9.072846459497023e-05
Position 610: 5.846681435175988e-05
Position 299: 4.9336014151879535e-05
Position 912: 1.436383584811957e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 1605: 0.6339455732363917
Position 4755: 0.5307104005639403
Position 7070: 0.29128759440196017
Position 1608: 0.238109571207744
Position 6730: 0.18686190257451546
Position 5471: 0.06766964039344564
Position 2209: 0.02947838039980865
Position 2397: 0.02710988330168459
Position 2284: 0.024989164638162774
Position 6773: 0.02064114100340211
Position 3868: 0.02055340067437687
Position 7031: 0.01969063608982679
Position 3163: 0.01915971847296295
Position 749: 0.01255973945478161
Position 2907: 0.0111141335097281
Position 2011: 0.01054668364763091
Position 2266: 0.007923544573281665
Position 7288: 0.007562376142050685
Position 4157: 0.005639406296840817
Position 5111: 0.003069707573118781
Position 5015: 0.0022795018940379983
Position 4854: 0.0022126675069549756
Position 4033: 0.0019935650804396485
Position 2400: 0.001902524646938996
Position 1066: 0.0015373271961992997
Position 2378: 0.0014302973359478523
Position 3028: 0.0013513848225242117
Position 862: 0.0011857046710854137
Position 701: 0.0011679416997839617
Position 1652: 0.0010893595216311526
Position 991: 0.0010477719158136108
Position 3343: 0.0009066355406504008
Position 905: 0.0007826520448783215
Position 964: 0.0006404616958852125
Position 125: 0.0005621467039614673
Position 2097: 0.0005289627846975051
Position 658: 0.00045500285222677275
Position 1191: 0.0004101457716480048
Position 779: 0.00036592376033025133
Position 1729: 0.00032778147725824987
Position 1152: 0.0002202425833366054
Position 103: 0.00014360652622073838
Position 613: 0.0001206162572772563
Position 1209: 0.00011820060670248422
