Gene = Slc51b
index = 984
Annotated 5SS: [ 209 7789 9032]
Annotated 3SS: [7667 8940 9953]
SMsplice 5SS: [ 209 7803 9032]
SMsplice 3SS: [7667 8940 9953]
top_k =  100
Partition function (log Z): -6.126585718931542

Sorted 5' Splice Sites (High to Low Probability):
Position 209: 0.9933595506243782
Position 9032: 0.8238640958482534
Position 7803: 0.5407364053656202
Position 7789: 0.44288925076845087
Position 422: 0.2172435029292104
Position 5129: 0.1991288923697869
Position 1852: 0.15338165829412923
Position 9380: 0.024493863593698387
Position 10039: 0.011174277156478183
Position 9580: 0.0077481659731970225
Position 7793: 0.003929247805307304
Position 9230: 0.002462022065574696
Position 9063: 0.0018613459659950519
Position 202: 0.00024198973572425302
Position 37: 0.00019542018545850326
Position 134: 0.00018331752504652517
Position 213: 0.0001524821446054314
Position 88: 0.00012762133314146156
Position 234: 7.367185126490731e-05
Position 79: 4.124701518508166e-05
Position 77: 2.8012927415190663e-05
Position 92: 1.4326281114531133e-05
Position 186: 9.431238922789407e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 7667: 0.9882224137167892
Position 9953: 0.9439488284667085
Position 8940: 0.8328611009630065
Position 296: 0.20809249241973218
Position 1749: 0.14393024777571062
Position 4909: 0.07810738853983032
Position 4953: 0.046812363301511166
Position 4978: 0.04133491738924559
Position 9292: 0.03155332809792723
Position 4796: 0.01822664855063623
Position 4871: 0.015658468292830637
Position 9379: 0.013246090315915046
Position 9876: 0.010639121090432354
Position 9927: 0.009047069474661325
Position 8604: 0.007377548277291395
Position 9143: 0.006182604234668018
Position 1782: 0.004812359553591642
Position 1808: 0.00474995050872227
Position 10135: 0.00453302098684364
Position 9222: 0.0025447556815063606
Position 10143: 0.0024915711968068626
Position 10215: 0.0022221373052398697
Position 307: 0.0021143980372563963
Position 10212: 0.0019275476675878205
Position 279: 0.0015624385655289609
Position 3783: 0.0003534026344431691
Position 5823: 0.0002699010868038485
Position 2438: 0.00017087419085981342
Position 3095: 6.199287661853317e-05
Position 746: 5.949520343032319e-05
Position 1023: 5.609912615065683e-05
Position 1178: 4.2057778736433974e-05
Position 2891: 3.966302986097948e-05
Position 553: 3.7083443635260334e-05
Position 535: 3.402456998031499e-05
Position 1270: 1.5685022720725908e-05
Position 310: 4.6051282964987944e-07
Position 356: 1.4224012614454484e-07
Position 411: 7.951211332976372e-08
Position 318: 1.5542217103081505e-08
Position 372: 5.864551289174313e-09
Position 126: 2.8356056887569423e-09
Position 368: 2.2264911294455012e-09
Position 378: 4.382951573984416e-10
Position 320: 2.3041309738971338e-10
Position 179: 2.2209878518892206e-10
