Gene = Endod1
index = 379
Annotated 5SS: [572]
Annotated 3SS: [23354]
SMsplice 5SS: [ 572 7335]
SMsplice 3SS: [ 7192 23354]
top_k =  100
Partition function (log Z): -20.683925698171617

Sorted 5' Splice Sites (High to Low Probability):
Position 572: 0.9989261185458223
Position 7335: 0.6873231476608986
Position 954: 0.08144053207411184
Position 1240: 0.004959672790719976
Position 1849: 0.002831944004399902
Position 428: 0.000901084469059774
Position 1472: 0.0006145018770425425
Position 963: 0.0005621620156705871
Position 118: 0.0003997690974445821
Position 101: 0.0003603808117980029
Position 6: 0.0002428457472615708
Position 279: 5.494871345154703e-05
Position 874: 3.985516760542102e-05
Position 750: 3.772338934295773e-05
Position 122: 7.146283797799679e-06
Position 108: 5.936179346385074e-06
Position 168: 2.935411993748781e-06
Position 103: 6.27231110410083e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 7157: 0.706178784536158
Position 10736: 0.23934461150951813
Position 11726: 0.2088413712965989
Position 6440: 0.08195734781569154
Position 9726: 0.07804019331622247
Position 10103: 0.07571520100020716
Position 899: 0.050026552907583406
Position 8282: 0.045999522752105074
Position 6635: 0.04065919363470882
Position 3963: 0.040203242371620186
Position 7850: 0.0393822477862468
Position 1347: 0.022785462739522148
Position 733: 0.02014639369444021
Position 1106: 0.01982926983007197
Position 5320: 0.019616472323490633
Position 860: 0.018748386311862812
Position 1277: 0.015778835327678885
Position 3312: 0.007511063968900282
Position 1230: 0.006537673949729307
Position 1562: 0.004686419521641691
Position 1164: 0.0031134198474493473
Position 1393: 0.002840130684783145
Position 766: 0.0027552509601667828
Position 3817: 0.0026345916930984657
Position 805: 0.0024918569594615937
Position 1300: 0.002298013678801893
Position 2769: 0.002268905666617576
Position 1006: 0.0022180366059855973
Position 3372: 0.0017465895018351284
Position 3475: 0.0017461297930427343
Position 1746: 0.0016736475948547515
Position 3433: 0.001669025887616831
Position 2715: 0.0015239493229858051
Position 646: 0.0011901390957293828
Position 2493: 0.0010593603283875327
Position 790: 0.0010440822676772764
Position 769: 0.0009052679585257646
Position 1142: 0.0008903876164249207
Position 1285: 0.0007194450842765583
Position 352: 0.0004133072170957896
Position 1633: 0.0003291873444419768
Position 391: 0.00027865197406115594
Position 882: 0.0002637611265319633
Position 480: 0.00014972238154077123
Position 540: 0.00012375911850206713
Position 685: 0.00010234372368066888
Position 814: 8.423023151527086e-05
Position 743: 7.02966752028786e-05
Position 903: 4.304330280852346e-05
Position 320: 2.4970738540328157e-05
Position 832: 1.3419092908092855e-05
Position 906: 1.0701907498582682e-05
Position 679: 9.552591633808482e-06
Position 356: 5.227730852743157e-06
Position 245: 4.835520349248643e-06
Position 550: 4.309629849136899e-06
Position 331: 2.9064686846394916e-06
Position 263: 6.275534646593682e-07
