Gene = Tbcb
index = 1060
Annotated 5SS: [ 693 1147 4669 5429 7800]
Annotated 3SS: [1002 4571 5236 7726 7924]
SMsplice 5SS: [ 693 1147 4472 4837 5380 7800]
SMsplice 3SS: [1002 4364 4571 5236 7665 7924]
top_k =  100
Partition function (log Z): -4.234495034903465

Sorted 5' Splice Sites (High to Low Probability):
Position 1147: 0.9077343086680698
Position 4472: 0.6580874536788911
Position 5380: 0.5152239098384167
Position 4837: 0.5125418571466501
Position 693: 0.4783400078569709
Position 915: 0.39342370331399923
Position 5429: 0.3924737117641509
Position 4669: 0.22864237069062654
Position 585: 0.21665765938287979
Position 4696: 0.19555734656416934
Position 7800: 0.158103570673427
Position 4331: 0.11250554595898839
Position 6841: 0.034993330977586674
Position 4700: 0.027341427651135775
Position 5421: 0.018952179985643577
Position 3219: 0.01709850331313516
Position 4504: 0.01067185111687389
Position 4299: 0.009456488626173867
Position 712: 0.007752201944305126
Position 3556: 0.006289976439220224
Position 4509: 0.005350063771733812
Position 409: 0.00502629656614333
Position 468: 0.00462943904183588
Position 4984: 0.004548026771653417
Position 451: 0.003995519208456704
Position 667: 0.0034468420494264394
Position 531: 0.002618050165699034
Position 1364: 0.0023510869708733375
Position 841: 0.002191353557229166
Position 3094: 0.00200919395418502
Position 391: 0.0017732330532841457
Position 223: 0.0017641583014132837
Position 2498: 0.001718045040512412
Position 609: 0.0015940386632712022
Position 5107: 0.0012665246256733198
Position 446: 0.0012223252944098555
Position 4704: 0.001187987668861647
Position 4604: 0.0011040356125009163
Position 4994: 0.0010089627773617745
Position 1086: 0.0006743843732538718
Position 646: 0.0006175272128251845
Position 1481: 0.0005617256717574391
Position 384: 0.0005481308402549061
Position 893: 0.00039355599176946226
Position 533: 0.00038372146038044466
Position 686: 0.0003556847169066857
Position 37: 0.0003438913694340467
Position 701: 0.00024094156502403534
Position 265: 1.3572265955384488e-06
Position 359: 1.2638143871962307e-06
Position 202: 1.5154725287875996e-07
Position 413: 9.869390587989343e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 4571: 0.9895656840499865
Position 5236: 0.9587548701543147
Position 1002: 0.9063570680918626
Position 4364: 0.5822977914405204
Position 7924: 0.321342606290373
Position 6705: 0.24134908333230592
Position 4210: 0.20905339915953589
Position 7665: 0.17383348356233447
Position 5610: 0.13753054668463316
Position 6767: 0.11011519869716443
Position 5515: 0.09914520575083281
Position 786: 0.04816733269422678
Position 779: 0.03569938444874731
Position 808: 0.023959999307078903
Position 6162: 0.019204286817264122
Position 2999: 0.015821480114777197
Position 7955: 0.01581651403451877
Position 5184: 0.013829973989798404
Position 6044: 0.007656951425574581
Position 3372: 0.006289976439220227
Position 4227: 0.0047202125526049216
Position 6549: 0.003860507423551447
Position 574: 0.0038337363952870075
Position 830: 0.0034675567172918536
Position 3018: 0.0032627187021935216
Position 1066: 0.002850101833779637
Position 759: 0.0026818863224831826
Position 625: 0.002574974978427038
Position 628: 0.0018705679771649742
Position 1225: 0.001800920837747984
Position 2345: 0.001718045040512409
Position 832: 0.001130836888717097
Position 5264: 0.0009272460181457533
Position 684: 0.0008077789426836352
Position 796: 0.0006395256242651666
Position 850: 0.00047507450235594186
Position 800: 0.0004285469780709212
Position 774: 0.00036929790950278763
Position 507: 0.00035496585405940745
Position 656: 0.00027887384176529555
Position 510: 0.0002198815881221889
Position 640: 0.00021924988821436255
Position 478: 0.00017507567571876261
Position 504: 0.00013771310448083745
Position 527: 5.640672446464419e-05
Position 450: 4.093464806475145e-05
Position 472: 3.208578371623397e-05
Position 2965: 2.3498450349434842e-05
Position 4585: 1.3084517058813795e-05
Position 1332: 8.411251833905859e-06
Position 1028: 1.87228226665734e-06
Position 653: 1.1350184543275334e-06
Position 664: 8.204014047375599e-07
Position 948: 4.576629878587124e-07
Position 369: 1.8434676907290416e-07
