Gene = 2310046K23Rik
index = 35
Annotated 5SS: [38]
Annotated 3SS: [1367]
SMsplice 5SS: [38]
SMsplice 3SS: [1367]
top_k =  100
Partition function (log Z): -9.236653125166388

Sorted 5' Splice Sites (High to Low Probability):
Position 38: 0.9466826411935678
Position 107: 0.03384116111366551
Position 52: 0.011790337497899568
Position 1570: 0.004976906468298983
Position 281: 0.004808386830958387
Position 1098: 0.004112448788410879
Position 479: 0.00402826954026356
Position 694: 0.003652109094144485
Position 1708: 0.0013286028570548246
Position 123: 4.098434877107065e-06
Position 344: 3.0528925521935196e-06
Position 81: 2.3779521603109776e-06
Position 101: 9.228074245788739e-07
Position 86: 1.875059696681499e-07
Position 42: 6.417332880030128e-08
Position 120: 1.7894470501668834e-08
Position 23: 6.244018760801835e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1367: 0.5647338314861017
Position 1048: 0.06497594051101827
Position 178: 0.03858411869079883
Position 782: 0.035236682191466986
Position 1560: 0.033407434016818435
Position 1518: 0.026490700575193246
Position 1497: 0.023681421656092383
Position 1536: 0.02131871937517953
Position 1479: 0.017025215291558305
Position 1557: 0.01646295725263715
Position 1458: 0.013370352889565645
Position 631: 0.012604909884571722
Position 1521: 0.01256755488425376
Position 1590: 0.011336129132785845
Position 1843: 0.011234718899376323
Position 1440: 0.010325958526599885
Position 1936: 0.009939726605744196
Position 1539: 0.009313557904893858
Position 1620: 0.009158414850651319
Position 1443: 0.007407925499737995
Position 197: 0.006945867571611325
Position 1482: 0.0066105309801296665
Position 1617: 0.005444717850671806
Position 1392: 0.0048289989985144995
Position 1846: 0.004585661522004675
Position 266: 0.004400411211921833
Position 1771: 0.00437933962129402
Position 493: 0.003958322870595739
Position 1737: 0.002888820495908122
Position 1712: 0.0027201704575136594
Position 678: 0.0026210070136425093
Position 1419: 0.002227936653843903
Position 294: 0.0020113982372710216
Position 1313: 0.001909401106465405
Position 810: 0.0015062931794902219
Position 1422: 0.0013266923348740202
Position 106: 0.001291630382651601
Position 1599: 0.001285627268531003
Position 478: 0.0011594750077337978
Position 1976: 0.0009799330581994577
Position 791: 0.0008043077584573491
Position 1869: 0.0007136126430920155
Position 389: 0.0007013136151658113
Position 370: 0.0006670660090331785
Position 565: 8.678531540737522e-05
