Gene = Emsy
index = 377
Annotated 5SS: [  306  2036  8975 10331 11613 15287 19519 26649 30314 35389 37481 41304
 43796 46113 54197 56108 59747 62028 63449]
Annotated 3SS: [ 1926  8874 10255 11570 15110 19258 26371 30058 35238 37309 41166 43621
 45913 54031 55951 59594 61466 62968 65894]
SMsplice 5SS: [  306  2036  8975  9284 10331 15287 19519 26649 30314 32214 35389 37481
 41304 43796 46113 54197 56108 57133 59747 61564 63449]
SMsplice 3SS: [ 1926  8874  9194 10255 15211 19258 26371 30058 32069 35238 37309 41166
 43621 45913 54072 55951 57027 59594 61466 63345 65894]
top_k =  100
Partition function (log Z): -15.437968677541457

Sorted 5' Splice Sites (High to Low Probability):
Position 26649: 0.9999999999999993
Position 30314: 0.9999999999999993
Position 8975: 0.9849005807378581
Position 35389: 0.9683486155000653
Position 41304: 0.9511487727150709
Position 37481: 0.9218728753038725
Position 10331: 0.915666797652857
Position 306: 0.9043779886638796
Position 46113: 0.9011875818414958
Position 9284: 0.8891500195965364
Position 43796: 0.7046135935500785
Position 19519: 0.6583727403375442
Position 2036: 0.6480692691111185
Position 32214: 0.5934439868987801
Position 19390: 0.34162725966245583
Position 6119: 0.2279338904897187
Position 32205: 0.1563784442636584
Position 2146: 0.13149523735131072
Position 46490: 0.1241475132782264
Position 38400: 0.1224865078753033
Position 49876: 0.12161649381697953
Position 45716: 0.11975377160800815
Position 38439: 0.10636485930683146
Position 41308: 0.04599989155100492
Position 45601: 0.035191827290168044
Position 1830: 0.02555007791710885
Position 858: 0.021756166873809917
Position 196: 0.019250636552904613
Position 725: 0.013299352752918362
Position 46500: 0.011196748734204273
Position 37423: 0.007887694816451568
Position 24: 0.00776753289682867
Position 496: 0.007383875866800757
Position 356: 0.007314290193837593
Position 37485: 0.005712510073723635
Position 400: 0.004484261593287072
Position 37420: 0.004226803353350198
Position 479: 0.0035554332387096625
Position 502: 0.0029052840793533426
Position 717: 0.002738540125609368
Position 37496: 0.002360071700016278
Position 396: 0.0015714271759912062
Position 788: 0.0013730862417140582
Position 1750: 0.0007794525507709088
Position 59: 2.2759997616223883e-05
Position 62: 1.8080251308299432e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 19258: 1.0000000000000004
Position 26371: 1.0
Position 30058: 0.9999999999999993
Position 8874: 0.9999999999999988
Position 41166: 0.9971486642660768
Position 45913: 0.9945860696394703
Position 35238: 0.9683486155000652
Position 37309: 0.9397070818268016
Position 9194: 0.874050600334395
Position 32069: 0.749822431162439
Position 10255: 0.7065167806287392
Position 1926: 0.6907070121710086
Position 43621: 0.634970032856555
Position 50530: 0.38557965303254554
Position 38243: 0.22907355005283053
Position 6006: 0.2279338904897187
Position 46346: 0.17580705300953134
Position 45423: 0.15858904060088005
Position 49708: 0.12161649381697953
Position 50004: 0.08035083751850527
Position 48821: 0.0773946367988712
Position 43525: 0.06964356069352501
Position 1804: 0.06034991960572521
Position 10072: 0.0602826530321596
Position 50498: 0.05951761562404856
Position 10023: 0.05658816044495285
Position 50513: 0.05643673106700199
Position 48579: 0.05622069297295859
Position 10226: 0.048313016968988536
Position 10266: 0.043966186578018075
Position 46611: 0.04268814255713268
Position 47830: 0.021054342368407225
Position 46249: 0.01735001049329658
Position 47542: 0.013588405415468425
Position 49269: 0.012908855581062145
Position 49318: 0.012569460665569422
Position 2063: 0.01240708964343073
Position 47229: 0.011887164802644233
Position 46373: 0.011068702183069164
Position 1953: 0.010496159556537795
Position 2000: 0.008196024854001048
Position 1754: 0.007892493105867326
Position 1636: 0.006529189090091936
Position 2082: 0.005669508651584474
Position 37339: 0.0025282955170181512
Position 46188: 0.0021095397638151965
Position 44233: 0.0008630945260022693
Position 41702: 0.0005097891647224936
Position 1854: 0.00039252684938419067
Position 1699: 0.0003552240044237861
Position 1655: 0.0003089888267400615
Position 138: 0.00021592721523202912
Position 772: 0.00014611031064277476
Position 784: 3.0307324031951627e-05
