Gene = Spg20
index = 1013
Annotated 5SS: [  110  5688  9690 12818 14547 15582 16268 16482]
Annotated 3SS: [ 4875  9491 12646 14425 15386 16108 16390 23301]
SMsplice 5SS: [  110  9690 14547 16268 16482]
SMsplice 3SS: [ 9491 14425 16108 16390 23301]
top_k =  100
Partition function (log Z): -18.970728941305833

Sorted 5' Splice Sites (High to Low Probability):
Position 110: 0.8835435491946011
Position 701: 0.528734446037087
Position 9690: 0.3247643292114042
Position 2740: 0.10038765384800673
Position 142: 0.056848173664956016
Position 3463: 0.056112535684588814
Position 2788: 0.014503343634712947
Position 147: 0.013894500249982091
Position 1818: 0.009405108230191675
Position 501: 0.007595530832589226
Position 194: 0.006106183201642436
Position 154: 0.006105754203513473
Position 2732: 0.00551925219959256
Position 384: 0.005133813896869122
Position 499: 0.0038588580206758323
Position 95: 0.002587486093859511
Position 764: 0.002408309232255847
Position 538: 0.0023159936314937953
Position 1915: 0.00134849865427889
Position 28: 0.0012357306708786514
Position 116: 0.0010505882776467921
Position 566: 0.0009811348705671841
Position 348: 0.0008838673245181855
Position 228: 0.000838346939742212
Position 286: 0.0007856155101592664
Position 423: 0.0005848108742217491
Position 320: 0.00042593348306873516
Position 203: 0.0004182951325263112
Position 246: 1.0468340010845299e-05
Position 296: 5.17028412896514e-07
Position 144: 8.021448019488085e-08
Position 44: 7.680831033517485e-08
Position 179: 2.9533382807169277e-08
Position 58: 2.6156326743393818e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 4875: 0.5410713901137829
Position 633: 0.44922251837116717
Position 9491: 0.37691470910493724
Position 12007: 0.15918019923828597
Position 2596: 0.14470638899535485
Position 11092: 0.09707754603467406
Position 10338: 0.06850658393844486
Position 576: 0.055321006214592766
Position 3373: 0.029465270752115844
Position 3412: 0.028688695600787392
Position 358: 0.02337303937472696
Position 3614: 0.01788624146104184
Position 1656: 0.013125562959963562
Position 6706: 0.00959264839290462
Position 651: 0.007388679629456603
Position 6058: 0.005423936490666295
Position 3703: 0.0028705472865908042
Position 2778: 0.0015117365538097824
Position 2607: 0.0014509929445197193
Position 4811: 0.0012755739832822361
Position 1080: 0.0008629955483614977
Position 1994: 0.0008104226390120042
Position 1844: 0.000786774006065763
Position 972: 0.0005268941916168332
Position 222: 0.00034897678899572143
Position 405: 0.0002509715269643653
Position 251: 0.00024170677718453052
Position 1230: 0.00016628460082645594
Position 823: 0.00013271693476609657
Position 282: 0.0001231533612510768
Position 316: 5.381990746017364e-05
Position 286: 3.036684561799209e-05
Position 293: 4.90317327693671e-07
