Gene = Selenos
index = 961
Annotated 5SS: [ 141  818 3858 7388 7623]
Annotated 3SS: [ 682 3750 7297 7543 9117]
SMsplice 5SS: [ 141  818 3858 7388 7623]
SMsplice 3SS: [ 682 3750 7297 7543 9117]
top_k =  100
Partition function (log Z): 2.549886983584333

Sorted 5' Splice Sites (High to Low Probability):
Position 3858: 0.999643894318797
Position 7623: 0.9881955512746748
Position 7388: 0.9312121789275385
Position 818: 0.847624541156422
Position 141: 0.7243388080624578
Position 6594: 0.4974520243494684
Position 170: 0.26778161904159103
Position 9237: 0.24730354423193782
Position 3569: 0.12217385264202837
Position 3579: 0.12002990251501276
Position 6150: 0.0987970313226566
Position 8664: 0.09438401256683275
Position 3211: 0.0677789027035246
Position 1377: 0.04580762761099493
Position 8567: 0.04532343118709433
Position 6427: 0.045289451336173
Position 8668: 0.031707448874221986
Position 2062: 0.028837217877372152
Position 8300: 0.026875729163530922
Position 4111: 0.024863116419590693
Position 2423: 0.018195933389221833
Position 5868: 0.015210276710720763
Position 8309: 0.014484959221185702
Position 576: 0.012630276715198577
Position 890: 0.009336202107923828
Position 3195: 0.007096484993892563
Position 7620: 0.004426684837624074
Position 9301: 0.0035375798567704986
Position 134: 0.002908067703282991
Position 7998: 0.002217285670088773
Position 9211: 0.0016129771869884445
Position 6637: 0.0014799549061429971
Position 611: 0.0014338765226158798
Position 174: 0.000600809800460688
Position 606: 0.00040201447148464046
Position 391: 0.000354366750617124
Position 253: 0.000313246058726282
Position 570: 0.00027556636815253557
Position 994: 0.0002683786024470064
Position 88: 0.0001700467165241699
Position 832: 0.00013146259605702494
Position 862: 0.00010915581513681377
Position 40: 9.770892746209472e-05
Position 501: 9.261843518503018e-05
Position 1031: 8.455201503124141e-05
Position 512: 6.995300688222047e-05
Position 368: 6.636703913038584e-05
Position 526: 6.251038973750356e-05
Position 296: 4.898951030408426e-05
Position 326: 4.80830272137668e-05
Position 441: 4.105637235576396e-05
Position 340: 3.61175324000174e-05
Position 551: 2.8438967625281636e-05
Position 520: 1.9558268526964785e-05
Position 226: 1.8817686697946633e-07
Position 196: 1.2996537419959828e-07
Position 56: 1.2648652340338413e-08
Position 44: 9.551535814279319e-09
Position 50: 9.26397677809552e-09
Position 37: 6.347760625689304e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 9117: 0.9973666649682312
Position 3750: 0.9888501793151787
Position 7543: 0.9421215094016128
Position 7297: 0.8617817308675125
Position 682: 0.8501769042321436
Position 6499: 0.4989319792556115
Position 3469: 0.242228820169778
Position 9339: 0.17246845934941066
Position 8501: 0.1132528015774021
Position 3124: 0.07487538769741717
Position 7148: 0.06943117491668341
Position 8463: 0.059420934056805576
Position 6054: 0.0588772517518758
Position 9456: 0.052534945124894296
Position 6324: 0.045289451336173
Position 7550: 0.032318476674902064
Position 8154: 0.03173430127709833
Position 5976: 0.029354404562837125
Position 1882: 0.025869116797187137
Position 1158: 0.024975106604981916
Position 1260: 0.015665250603338763
Position 9453: 0.014603517646147583
Position 4013: 0.013015263197150191
Position 6028: 0.01056537500794367
Position 8212: 0.009626387107618286
Position 2312: 0.009471613695938574
Position 7496: 0.008775809687663835
Position 3770: 0.00859491446440993
Position 5825: 0.00849507265266283
Position 5782: 0.006715204058057934
Position 3985: 0.006570862651344105
Position 725: 0.006448119256541461
Position 9703: 0.006281809697340584
Position 7589: 0.005924429303778503
Position 432: 0.005357251841148897
Position 3943: 0.005276990571096398
Position 2389: 0.004584700082120518
Position 2348: 0.004139619611162741
Position 321: 0.003969431211160138
Position 7524: 0.003138554276359765
Position 1994: 0.0029681010801850156
Position 9684: 0.0028580550157078933
Position 1275: 0.002762148186073344
Position 1215: 0.0022648704717183553
Position 7804: 0.0022172856700887708
Position 9733: 0.0021752490808347813
Position 3705: 0.0021737355264716406
Position 512: 0.0017334008971015653
Position 8331: 0.0010857310107282739
Position 9633: 0.0009137032714614152
Position 701: 0.0008490887327316882
Position 9737: 0.0006183620898996412
Position 7547: 0.00034272991132397625
Position 459: 0.00030753990318598733
Position 9082: 0.00028876101498180075
Position 451: 0.00024012508688871277
Position 548: 0.00021433518097728759
Position 1169: 0.00014025174488256902
Position 389: 5.574240979101999e-05
Position 753: 2.280347046504796e-05
