Gene = Myocos
index = 728
Annotated 5SS: [ 174 1184 3762]
Annotated 3SS: [ 1050  3621 10682]
SMsplice 5SS: [ 174 1184 1401 1719]
SMsplice 3SS: [1050 1308 1563 3621]
top_k =  100
Partition function (log Z): -6.5706934465012825

Sorted 5' Splice Sites (High to Low Probability):
Position 174: 0.9372650782188099
Position 1719: 0.838645542095633
Position 1184: 0.7628929090447364
Position 1401: 0.6167334934401824
Position 1215: 0.21614095258165753
Position 1430: 0.1655209580220013
Position 502: 0.13264858828427425
Position 1388: 0.10459694541166911
Position 3678: 0.058170710923825975
Position 3766: 0.048491608839802885
Position 559: 0.03756465692981124
Position 936: 0.031089320756396827
Position 1769: 0.02952554886214389
Position 3654: 0.028812122914716527
Position 1394: 0.019943876748606097
Position 92: 0.014655204742780016
Position 352: 0.009624530080014394
Position 3189: 0.009469545497938983
Position 444: 0.006006253349249391
Position 107: 0.0047290859649620764
Position 1162: 0.004573657776974888
Position 3716: 0.004097613202155297
Position 551: 0.003675860357011302
Position 1051: 0.0026944967166083137
Position 751: 0.0017932768318601447
Position 88: 0.0008907404736976401
Position 1723: 0.0006569768023518049
Position 2273: 0.00018757857854607478
Position 3124: 4.097267098145426e-05
Position 22: 4.026031383692033e-05
Position 39: 2.9912971209872603e-05
Position 209: 2.2338755054772363e-05
Position 230: 1.6593639218783216e-05
Position 43: 7.293007422348495e-06
Position 381: 4.670683516947592e-06
Position 83: 4.536769461929793e-06
Position 133: 1.25036104465899e-06
Position 189: 7.768751976047204e-07
Position 50: 4.0581736407253163e-07
Position 58: 2.962785991937195e-07
Position 135: 9.01454514151271e-08
Position 244: 8.933586959901894e-08
Position 178: 6.003910577372163e-08
Position 185: 4.6777740485499446e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 1050: 0.9293315804402467
Position 1308: 0.9089783452280937
Position 3621: 0.8135516232782886
Position 1563: 0.6473750891101042
Position 1602: 0.14005475327046027
Position 3886: 0.09948018174203879
Position 320: 0.09253882165585134
Position 5114: 0.08024923588074163
Position 1624: 0.04051785099835546
Position 4550: 0.03868307970390353
Position 963: 0.03613085145426064
Position 3743: 0.025874308032887466
Position 6690: 0.021706103508661142
Position 836: 0.018698644582892707
Position 935: 0.017136340902885714
Position 371: 0.016272585147626806
Position 5731: 0.015313959625812085
Position 5053: 0.014702578837451373
Position 1888: 0.012182543731779813
Position 1610: 0.012054844170950266
Position 1641: 0.011608680723583767
Position 667: 0.011554063444767265
Position 432: 0.011073631983620722
Position 4991: 0.010736600562261259
Position 3117: 0.00951051816892043
Position 448: 0.008504675253632476
Position 482: 0.00802433666943498
Position 1667: 0.0077737860904625025
Position 198: 0.0072448682833583695
Position 1056: 0.0049554399452142505
Position 3623: 0.004255026670982135
Position 1678: 0.003644855327067747
Position 814: 0.0028438321944588576
Position 869: 0.002623692003604004
Position 2133: 0.0020788066770816983
Position 396: 0.0016435907690803319
Position 268: 0.001174946625916293
Position 271: 0.0007106433404391418
Position 1358: 0.00047076970923519787
Position 325: 5.204417436582095e-07
Position 1722: 1.2170133699575053e-07
