Gene = Mllt11
index = 682
Annotated 5SS: [  35 3117]
Annotated 3SS: [ 2962 11704]
SMsplice 5SS: [302 587]
SMsplice 3SS: [ 443 2020]
top_k =  100
Partition function (log Z): -13.851235017217585

Sorted 5' Splice Sites (High to Low Probability):
Position 587: 0.5854072000919223
Position 35: 0.3501519864204497
Position 302: 0.34935394508529566
Position 631: 0.25518552141536377
Position 262: 0.11359178420931314
Position 358: 0.06608036878666194
Position 1083: 0.05336694126003251
Position 319: 0.033895102304006886
Position 296: 0.031921432034755254
Position 216: 0.024479820957883237
Position 1798: 0.01631279431341113
Position 639: 0.015196620104336254
Position 56: 0.004821707475737895
Position 2513: 0.004756120205880674
Position 183: 0.0030530840361107613
Position 252: 0.0012967788148048349
Position 218: 0.0010666905960330687
Position 285: 0.0007987165199288006
Position 412: 0.0007139694594156295
Position 187: 0.0007016256306023781
Position 308: 0.00048419155549036185
Position 14: 0.0004448629850535939
Position 12: 2.3547892246516512e-05
Position 108: 4.691390276690173e-06
Position 48: 3.4495662528562613e-06
Position 141: 3.279180647470808e-06
Position 130: 2.9754564155833344e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 443: 0.795218458610812
Position 2020: 0.3913993018777028
Position 6775: 0.1360450839761469
Position 715: 0.10234563126384433
Position 2962: 0.07480762970602663
Position 959: 0.07376917569412068
Position 5544: 0.06944625038405686
Position 4498: 0.0525834129061576
Position 546: 0.04606600702622085
Position 1592: 0.02748631575581222
Position 4592: 0.021006593604725662
Position 2382: 0.01735180130197997
Position 147: 0.016201266249174253
Position 1080: 0.0111071237155562
Position 394: 0.010391351639421101
Position 3099: 0.007868761790710891
Position 2647: 0.00732665684523704
Position 2996: 0.006622016306871899
Position 783: 0.006487110934130163
Position 100: 0.005763730301471231
Position 2287: 0.005282553071639957
Position 373: 0.004823059414180671
Position 2464: 0.004500058229988513
Position 1475: 0.003446118969810867
Position 1397: 0.0030992808145410182
Position 1019: 0.0030561820566553525
Position 843: 0.002263487513945511
Position 103: 0.0022354820077203283
Position 519: 0.002208860184683758
Position 211: 0.0017978444418348496
Position 238: 0.00029666416108350377
Position 202: 0.00028189496948610157
Position 215: 0.000231448577401163
Position 153: 0.00023136303705189695
Position 397: 6.814647859919299e-05
Position 173: 1.382276749719825e-07
