Gene = Prap1
index = 848
Annotated 5SS: [  74 1704 2808 3386]
Annotated 3SS: [1636 2754 3278 3486]
SMsplice 5SS: [  74 2808 3386]
SMsplice 3SS: [2754 3278 3486]
top_k =  100
Partition function (log Z): -5.063602919662598

Sorted 5' Splice Sites (High to Low Probability):
Position 3386: 0.8464790518001964
Position 74: 0.830713669278228
Position 2808: 0.6804429445386277
Position 615: 0.49679493865236507
Position 1704: 0.39290852427575435
Position 3145: 0.1756631386390411
Position 1942: 0.08018172915895701
Position 322: 0.05037342290345186
Position 2010: 0.024738977640070103
Position 1592: 0.018147895280556207
Position 143: 0.015194364065479665
Position 1853: 0.015190294554809868
Position 2099: 0.0140054508133295
Position 1985: 0.013897963807963848
Position 2680: 0.005780295345856177
Position 3150: 0.003899563883699919
Position 3053: 0.0023688397812046957
Position 926: 0.0014519553985664643
Position 1421: 0.0013587007575794597
Position 510: 0.0006537045303552844
Position 1491: 0.00039823871749494495
Position 82: 0.00029529643289855117
Position 63: 0.0001302917118789689
Position 166: 0.00013012875676972143
Position 176: 0.00010787566607591455
Position 160: 7.58774813533457e-05
Position 256: 4.221400242979359e-05
Position 182: 2.3548812962448725e-05
Position 155: 6.823481115315361e-09
Position 157: 3.2994480022200936e-09
Position 217: 2.63821491697853e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 3486: 0.9678149486816136
Position 3278: 0.810064275451005
Position 2754: 0.614343189797521
Position 465: 0.3684336451648538
Position 1636: 0.33690404613957764
Position 2908: 0.15173685340080426
Position 1490: 0.14857730659493812
Position 2612: 0.07370884655722529
Position 1805: 0.062024917063088617
Position 3354: 0.037646539771029344
Position 2963: 0.028230654621641527
Position 470: 0.019049811334862953
Position 1966: 0.014623832038811332
Position 2796: 0.014286849346605755
Position 484: 0.0072945097624511
Position 2009: 0.00517216983898603
Position 3641: 0.0033267466155596885
Position 3545: 0.002170837399828148
Position 3599: 0.001668026517471697
Position 1356: 0.0009845825167460408
Position 1308: 0.0008616465421403992
Position 3535: 0.0008389463817330254
Position 547: 0.0003020601587686219
Position 249: 0.0002963683572615394
Position 187: 0.0002811417800655928
Position 892: 0.0002706296793142914
Position 1420: 0.00023495015897741597
Position 749: 0.00012441156500487874
Position 728: 4.2001271915693216e-05
Position 505: 3.396970592630554e-05
Position 536: 2.7707827654343295e-05
Position 427: 2.3057787921209512e-05
Position 569: 1.8252853496259735e-05
Position 207: 1.5680145127052163e-05
Position 201: 1.549245847923867e-05
Position 572: 4.160694332974886e-09
