Gene = Kcne4
index = 604
Annotated 5SS: [239]
Annotated 3SS: [852]
SMsplice 5SS: [239 970]
SMsplice 3SS: [ 852 1295]
top_k =  100
Partition function (log Z): -3.20378712337297

Sorted 5' Splice Sites (High to Low Probability):
Position 239: 0.9950267500807314
Position 970: 0.8806282993945658
Position 1412: 0.34561034572528687
Position 1402: 0.32814315933049665
Position 1808: 0.28141031027192837
Position 1420: 0.21890967801572853
Position 1926: 0.20277804051433662
Position 2023: 0.04290282938164074
Position 1160: 0.04057130880382146
Position 1170: 0.0211590773214526
Position 958: 0.012051146414919322
Position 944: 0.009114615698850437
Position 2118: 0.008965206566596814
Position 951: 0.00478270847655435
Position 701: 0.0017817426066462966
Position 1633: 0.001500003789661459
Position 326: 0.0013388192352963635
Position 864: 0.0006568439318050132
Position 1091: 0.0005222384197061968
Position 228: 0.0004588401113889021
Position 612: 0.00036915896844377794
Position 999: 0.0003569935196717699
Position 1094: 0.0002989267256083186
Position 1148: 0.000297510015358085
Position 243: 0.0002352597411193326
Position 1076: 0.0002266735619588073
Position 80: 0.000198535356476519
Position 464: 0.000173385373235914
Position 1002: 0.00016663759209238025
Position 207: 0.00012967244055070418
Position 967: 0.0001100649026948208
Position 77: 7.733885797444808e-05
Position 102: 7.705559934345819e-05
Position 370: 6.56372973135574e-05
Position 448: 3.0535390646525725e-05
Position 150: 2.8074660690811586e-05
Position 497: 2.141628954465853e-05
Position 375: 1.3644848205027623e-05
Position 16: 3.571004081968527e-07
Position 45: 3.1524522460450937e-07
Position 67: 1.194775584035538e-10
Position 199: 1.0507873298183162e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 852: 0.968551003678853
Position 1295: 0.9565921463421786
Position 2607: 0.43872205030944816
Position 1721: 0.28462698805600606
Position 2974: 0.1494547882694447
Position 1795: 0.08567867798538008
Position 2500: 0.0843295312065602
Position 1684: 0.07857755225295208
Position 1779: 0.05635088082939042
Position 2022: 0.053860533614637704
Position 1704: 0.0483870636548161
Position 2452: 0.03258853855333531
Position 2241: 0.03237929743424156
Position 2045: 0.02397576638959122
Position 2112: 0.021047476329003036
Position 2014: 0.01627439002911906
Position 820: 0.014211698845747113
Position 1845: 0.013925049522330686
Position 1301: 0.010781858634765521
Position 1951: 0.009518019985162657
Position 1870: 0.005193781201665879
Position 1648: 0.004810068859818656
Position 754: 0.004602076559785185
Position 1196: 0.002804244456828181
Position 1298: 0.0022185849713401156
Position 2000: 0.0009272087577749004
Position 1738: 0.0003198109062917995
Position 1242: 0.00021323016933707913
Position 827: 0.00013876301585793904
Position 1498: 6.270533859742086e-05
Position 330: 4.1899537985457344e-05
Position 1249: 2.3439241959091015e-05
Position 1159: 9.057973614223446e-09
Position 1101: 7.196860084023933e-09
Position 1354: 6.498171758779791e-09
Position 1351: 6.205142472987755e-09
Position 1322: 3.902808499796048e-09
Position 672: 8.021672468969218e-13
Position 784: 5.673504713867296e-13
