Gene = Retreg2
index = 897
Annotated 5SS: [ 343  690 1168 1654 1921 2318 2568 3030]
Annotated 3SS: [ 582 1136 1517 1835 2173 2472 2893 3643]
SMsplice 5SS: [ 343  690 1654 1921 2318 3030 3934]
SMsplice 3SS: [ 582 1517 1835 2173 2893 3643 4044]
top_k =  100
Partition function (log Z): 2.834482227190688

Sorted 5' Splice Sites (High to Low Probability):
Position 1654: 0.9451355956428539
Position 2318: 0.9272659995248699
Position 3030: 0.9196008701005648
Position 690: 0.9168286758214338
Position 1921: 0.8308648986044237
Position 343: 0.739777252617377
Position 3934: 0.5059512049766702
Position 2568: 0.46254830130649577
Position 96: 0.25807490467389027
Position 1168: 0.14108358790992326
Position 1357: 0.05281888051722484
Position 4228: 0.04451039295789264
Position 1419: 0.02898107622149448
Position 1300: 0.02831710789944076
Position 159: 0.021150538818396448
Position 3321: 0.020997687049576642
Position 74: 0.02043371811970842
Position 459: 0.018374230510411982
Position 3668: 0.016121150212499595
Position 491: 0.015088850267307467
Position 2573: 0.009740502310370701
Position 2619: 0.008576195353045678
Position 3344: 0.006219266080989835
Position 3746: 0.005246682456704816
Position 3328: 0.002612245807786139
Position 444: 0.0022944893969087704
Position 792: 0.001197151593460167
Position 311: 0.0008876967621015843
Position 406: 0.0007348205057716032
Position 885: 0.0007115789353739796
Position 90: 0.0005758025403001889
Position 284: 0.0005284698908198374
Position 257: 0.0005031224024387881
Position 2380: 0.0004876289456960511
Position 716: 0.0004292193307266571
Position 111: 0.0001203866317686574
Position 583: 1.2986907866080973e-05
Position 206: 6.018639887981758e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 1517: 0.9113329935122011
Position 2893: 0.9050571936121086
Position 1835: 0.8283306548813574
Position 2173: 0.8280049488016965
Position 582: 0.7474952844377426
Position 3643: 0.7362727309366591
Position 4044: 0.4802082593053452
Position 4746: 0.2846689857702556
Position 2416: 0.24573839690487054
Position 2472: 0.23466856486712873
Position 1136: 0.1999396933167397
Position 624: 0.13686408888317328
Position 187: 0.09078023690984718
Position 3194: 0.034461340855610534
Position 2012: 0.03166986933520964
Position 2259: 0.029591620949047874
Position 4625: 0.029286537059085006
Position 2933: 0.025606878733478212
Position 2089: 0.022840401276565322
Position 991: 0.015615853823618868
Position 4784: 0.014958211611842753
Position 1315: 0.013802405637702762
Position 1605: 0.012944080819447602
Position 1495: 0.008942760045817217
Position 3278: 0.00887667411396598
Position 955: 0.00830374035679414
Position 274: 0.006026571290876379
Position 1765: 0.00579769225388436
Position 2223: 0.005725375436237526
Position 2071: 0.005342815344872987
Position 1521: 0.00529912865085764
Position 184: 0.0046465718726297475
Position 1356: 0.004161992172912911
Position 1226: 0.0036178296113767465
Position 253: 0.0028470206617047158
Position 1167: 0.0027197311292385122
Position 689: 0.0025673189738607553
Position 1392: 0.0024888011834322053
Position 1258: 0.0021395440746050567
Position 1092: 0.0018722842597623285
Position 475: 0.0015955050704797122
Position 218: 0.0013605801038306387
Position 836: 0.0013355336102599327
Position 197: 0.001281830721362974
Position 2110: 0.001269555705372701
Position 3600: 0.001062054427254797
Position 999: 0.0010250266725633037
Position 295: 0.0009356993471401709
Position 181: 0.0007194497576753909
Position 2502: 0.0006451632372834679
Position 2474: 0.000613507177709462
Position 206: 0.000552841735177289
Position 202: 0.0003968589696285895
Position 458: 9.799550935956818e-05
Position 554: 9.68930542286822e-05
Position 483: 7.243341854818978e-05
Position 163: 6.953761116504863e-05
Position 1988: 4.5593090745601865e-05
Position 306: 3.166363193678017e-05
Position 423: 2.8654233597603016e-05
Position 784: 2.783318748102121e-05
Position 968: 1.4227735668716483e-05
Position 292: 1.0249786542316608e-05
