Gene = Proser1
index = 856
Annotated 5SS: [  654  3502  5884  6702  7852  8421  9902 11101 11745 12036 15501 16045]
Annotated 3SS: [ 3435  5814  6606  7757  8309  9817 11021 11648 11990 13816 15893 16845]
SMsplice 5SS: [  255   654  7852  8421  9902 11101 11745 15501]
SMsplice 3SS: [  486  7757  8309  9817 11021 11648 15364 16845]
top_k =  100
Partition function (log Z): 10.935370768758004

Sorted 5' Splice Sites (High to Low Probability):
Position 654: 0.9933570115326003
Position 11745: 0.9870514544448163
Position 255: 0.9708140206622831
Position 7852: 0.927806736428008
Position 15501: 0.9152645209071905
Position 9902: 0.8956548527572029
Position 11101: 0.8571304747841618
Position 8421: 0.6992861068129286
Position 2814: 0.5187827138058279
Position 12036: 0.34588351446845916
Position 14891: 0.3401704883958845
Position 5884: 0.2870680875216075
Position 3502: 0.26901002013447906
Position 8517: 0.2555499152571013
Position 16045: 0.2244691518229179
Position 3687: 0.1819444538607239
Position 9970: 0.09570399614875989
Position 10239: 0.07936741229377481
Position 6336: 0.05726511536229124
Position 15956: 0.05299815072846258
Position 10079: 0.05240142338402808
Position 15524: 0.044372888623376815
Position 9448: 0.030110826419414698
Position 7889: 0.02234540267070421
Position 8468: 0.01724708384285511
Position 15920: 0.01675420044110939
Position 7885: 0.011430389333481502
Position 10431: 0.009696108766697806
Position 11805: 0.00924203266565457
Position 9142: 0.008434990228880312
Position 9672: 0.007494719964886552
Position 699: 0.006634204426993473
Position 2053: 0.005577239370332745
Position 1480: 0.005496329695193748
Position 215: 0.005152851788031979
Position 8437: 0.0040924215208357735
Position 9329: 0.004042830239938955
Position 9246: 0.0023843614823059237
Position 949: 0.002163675116191497
Position 2254: 0.002093300726038919
Position 11257: 0.0020553135368563315
Position 50: 0.0020057365407304705
Position 11761: 0.0018330716798523677
Position 2786: 0.001726417100984354
Position 102: 0.0015965630196049223
Position 146: 0.0014988472068557107
Position 844: 0.0013229297393261847
Position 1918: 0.00118880459171035
Position 4136: 0.0011202569449356027
Position 237: 0.0009556548981586589
Position 388: 0.0009194563456473474
Position 371: 0.0007020298747688559
Position 1281: 0.0005829571733862577
Position 11765: 0.00023010113643496353
Position 90: 0.00014628217940109936
Position 299: 0.00011055097394054555
Position 173: 0.00010734303335640929
Position 9906: 0.00010088906383699453
Position 36: 8.362032912803998e-05
Position 369: 6.788492851260234e-05
Position 239: 6.739187119257567e-05
Position 266: 5.567859389283971e-05
Position 633: 5.0098493277490285e-06
Position 579: 3.498650073949243e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 9817: 1.0000000000000007
Position 11648: 0.9973868181351576
Position 8309: 0.9631553467908377
Position 7757: 0.9615825284321935
Position 16845: 0.940470182606577
Position 486: 0.9398278849738295
Position 11021: 0.8580848530407712
Position 15364: 0.8348916807859582
Position 3435: 0.43814684940249027
Position 2667: 0.386642157620451
Position 5814: 0.2869435684386009
Position 14755: 0.20803859047411144
Position 11990: 0.19828837124682527
Position 15955: 0.18339655922129236
Position 14782: 0.13213189792177324
Position 15326: 0.12474572874460851
Position 9989: 0.11182290722825464
Position 15809: 0.0985137544659814
Position 2711: 0.0940205312849404
Position 11911: 0.08241030382706808
Position 6079: 0.057265115362291286
Position 11877: 0.05180417390731753
Position 2682: 0.03984644200142022
Position 9141: 0.03653801814165955
Position 15975: 0.03544703126787171
Position 574: 0.03420437352733284
Position 3316: 0.012807624592712119
Position 11832: 0.012423526188453427
Position 16041: 0.012248039079343034
Position 8938: 0.00843499022888031
Position 8370: 0.0080254560464039
Position 9633: 0.007494719964886552
Position 541: 0.007307823495021623
Position 1752: 0.006766043962043097
Position 10301: 0.006752340439619457
Position 10214: 0.006111828277728846
Position 8222: 0.004994724596479298
Position 16044: 0.004863417785407404
Position 15937: 0.0045707118085610435
Position 13816: 0.004542339387204579
Position 1326: 0.004002602108874631
Position 16753: 0.0036587385321969115
Position 15776: 0.003439346610182041
Position 10134: 0.0034055472644092585
Position 10329: 0.0029437683270783473
Position 16236: 0.0026175905129083446
Position 449: 0.0024874062788608074
Position 10165: 0.0018882908772085497
Position 2052: 0.0014766909410581068
Position 802: 0.001443277584677203
Position 11965: 0.0014109310137590317
Position 4066: 0.0011202569449356027
Position 767: 0.0011049934285154875
Position 10801: 0.0011009352802474701
Position 1370: 0.0010665385419182899
Position 873: 0.0009383338423249893
Position 2191: 0.0006166097849808134
Position 11681: 0.00048231396759858074
Position 358: 0.00044328114557294195
Position 1375: 0.0004271890444008263
Position 1201: 0.0003363769215307016
Position 11553: 0.00027853925025420783
Position 1176: 0.00024658025185555615
Position 11699: 0.0002079090642963161
Position 5544: 0.0001245190830063732
Position 600: 9.200787876082258e-06
Position 11382: 1.0795094527868027e-06
Position 608: 1.833016068625753e-07
Position 557: 1.7766680916463326e-07
Position 583: 7.701143957539401e-08
Position 620: 2.5810054679115926e-08
Position 653: 1.8497226177932128e-08
Position 355: 1.7518436432710912e-08
Position 376: 4.947209664253822e-09
Position 629: 4.689707007336234e-09
Position 379: 4.341800377660972e-09
Position 364: 3.9266536963579716e-09
