Gene = Pvrig
index = 877
Annotated 5SS: [108 549 749 887]
Annotated 3SS: [ 194  624  828 1160]
SMsplice 5SS: [108 749 887]
SMsplice 3SS: [624 828 982]
top_k =  100
Partition function (log Z): -2.7544986777303775

Sorted 5' Splice Sites (High to Low Probability):
Position 108: 0.952763317278172
Position 749: 0.7246222627179252
Position 887: 0.6819365715411281
Position 549: 0.5743278324085044
Position 669: 0.10532247375141726
Position 1315: 0.04447672230065394
Position 293: 0.042282853294582035
Position 299: 0.025642283525499104
Position 1068: 0.0062033538190560495
Position 363: 0.004270887199280965
Position 206: 0.002738934971401318
Position 764: 0.00184401276801842
Position 131: 0.0007380838892250783
Position 731: 0.0006429307054740855
Position 487: 0.00050520136704567
Position 724: 0.00025931867767060515
Position 373: 5.208453358900002e-05
Position 152: 4.7099298817712854e-05
Position 875: 2.445168311650532e-05
Position 266: 1.2534036452211122e-05
Position 261: 8.862722935366779e-06
Position 68: 1.627512512750723e-06
Position 98: 1.1989976832361833e-06
Position 112: 9.281494833450481e-07
Position 96: 2.7134713132571786e-07
Position 129: 5.327665931826621e-08
Position 145: 4.7513595118324624e-08
Position 208: 3.034643802778866e-08
Position 218: 2.8545546125027692e-08
Position 212: 1.418411669680295e-08
Position 180: 1.2199708442958144e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 828: 0.9254273832414766
Position 624: 0.7814208713553751
Position 982: 0.5039794343712013
Position 194: 0.1885565298812486
Position 1160: 0.15605290124604315
Position 513: 0.12860397944224125
Position 299: 0.0896269038518412
Position 645: 0.0838177265660186
Position 254: 0.06555782773096067
Position 414: 0.05586668316511664
Position 1410: 0.04327571984079841
Position 356: 0.022619584061745482
Position 1186: 0.018635115327522836
Position 387: 0.01766777765149156
Position 373: 0.01492836774771072
Position 1334: 0.013885335140603715
Position 272: 0.008999675299422928
Position 391: 0.008581225821943251
Position 1047: 0.006538538267809058
Position 1127: 0.006274827092311641
Position 330: 0.005967001159669367
Position 370: 0.005393608182500305
Position 1440: 0.004316928414853148
Position 663: 0.002622251979531723
Position 1379: 0.002441487015174628
Position 1107: 0.001563449639460185
Position 449: 0.0014126831951118684
Position 861: 0.0013312448455962082
Position 198: 0.0009735269366373368
Position 341: 0.0005753487357842992
Position 1189: 0.0005430959870669325
Position 660: 0.00038924367942686736
Position 456: 0.00024588300246091615
Position 487: 0.00019794585382874945
Position 525: 0.0001859186389608963
Position 303: 0.00016796946797606487
Position 279: 8.0799177866753e-05
Position 205: 7.974509707078108e-07
Position 218: 6.324868881672448e-07
Position 223: 3.3491277018683414e-08
Position 229: 2.8118914801392235e-08
