Gene = Trim30b
index = 1141
Annotated 5SS: [  98 4026]
Annotated 3SS: [3468 5984]
SMsplice 5SS: [  98 3639 6081]
SMsplice 3SS: [3468 5984 7520]
top_k =  100
Partition function (log Z): -8.047030435863524

Sorted 5' Splice Sites (High to Low Probability):
Position 98: 0.8954304578349574
Position 3639: 0.8438051784411907
Position 243: 0.06819391168409786
Position 6085: 0.06572217980463248
Position 3678: 0.05764065466093742
Position 2496: 0.05711039059407684
Position 6170: 0.05673453457569881
Position 7076: 0.04825182813618167
Position 3163: 0.04388916438082881
Position 376: 0.03904111502709959
Position 5093: 0.038234500577856934
Position 4026: 0.0295111829116795
Position 1709: 0.0244632284867625
Position 4274: 0.023399767908024494
Position 837: 0.015277086562602477
Position 1195: 0.01190250700909792
Position 880: 0.009680944113817116
Position 669: 0.008482872721742469
Position 817: 0.006774746528623053
Position 4100: 0.005511022704283635
Position 3143: 0.003157945715361285
Position 35: 0.0030068377064631805
Position 1190: 0.0027995939413004243
Position 340: 0.002162821711498539
Position 52: 3.411544568037166e-05
Position 162: 2.7947312242614335e-05
Position 159: 6.710161484112892e-06
Position 187: 4.763079353088951e-06
Position 19: 4.755927634008873e-06
Position 108: 3.946479585183591e-06
Position 102: 3.3086525654642875e-06
Position 166: 1.4063762329390474e-06
Position 59: 1.2480347553648464e-06
Position 11: 1.1960145659374248e-06
Position 5: 5.19609862193075e-07
Position 23: 4.783619530696124e-07
Position 86: 3.62182437832411e-07
Position 223: 1.4520243850150935e-08
Position 25: 3.5975331802292665e-09
Position 228: 8.602942659158537e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 5984: 0.8903720257108069
Position 3468: 0.7917885485276562
Position 3561: 0.14225925092902436
Position 2382: 0.048397107173347644
Position 242: 0.04508343907952318
Position 6844: 0.04224734903053627
Position 4835: 0.039608771942842215
Position 7520: 0.030268374251911114
Position 6811: 0.029078596110289207
Position 3082: 0.02893623916030004
Position 7453: 0.026296251261117506
Position 5049: 0.024756707345544172
Position 7688: 0.020114564956359462
Position 4165: 0.017647074144183747
Position 3993: 0.016675319077443747
Position 5930: 0.015634425654008726
Position 6744: 0.014065457110300043
Position 5987: 0.012926284721093079
Position 5469: 0.011128547207529078
Position 1434: 0.009046890689766192
Position 7819: 0.008637949795999291
Position 1644: 0.00855573431850666
Position 1605: 0.008489076597524927
Position 4199: 0.007842479277396144
Position 1030: 0.006936031747214638
Position 2414: 0.006750606539750813
Position 3142: 0.006426891553791682
Position 468: 0.006346587596627118
Position 5051: 0.0060017216081907155
Position 3481: 0.005340612150999115
Position 2896: 0.005270479567611376
Position 981: 0.004325048485666144
Position 2827: 0.0037862560020814275
Position 5365: 0.003774723925495458
Position 761: 0.0036432696576387193
Position 3118: 0.0026272438124055404
Position 2438: 0.0024895215513741913
Position 5933: 0.0023208676018715113
Position 4273: 0.001873324041072926
Position 5273: 0.0018179879120111956
Position 1785: 0.00043834551192913524
Position 334: 0.00019945787017873202
Position 3700: 4.980914631868342e-05
